,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccruedLiabilitiesAndOtherLiabilities,,,,,,,,,563315.000,677883.000,554455.000
AccruedSalariesCurrent,,,,,88332.000,20829.000,145017.000,171507.000,93717.000,95943.000,96359.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,487589.000,551423.000,594551.000,358073.000,370168.000,405577.000,434859.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-231523.000,-282153.000,-360736.000,-355435.000,-353711.000,-358075.000,-381357.000,-461402.000,-499135.000,-531822.000,-472960.000
AdditionalPaidInCapital,3202726.000,5951351.000,10578169.000,10578169.000,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,10578169.000,10578169.000,10578169.000,10578169.000,10578169.000,10578169.000,10578169.000
Assets,2312433.000,3945096.000,3035788.000,1851661.000,956542.000,653950.000,793767.000,528881.000,360453.000,341659.000,260140.000
AssetsCurrent,2124489.000,3731892.000,2507460.000,1215142.000,348547.000,64847.000,256914.000,218341.000,115810.000,146284.000,105460.000
CapitalizedComputerSoftwareGross,,,,,624121.000,670268.000,661121.000,492110.000,458885.000,461692.000,457917.000
CashAndCashEquivalentsAtCarryingValue,2080339.000,3636160.000,2028612.000,881530.000,30342.000,49504.000,16418.000,17227.000,8881.000,6408.000,5774.000
CommitmentsAndContingencies,,,,,,,,0.000,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,75000000.000,75000000.000,75000000.000,,75000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,68500000.000,69875000.000,69875000.000,,69875000.000,69875000.000,69875000.000,69875000.000,69875000.000,69875000.000,69875000.000
CommonStockSharesOutstanding,68500000.000,69875000.000,69875000.000,,69875000.000,69875000.000,69875000.000,69875000.000,69875000.000,69875000.000,69875000.000
CommonStockValue,68500.000,69875.000,69875.000,69875.000,69875.000,69875.000,69875.000,69875.000,69875.000,69875.000,69875.000
DeferredRevenue,,,,,20463.000,17461.000,20402.000,19298.000,13260.000,10040.000,7823.000
DeferredTaxAssetsLiabilitiesNet,,,,,6735.000,6751.000,153216.000,153216.000,153216.000,,
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,,,,,153216.000,
DeferredTaxAssetsValuationAllowance,,,,,3356249.000,3672602.000,3762727.000,3984186.000,4112677.000,4215204.000,4038958.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,7516439.000,8422882.000,9530323.000,10654428.000,13373726.000,14628454.000,15574455.000,16457113.000,16969683.000,16969683.000,
