,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,300000.000,,,,,202000.000,,,,15000.000,,,,11000.000,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,,,,,,,,,,5000.000,,,,16000.000,,,,
AmortizationOfDebtDiscountPremium,,,311000.000,,,,,,,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,2051000.000,,,,1929000.000,,,,3691000.000,,,,3422000.000
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,3000000.000,,123000.000,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,1684000.000,78000.000,,1477000.000,12000.000,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,,,,,,,,,0.310,0.220,,0.420,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,,,,,,,,,0.310,0.220,,0.420,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,,40532000.000,29406000.000,,54763000.000,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,,,1087953000.000,1021123000.000,,1141860000.000,,,,
CommonStockDividendsPerShareCashPaid,,,,,,,,,,0.100,,0.100,0.000,,,,,,,
CostOfServices,569666000.000,581829000.000,611619000.000,612669000.000,598984000.000,620278000.000,617281000.000,638764000.000,642881000.000,644392000.000,656303000.000,664385000.000,743879000.000,900949000.000,902328000.000,922262000.000,916985000.000,915703000.000,909893000.000,928357000.000
CostsAndExpenses,617723000.000,626058000.000,652417000.000,656680000.000,642850000.000,660163000.000,660446000.000,684134000.000,690569000.000,692052000.000,713786000.000,716078000.000,802054000.000,972909000.000,976905000.000,1001444000.000,996577000.000,997633000.000,990520000.000,1019596000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,-2471000.000,,,,-3475000.000,,,,-3425000.000
Depreciation,,,,,,,,,,,,,20700000.000,28500000.000,,,,,,
DepreciationAndAmortization,17999000.000,17545000.000,16199000.000,15428000.000,15537000.000,16147000.000,16163000.000,16229000.000,17196000.000,17584000.000,17345000.000,17348000.000,21848000.000,31472000.000,34313000.000,,,,,42539000.000
DividendsCommonStockCash,,,,,,,,14056000.000,,,,13129000.000,,,,,,,,
