,2013-06-30,2013-09-30,2014-03-31,2014-09-30
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,7784000.000,
AllocatedShareBasedCompensationExpense,,,2307000.000,1765000.000
AmortizationOfFinancingCostsAndDiscounts,,,907000.000,
AmortizationOfIntangibleAssets,5723000.000,5886000.000,5571000.000,3788000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,100000.000,100000.000,
AssetImpairmentCharges,,,,60867000.000
BusinessCombinationAcquisitionRelatedCosts,,,4559000.000,1830000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,8362000.000,
ComprehensiveIncomeNetOfTax,7734000.000,147197000.000,1848000.000,-26228000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-306000.000,-430000.000,-598000.000,517000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,7428000.000,146767000.000,1250000.000,-25711000.000
DeferredIncomeTaxesAndTaxCredits,,,456000.000,
DefinedBenefitPlanAmortizationOfGainsLosses,-428000.000,-428000.000,-315000.000,-284000.000
DefinedBenefitPlanContributionsByEmployer,1416000.000,1231000.000,1347000.000,2584000.000
DefinedBenefitPlanExpectedReturnOnPlanAssets,1670000.000,1670000.000,1758000.000,1771000.000
DefinedBenefitPlanInterestCost,1314000.000,1314000.000,1498000.000,1509000.000
DefinedBenefitPlanNetPeriodicBenefitCost,72000.000,72000.000,55000.000,22000.000
DefinedContributionPlanCostRecognized,1092000.000,1229000.000,1142000.000,1134000.000
Depreciation,11320000.000,11429000.000,10686000.000,10892000.000
DepreciationDepletionAndAmortization,,,16257000.000,14680000.000
DirectOperatingCosts,63623000.000,62504000.000,69434000.000,76029000.000
EarningsPerShareBasic,0.140,2.780,0.030,-0.490
EarningsPerShareDiluted,0.130,2.630,,
EffectiveIncomeTaxRateContinuingOperations,,,0.491,
GainLossOnDispositionOfAssets,-87000.000,9000.000,-94000.000,-42000.000
GoodwillAcquiredDuringPeriod,,,7099000.000,
ImpairmentOfIntangibleAssetsFinitelived,,,,60867000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,12379000.000,7195000.000,2080000.000,-33879000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,7169000.000,146508000.000,1059000.000,-25883000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.140,2.780,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.130,2.630,0.030,-0.490
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,0.000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,0.000,,
IncomeLossFromEquityMethodInvestments,-25000.000,0.000,-75000.000,0.000
IncomeTaxExpenseBenefit,5210000.000,-139313000.000,1021000.000,-7996000.000
IncomeTaxReconciliationOtherReconcilingItems,,,,18400000.000
IncreaseDecreaseInAccountsPayable,,,-2931000.000,
IncreaseDecreaseInAccountsReceivable,,,-16315000.000,
IncreaseDecreaseInInterestPayableNet,,,-416000.000,
IncreaseDecreaseInOtherOperatingAssets,,,3174000.000,
IncreaseDecreaseInOtherOperatingLiabilities,,,5122000.000,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,3317000.000,3064000.000,2924000.000,0.000
InterestIncomeExpenseNonoperatingNet,-14428000.000,-13976000.000,-14209000.000,-14209000.000
NetCashProvidedByUsedInFinancingActivities,,,6821000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,6821000.000,
NetCashProvidedByUsedInInvestingActivities,,,-35242000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-35242000.000,
NetCashProvidedByUsedInOperatingActivities,,,36783000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,36783000.000,
NetIncomeLossAttributableToNoncontrollingInterest,-306000.000,-430000.000,-598000.000,517000.000
NetIncomeLossAvailableToCommonStockholdersBasic,7475000.000,146938000.000,1657000.000,-26400000.000
NonoperatingIncomeExpense,-14537000.000,-16031000.000,-14302000.000,-13441000.000
OperatingIncomeLoss,26916000.000,23226000.000,16382000.000,-20438000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossNetOfTax,,,-191000.000,-172000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossTax,,,-124000.000,-113000.000
OtherComprehensiveIncomeLossReclassificationPensionAndOtherPostretirementBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostTax,169000.000,169000.000,,
