,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccountsPayableCurrent,,28531.000,28805.000,28805.000,28805.000,29345.000,33514.000,48891.000,49264.000,28808.000
AccountsPayableRelatedPartiesCurrent,,1101.000,1101.000,1101.000,1101.000,1101.000,1090.000,1079.000,1090.000,1090.000
AccruedLiabilitiesCurrent,,764.000,2958.000,5608.000,11758.000,15913.000,15913.000,20961.000,26596.000,28937.000
AccruedLiabilitiesForCommissionsExpenseAndTaxes,,,,,,,10500.000,4500.000,4500.000,4500.000
AccumulatedAmortizationDeferredFinanceCosts,,,,,,,,,,21306.000
AccumulatedAmortizationOfOtherDeferredCosts,,,,,,,,,,-2621.000
AdditionalPaidInCapitalCommonStock,,662649.000,662649.000,662649.000,770074.000,879974.000,879974.000,890889.000,890889.000,890889.000
Assets,,610868.000,595331.000,589591.000,580426.000,572877.000,90031.000,88538.000,87045.000,85553.000
AssetsCurrent,,33250.000,17975.000,13728.000,6056.000,,,,,
AssetsNet,,,,,,,,,,85029.000
BankOverdrafts,,,,,,,,,,20400.000
BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,,,,,,,,550000.000,550000.000,
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,,,,,,,,481353.000,481353.000,
BusinessAcquisitionPurchasePriceAllocationIntangibleAssetsOtherThanGoodwill,,,,,,,,93644.000,93644.000,
Capital,,,,,,,,,,524.000
Cash,,33250.000,17975.000,13728.000,6056.000,,,,,
CommonStockParOrStatedValuePerShare,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000
CommonStockSharesIssued,,35413391.000,35413391.000,35413391.000,35663391.000,37163391.000,37163391.000,38013391.000,38013391.000,38013391.000
CommonStockSharesOutstanding,,26020000.000,26020000.000,35413391.000,35663391.000,37163391.000,37163391.000,38013391.000,38013391.000,38013391.000
CommonStockValue,,3541.000,3541.000,3541.000,3616.000,3716.000,3716.000,3801.000,3801.000,3801.000
DeferredTaxAssetsNet,,,,,,,-255992.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,255992.000,,,
DeferredTaxAssetsOther,,,,,,,255992.000,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,235718.000,303723.000,362113.000,534928.000,698661.000,1236676.000,1276595.000,1289095.000,1296541.000
FiniteLivedIntangibleAssetsNet,,564.000,2359.000,2097.000,1835.000,1573.000,1311.000,1049.000,787.000,524.000
FiniteLivedPatentsGross,,,,,,,,,,106335.000
Goodwill,,481353.000,481353.000,481353.000,481353.000,481353.000,,,,
Liabilities,,180396.000,232864.000,285514.000,341665.000,387848.000,443017.000,470443.000,481450.000,487404.000
LiabilitiesAndStockholdersEquity,,610868.000,595331.000,589591.000,580426.000,572877.000,90031.000,88538.000,87045.000,85553.000
LiabilitiesCurrent,,113729.000,166197.000,218847.000,274998.000,321181.000,376350.000,403776.000,414783.000,487404.000
NotesPayable,,33333.000,100000.000,100000.000,150000.000,165000.000,250000.000,218000.000,250000.000,250000.000
NotesPayableRelatedPartiesClassifiedCurrent,,50000.000,33333.000,83333.000,83333.000,109822.000,65333.000,110345.000,83333.000,153669.000
OperatingLossCarryforwards,,,,,,,663191.000,,,
OtherAssets,,,,,,,,,,85553.000
OtherAssetsNoncurrent,,,481353.000,,,,,,,
OtherLiabilitiesCurrent,,,66667.000,,,,,,,
OtherLongTermNotesPayable,,,,66667.000,66667.000,66667.000,66667.000,66667.000,66667.000,
PreferredStockParOrStatedValuePerShare,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PropertyPlantAndEquipmentNet,,,96003.000,,,,,,,
SharesIssued,,,,,,,,,38804487.000,
SharesOutstanding,,,,,,,,33166649.000,38804487.000,
StockholdersEquity,,430472.000,362467.000,304077.000,238762.000,185029.000,-352986.000,-381905.000,-394405.000,-401851.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,430472.000,362467.000,304077.000,238761.000,185029.000,-352986.000,-387904.000,-394405.000,-401851.000
