,2011-06-30,2011-09-30,2011-12-31,2012-03-31
AccumulatedOtherComprehensiveIncomeLossNetOfTax,214071.000,512318.000,312306.000,284216.000
Assets,67385371.000,66337272.000,69288652.000,70860336.000
AvailableForSaleSecurities,13084354.000,13811704.000,11159349.000,13118607.000
CashAndCashEquivalentsAtCarryingValue,8106715.000,2329696.000,2147165.000,5283682.000
CashAndDueFromBanks,,,281288.000,262483.000
CommonStockNoParValue,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,300000000.000,300000000.000,300000000.000,300000000.000
CommonStockSharesIssued,8121293.000,8121293.000,8121293.000,8121293.000
CommonStockSharesOutstanding,,,8121293.000,
CommonStockValue,17034726.000,17036976.000,17042517.000,17046242.000
Deposits,58461021.000,54099472.000,56557036.000,58882941.000
FederalHomeLoanBankAdvancesLongTerm,2000000.000,5000000.000,5000000.000,4000000.000
HeldToMaturitySecurities,7635273.000,4779652.000,3867816.000,2848404.000
HeldToMaturitySecuritiesFairValue,8125548.000,5081899.000,4068769.000,2977940.000
InterestBearingDepositLiabilities,53701394.000,50055719.000,51422983.000,44467881.000
InterestBearingDepositsInBanks,,,1865877.000,5021199.000
Liabilities,61155179.000,59752203.000,62478031.000,63849047.000
LiabilitiesAndStockholdersEquity,67385371.000,66337272.000,69288652.000,70860336.000
LoansAndLeasesReceivableAllowance,471915.000,448064.000,461455.000,461577.000
LoansAndLeasesReceivableNetOfDeferredIncome,29066804.000,27859000.000,27147445.000,28744185.000
LoansAndLeasesReceivableNetReportedAmount,28594889.000,27410936.000,26685990.000,28282608.000
LoansReceivableHeldForSaleNet,5156045.000,12738233.000,20129386.000,15892792.000
MarketableSecurities,20719627.000,18591356.000,15027165.000,15967011.000
NoninterestBearingDepositLiabilities,4759627.000,4043753.000,5134053.000,14415060.000
OtherAssets,654912.000,912692.000,729268.000,839220.000
OtherLiabilities,694158.000,652731.000,920995.000,966106.000
OtherRealEstate,614036.000,806886.000,747238.000,809198.000
PreferredStockLiquidationPreference,10.000,10.000,,
PreferredStockNoParValue,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,
PropertyPlantAndEquipmentNet,3003597.000,3031723.000,3160240.000,3115775.000
RetainedEarningsAccumulatedDeficit,-11017600.000,-10963220.000,-10543197.000,-10318164.000
StockholdersEquity,6230192.000,6585069.000,6810621.000,7011289.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6230192.000,6585069.000,6810621.000,7011289.000
TreasuryStockShares,670.000,670.000,670.000,670.000
TreasuryStockValue,1005.000,1005.000,1005.000,1005.000
