,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02
AccountsPayableCurrent,114889000.000,117430000.000,111159000.000,148001000.000,159267000.000,122752000.000,112877000.000,149497000.000,138032000.000,138656000.000,134480000.000,157000000.000,175235000.000,162275000.000,157550000.000,191825000.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,400000.000,600000.000,700000.000,700000.000,700000.000,600000.000,500000.000,,,,,,659000.000,,,
AccountsReceivableNetCurrent,9974000.000,8962000.000,,,,,,,,,,,,,,
AccountsReceivableRelatedParties,,,0.000,,,,0.000,,,,,,,,,
AccruedBonusesCurrent,4254000.000,7288000.000,8393000.000,4294000.000,7058000.000,10074000.000,12138000.000,3791000.000,3097000.000,4295000.000,9728000.000,4574000.000,4955000.000,1929000.000,8168000.000,
AccruedEmployeeBenefitsCurrent,7146000.000,6511000.000,6904000.000,9440000.000,7763000.000,7718000.000,9196000.000,11614000.000,9324000.000,9228000.000,10988000.000,10470000.000,12057000.000,12162000.000,12972000.000,
AccruedIncomeTaxesCurrent,,,,,,4133000.000,,,,,,11222000.000,,,,10526000.000
AccruedLiabilitiesForUnredeeemedGiftCards,,,7629000.000,,,,9836000.000,,,,10616000.000,,,,12264000.000,
AccruedVacationCurrent,6952000.000,6749000.000,6634000.000,7251000.000,7635000.000,7363000.000,7476000.000,8535000.000,8877000.000,8970000.000,8916000.000,10153000.000,10922000.000,10831000.000,10633000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,127414000.000,,,,182653000.000,,,,237539000.000,,,,297878000.000,
AdditionalPaidInCapital,114565000.000,460271000.000,479127000.000,499343000.000,513120000.000,525964000.000,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,543048000.000,560157000.000,570742000.000,573526000.000,577393000.000,585545000.000,589458000.000,594281000.000,597269000.000,602006000.000
AllowanceForDoubtfulAccountsReceivableCurrent,300000.000,200000.000,300000.000,,,,,,,,,,,,,
AssetRetirementObligationsNoncurrent,,,2575000.000,,,,2952000.000,,,,3214000.000,,,,3627000.000,
Assets,1143735000.000,1181803000.000,1172404000.000,1266911000.000,1330928000.000,1297083000.000,1369073000.000,1442653000.000,1379303000.000,1424555000.000,1426364000.000,1449436000.000,1445129000.000,1455352000.000,1439893000.000,1497639000.000
AssetsCurrent,202382000.000,239268000.000,231627000.000,303727000.000,340772000.000,287809000.000,334129000.000,401982000.000,318092000.000,361871000.000,345215000.000,351896000.000,305282000.000,291769000.000,264026000.000,273509000.000
BuildingsAndImprovementsGross,,,106580000.000,,,,115925000.000,,,,115925000.000,,,,130821000.000,
CapitalLeaseObligationsCurrent,3361000.000,2676000.000,315000.000,3746000.000,5097000.000,3995000.000,29136000.000,4267000.000,9442000.000,14625000.000,714000.000,,,,771000.000,
CapitalLeaseObligationsNoncurrent,115493000.000,117632000.000,2353000.000,119922000.000,119130000.000,122654000.000,121562000.000,120408000.000,119271000.000,116668000.000,9821000.000,,,,9050000.000,
CapitalLeasesFutureMinimumPaymentsDue,,,3646000.000,,,,17196000.000,,,,15745000.000,,,,14294000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,540000.000,,,,1452000.000,,,,1451000.000,,,,1451000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,538000.000,,,,1294000.000,,,,1194000.000,,,,1194000.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,538000.000,,,,1451000.000,,,,1294000.000,,,,1194000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,538000.000,,,,1451000.000,,,,1451000.000,,,,1294000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,538000.000,,,,1451000.000,,,,1451000.000,,,,1451000.000,
