,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,258711.000,370195.000,565552.000,589902.000,372120.000,567629.000,581808.000,795925.000,827441.000,885746.000
AccountsReceivableNetCurrent,22257.000,30361.000,46417.000,45178.000,30889.000,13735.000,18837.000,20386.000,20242.000,13792.000
AccruedLiabilitiesCurrent,,,,,17882.000,41073.000,,,,
AccruedRoyaltiesCurrent,,15849.000,113164.000,113164.000,0.000,0.000,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,,-834136.000,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-8114.000,-8114.000,-8114.000,,0.000,4706.000,-12131.000,-12131.000,0.000,0.000
AdditionalPaidInCapitalCommonStock,7195262.000,7459692.000,8313575.000,11309002.000,13368039.000,13731097.000,14118907.000,14230611.000,14481090.000,14835983.000
Assets,1727926.000,2352417.000,2094067.000,1879741.000,1997123.000,1653538.000,1783842.000,1797106.000,593049.000,576446.000
AssetsCurrent,76919.000,172717.000,128490.000,113843.000,66264.000,29951.000,28580.000,20534.000,21696.000,29585.000
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,45522.000,41263.000,190527.000,186244.000,171353.000,146861.000
Cash,50546.000,40435.000,2609.000,7311.000,20375.000,16216.000,9743.000,148.000,1454.000,15793.000
ClassOfWarrantOrRightOutstanding,,,,,3153184.000,3203104.000,3207766.000,3207766.000,5366760.000,7222889.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,28303418.000,28303418.000,32867028.000,45081594.000,47470406.000,47620406.000,50931813.000,62215597.000,72067441.000,101325435.000
CommonStockSharesOutstanding,28303418.000,28303418.000,32867028.000,45081594.000,47470406.000,47620406.000,50931813.000,62215597.000,72067441.000,101325435.000
CommonStockSharesSubscribedButUnissued,0.000,0.000,0.000,,5529786.000,6423708.000,6433034.000,6433034.000,11918020.000,14480278.000
CommonStockSharesSubscriptions,,,,,5529.000,6424.000,6434.000,6434.000,11918.000,14480.000
CommonStockValue,28304.000,28304.000,32867.000,45081.000,47471.000,47621.000,50932.000,62216.000,72068.000,101326.000
ConvertibleDebtCurrent,,,,,0.000,0.000,100000.000,10000.000,57500.000,
ConvertibleDebtNoncurrent,1334783.000,1334783.000,,,633306.000,633306.000,493306.000,493306.000,428306.000,278306.000
ConvertibleNotesPayableCurrent,,,,,,0.000,,,,
DebtInstrumentConvertibleConversionPrice1,,,,,0.250,,,0.008,0.008,
DebtInstrumentUnamortizedDiscount,,,,,0.000,0.000,,,,
DebtInstrumentUnamortizedDiscountPremiumNet,,,,,212070.000,212070.000,,,,
DerivativeLiabilitiesCurrent,,,,,972209.000,559.000,17396.000,17396.000,0.000,
DerivativeLiabilityFairValueNet1,,,,,333943.000,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,9215944.000,9844118.000,,,,,,,,
DueToRelatedPartiesCurrent,,,,,39200.000,39200.000,39200.000,39200.000,0.000,0.000
InterestPayableCurrent,435504.000,640800.000,456638.000,26336.000,15649.000,,,,,
Liabilities,,4716953.000,,,2422556.000,1641296.000,1676506.000,1961191.000,2022030.000,2069498.000
LiabilitiesAndStockholdersEquity,1727926.000,2352717.000,2094067.000,1879741.000,1997123.000,1653538.000,1783842.000,1797106.000,593049.000,576446.000
LiabilitiesCurrent,2393635.000,3284855.000,4230209.000,1904429.000,1417060.000,648461.000,751965.000,1023948.000,1055299.000,2069498.000
LiabilitiesNoncurrent,,1432098.000,,,1005496.000,992835.000,924541.000,937243.000,966731.000,0.000
LongTermNotesPayable,,,,,372190.000,359529.000,431235.000,443937.000,538425.000,0.000
MineralPropertiesNet,1651007.000,1979700.000,1965577.000,1765898.000,1885337.000,1582324.000,1564735.000,1590328.000,400000.000,400000.000
NotesPayableCurrent,42939.000,367078.000,202484.000,163794.000,0.000,0.000,44674.000,78750.000,110259.000,1014722.000
OilAndGasPropertyFullCostMethodNet,,200000.000,,,,,,,,
OperatingLossCarryforwards,,,,,,,,,11500000.000,11000000.000
OtherLiabilitiesCurrent,,,,,,,68887.000,92677.000,117599.000,169030.000
PrepaidExpenseCurrent,4116.000,101921.000,79464.000,61354.000,15000.000,0.000,,,,
RetainedEarningsAccumulatedDeficit,,,-10474470.000,-11378771.000,-13012336.000,-13777606.000,-14056806.000,-14451215.000,-15994057.000,-16444841.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice,,,,,,0.010,,,,0.010
SharePrice,,,,,0.140,,,,,0.013
StockholdersEquity,-2000492.000,-2364236.000,-2136142.000,-24688.000,-425433.000,12242.000,107336.000,-164085.000,-1428981.000,-1493052.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,-2364236.000,,,-425433.000,12242.000,107336.000,-164085.000,-1428981.000,-1493052.000
