,2014-12-31,2015-12-31
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,12213920.000,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,6000000.000,
CashPeriodIncreaseDecrease,979609.000,-508588.000
ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,250000.000,250000.000
EarningsPerShareBasicAndDiluted,-0.060,-0.080
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.400,0.400
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,5543.000,15957.000
IncreaseDecreaseInAccruedTaxesPayable,180000.000,0.000
IncreaseDecreaseInPrepaidExpense,66151.000,-14378.000
InvestmentIncomeInterestAndDividend,7620.000,88051.000
NetCashProvidedByUsedInFinancingActivities,213988197.000,-594.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,213988197.000,-594.000
NetCashProvidedByUsedInInvestingActivities,-212757574.000,6308.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-212757574.000,6308.000
NetCashProvidedByUsedInOperatingActivities,-251014.000,-514302.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-251014.000,-514302.000
NetIncomeLoss,-370406.000,-544637.000
OperatingCostsAndExpenses,198026.000,452688.000
OperatingIncomeLoss,-378026.000,-632688.000
PaymentsForProceedsFromInvestments,,-425594286.000
PaymentsOfStockIssuanceCosts,512670.000,0.000
ProceedsFromIssuanceInitialPublicOffering,208500000.000,0.000
ProceedsFromIssuanceOfCommonStock,0.000,
ProceedsFromIssuanceOfPrivatePlacement,6000000.000,0.000
ProceedsFromNotesPayable,200000.000,0.000
ProceedsFromRelatedPartyDebt,867.000,
ProceedsFromRepaymentsOfRelatedPartyDebt,,-594.000
RepaymentsOfNotesPayable,200000.000,0.000
Revenues,0.000,0.000
SalesRevenueNet,0.000,0.000
StockIssuedDuringPeriodValueNewIssues,212750000.000,
StockRedeemedOrCalledDuringPeriodValue,201190670.000,544638.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,5817793.000,6493437.000
