,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31
AccountsPayableCurrent,324129.000,340102.000,335500.000,409701.000,533760.000,475021.000,519686.000,472331.000,515250.000,632876.000,579411.000,501472.000,470931.000,510971.000,424681.000
AccountsPayableRelatedPartiesCurrent,,,,,64216.000,66135.000,69531.000,,55671.000,64786.000,70096.000,,,,
AccountsPayableRelatedPartiesCurrentAndNoncurrent,156238.000,146801.000,163432.000,199036.000,,,,58186.000,,,,74461.000,65846.000,76742.000,80354.000
AccruedLiabilitiesCurrent,126910.000,102394.000,83804.000,111946.000,116442.000,135298.000,139423.000,148417.000,176143.000,205092.000,234280.000,266683.000,289022.000,335810.000,359232.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,31969.000,,,,32616.000,,,
AdditionalPaidInCapitalCommonStock,10519433.000,10769024.000,10939720.000,10976553.000,11123894.000,11506385.000,11609044.000,11825763.000,11842488.000,11968488.000,12036677.000,12185204.000,12856294.000,12870994.000,12929067.000
Assets,781146.000,766478.000,754554.000,743991.000,756193.000,744164.000,730322.000,735840.000,726798.000,719061.000,735158.000,1107836.000,1150433.000,1116757.000,1093410.000
AssetsCurrent,54617.000,41286.000,30700.000,21475.000,35014.000,24265.000,11588.000,18272.000,9355.000,1743.000,19045.000,18124.000,60721.000,27045.000,5742.000
AssetsNoncurrent,726529.000,725192.000,723854.000,722516.000,721179.000,719899.000,718734.000,717568.000,717443.000,717318.000,716113.000,1089712.000,1089712.000,1089712.000,1087668.000
BankOverdrafts,,,,,,,2427.000,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,26231.000,24241.000,13641.000,4954.000,2529.000,9870.000,-2427.000,4717.000,66.000,245.000,1045.000,4624.000,51721.000,22545.000,5742.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,0.040,,,
ClassOfWarrantOrRightOutstanding,,,,,,,,41578865.000,,,,51153866.000,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.010,0.001
CommonStockSharesAuthorized,550000000.000,550000000.000,550000000.000,550000000.000,550000000.000,550000000.000,550000000.000,500000000.000,550000000.000,550000000.000,550000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,274148427.000,284936766.000,292227942.000,294195232.000,302805880.000,328399205.000,334740157.000,348796328.000,350321328.000,358321328.000,376132345.000,405203933.000,21562602.000,21862602.000,22429574.000
CommonStockSharesOutstanding,274148427.000,284936766.000,292227942.000,294195232.000,302805880.000,328399205.000,334740157.000,348796328.000,350321328.000,358321328.000,376132345.000,405203933.000,21562602.000,21862602.000,22429574.000
CommonStockValue,274149.000,284936.000,292227.000,294194.000,302805.000,328399.000,334739.000,348796.000,350321.000,358321.000,376132.000,405204.000,21563.000,21863.000,22430.000
ConvertibleDebt,,,,,,,,,,,,22376.000,4678.000,39102.000,53167.000
ConvertibleDebtCurrent,,,,,,,,,,,34206.000,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,,,,2742000.000,47235.000,25137.000,38167.000
DeferredTaxAssetsGross,,,,,,,,3658935.000,,,,3896615.000,,,
DeferredTaxAssetsInvestments,,,,,,,,0.000,,,,0.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,0.000,,,,0.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,3659000.000,,,,3896806.000,,,
DeferredTaxAssetsOther,,,,,,,,0.000,,,,0.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,,0.000,,,,0.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses,,,,,,,,0.000,,,,0.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,3658935.000,,,,3896615.000,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,,65.000,,,,191.000,,,
DepositAssets,,,,,,,,,,,,373599.000,373599.000,373599.000,373599.000
DerivativeAssetFairValueGrossLiability,,,,,,,,,,,20691.000,,,,
DerivativeLiabilities,,,,,,,,,,,,30844.000,0.000,0.000,20168.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,,,,,,,,12553156.000,12661412.000,,,,
DueToRelatedPartiesCurrent,28800.000,28800.000,28800.000,,,,,,5000.000,10150.000,12850.000,,,,16000.000
Land,67742.000,67742.000,67742.000,67742.000,67742.000,67742.000,67742.000,67742.000,67742.000,67742.000,67742.000,67742.000,67742.000,67742.000,67742.000
Liabilities,679112.000,660323.000,652954.000,758385.000,751311.000,712538.000,766342.000,713460.000,786442.000,945408.000,983761.000,1351164.000,1358853.000,1500299.000,1501979.000
LiabilitiesAndStockholdersEquity,781146.000,766478.000,754554.000,743991.000,756193.000,744164.000,730322.000,735840.000,726798.000,719061.000,735158.000,1107836.000,1150433.000,1116757.000,1093410.000
LiabilitiesCurrent,642587.000,625478.000,618234.000,724581.000,718413.000,680651.000,735369.000,684355.000,756584.000,918599.000,957255.000,1326700.000,1335344.000,1468786.000,1471090.000
LiabilitiesNoncurrent,36525.000,34845.000,34720.000,33804.000,32898.000,31887.000,30973.000,29105.000,29858.000,26809.000,26506.000,24464.000,23509.000,31513.000,30889.000
LongTermDebt,,,,,,,,34526.000,,,,30328.000,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,,,,,,,,6942.000,,,,0.000,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,,,,5421.000,,,,5864.000,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,,,,,,,,6386.000,,,,7050.000,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,,,,5786.000,,,,6386.000,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,,,,5242.000,,,,5786.000,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,,,,4749.000,,,,5242.000,,,
LongTermNotesPayable,36525.000,34845.000,34720.000,33804.000,32898.000,31887.000,30973.000,29105.000,29858.000,26809.000,26506.000,24464.000,23509.000,31513.000,30889.000
MineralPropertiesGross,613941.000,613941.000,613941.000,613941.000,613941.000,613941.000,613941.000,613941.000,613941.000,613941.000,613941.000,613941.000,613941.000,613941.000,613941.000
NotesPayableCurrent,6510.000,7381.000,6698.000,3898.000,3995.000,4197.000,4302.000,5421.000,4520.000,5695.000,5721.000,5864.000,4867.000,6161.000,7488.000
OperatingLossCarryforwards,,,,,,,,10500000.000,,,,11100000.000,,,
OtherAssets,35238.000,35238.000,35238.000,35238.000,35238.000,35238.000,35238.000,35238.000,35238.000,,,34430.000,34430.000,34430.000,32386.000
OtherAssetsNoncurrent,,,,,,,,,,35238.000,34430.000,,,,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.010,0.001
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,500000000.000,50000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,,0.000
PrepaidExpenseCurrent,28386.000,17045.000,17059.000,16521.000,32485.000,14395.000,11588.000,13555.000,9289.000,1498.000,18000.000,13500.000,9000.000,4500.000,0.000
PropertyPlantAndEquipmentNet,9608.000,8271.000,6933.000,5595.000,4258.000,2978.000,1813.000,647.000,522.000,397.000,,0.000,,,0.000
RetainedEarningsAccumulatedDeficit,-10691548.000,-10947805.000,-11130347.000,-11285141.000,-11421817.000,-11803158.000,-11979803.000,-12152179.000,-12252453.000,,,-12833736.000,-13086277.000,-13276399.000,-13360066.000
SaleOfStockPricePerShare,,,,,0.015,,0.015,0.015,,,,,,,
SharesIssued,,,,,,,,,1525000.000,,,,,,
ShortTermBankLoansAndNotesPayable,,,,,,,,,,,,,,,10000.000
ShortTermInvestments,0.000,,,,,,,,,,,,,,
StockholdersEquity,102034.000,106155.000,101600.000,-14394.000,4882.000,31626.000,-36020.000,22380.000,-59644.000,-226347.000,-248603.000,-243328.000,-208420.000,-383542.000,-408569.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,102034.000,106155.000,101600.000,-14394.000,4882.000,31626.000,-36020.000,22380.000,-59644.000,-226347.000,-248603.000,-243328.000,-208420.000,-383542.000,-408569.000
