,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,413660.000,,,,,-19000.000,,,,-19000.000
AccountsPayableAndOtherAccruedLiabilitiesCurrent,1461317.000,1792650.000,1789650.000,,,27000.000,23000.000,20000.000,17000.000,14000.000
AccountsPayableCurrent,,1275938.000,1505153.000,1540056.000,1655948.000,2339244.000,1635650.000,116151.000,176036.000,151653.000
AccountsPayableRelatedPartiesCurrent,4672.000,4672.000,4672.000,,0.000,,3180.000,,,
AccruedLiabilitiesCurrent,,5000.000,10000.000,,,,,,,
AdditionalPaidInCapitalCommonStock,3632871.000,4006934.000,4561938.000,8571216.000,8762135.000,8789831.000,8910253.000,9401119.000,9443242.000,9953759.000
Assets,301288.000,937601.000,940216.000,871940.000,834415.000,1401314.000,893186.000,1350278.000,879590.000,899760.000
AssetsCurrent,301288.000,109637.000,112252.000,43976.000,6451.000,573350.000,65222.000,522314.000,91178.000,129806.000
CapitalLeasesFutureMinimumPaymentsDue,1794317.000,1992650.000,1989650.000,,,,,,,
Cash,289396.000,107571.000,107126.000,42410.000,6451.000,573350.000,65222.000,376814.000,91178.000,129806.000
CashAndCashEquivalentsAtCarryingValue,289396.000,107571.000,107126.000,42410.000,6451.000,573350.000,65222.000,376814.000,91178.000,129806.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,0.010,,,,,0.010
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,17309600.000,17564600.000,18064600.000,20961152.000,21401115.000,21617565.000,21784065.000,21845115.000,21878415.000,23292298.000
CommonStockSharesOutstanding,17309600.000,17564600.000,18064600.000,20961152.000,21401115.000,21617565.000,21784065.000,21845115.000,21878415.000,23292298.000
CommonStockValue,17309.000,17564.000,18064.000,20961.000,21401.000,21617.000,21784.000,21845.000,21878.000,23292.000
ConvertibleDebt,,60000.000,60000.000,,,,,,,
ConvertibleNotesPayable,,60000.000,60000.000,,,,,,,
ConvertibleNotesPayableCurrent,,,,,,,,,,-60000.000
DebtInstrumentPeriodicPaymentTermsBalloonPaymentToBePaid,,,,,,,,,300000.000,300000.000
DeferredRevenue,,,,,,600000.000,,,,
DeferredTaxAssetsInProcessResearchAndDevelopment,,827964.000,827964.000,827964.000,827964.000,827964.000,827964.000,827964.000,788412.000,769954.000
DeferredTaxAssetsOperatingLossCarryforwards,,1677981.000,,,,2304987.000,,,,1835626.000
DeferredTaxAssetsValuationAllowance,,-1677981.000,,,,-2304987.000,,,,1835626.000
DepositLiabilitiesAccruedInterest,,,10000.000,,,,,,,
DerivativeFairValueOfDerivativeLiability,6333.000,6330.000,,,,3849.000,,,,346.000
DerivativeLiabilities,6333.000,,,,,,,,,
DerivativeLiabilitiesCurrent,6333.000,6330.000,18719.000,3236.000,1685.000,3849.000,6574.000,2793.000,879.000,346.000
DerivativeNetLiabilityPositionAggregateFairValue,5115.000,5112.000,,,,,,,,
DueFromRelatedPartiesCurrent,,,,,,60000.000,,,,60000.000
DueToRelatedPartiesCurrent,,625.000,,,,,,,,
Liabilities,1945982.000,3144590.000,3388194.000,1576292.000,1686633.000,2970093.000,1668404.000,138944.000,193915.000,165999.000
LiabilitiesAndStockholdersEquity,301288.000,937601.000,940216.000,871940.000,834415.000,1401314.000,893186.000,1350278.000,879590.000,899760.000
LiabilitiesCurrent,1885982.000,3084590.000,3328194.000,1576292.000,1686633.000,2970093.000,1668404.000,138944.000,193915.000,165999.000
LiabilitiesFairValueDisclosure,,,18719.000,3236.000,1685.000,,6574.000,2793.000,879.000,
LiabilitiesNoncurrent,,,,,,-19000.000,,,,-19000.000
NotesPayable,60000.000,,,,,-60000.000,,,,
OperatingLossCarryforwards,,4794230.000,,,,6585651.000,,,,5244647.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,11892.000,2066.000,5126.000,1566.000,,,,145500.000,,
RetainedEarningsAccumulatedDeficit,-5294874.000,-6231487.000,-7027980.000,-9296529.000,-9635754.000,-10380227.000,-9707255.000,-8211630.000,-8779445.000,-9243290.000
SaleOfStockPricePerShare,,,,,,0.400,,,,0.400
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,71000.000,77000.000,77000.000,77000.000,150000.000,,1070000.000,1070000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,355000.000,385000.000,385000.000,385000.000,395000.000,88317.000,1365000.000,1365000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,0.490,0.510,0.510,0.500,0.480,,0.350,0.350,
SharePrice,,,,,,,,,,1.000
SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueOutstanding,,39950.000,77470.000,77470.000,,900.000,,91700.000,,
StockholdersEquity,-1644694.000,-2206989.000,-2447978.000,-704352.000,-852218.000,-1568779.000,-775218.000,1211334.000,685675.000,733761.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-1644694.000,-2206989.000,-2447978.000,-704352.000,-852218.000,-1568779.000,-775218.000,1211334.000,685675.000,733761.000
UnrecognizedTaxBenefits,,,,,,146144.000,165553.000,116451.000,80954.000,69872.000
