,2011-12-31,2012-12-31,2014-12-31
AdjustmentsToAdditionalPaidInCapitalOther,114771.000,,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,47687.000,,
AmortizationOfDebtDiscountPremium,-33083.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-10.000,898.000,-545.000
EarningsPerShareBasic,,,0.000
EarningsPerShareBasicAndDiluted,-0.020,-0.010,
FiniteLivedIntangibleAssetsAmortizationExpense,207500.000,0.000,
GeneralAndAdministrativeExpense,502987.000,419143.000,99836.000
IncomeTaxesPaidNet,800.000,800.000,800.000
IncreaseDecreaseInAccountsPayable,320313.000,166413.000,-691786.000
IncreaseDecreaseInCustomerAdvances,,0.000,
IncreaseDecreaseInCustomerAdvancesAndDeposits,47650.000,,
InterestAndDebtExpense,,14653.000,39408.000
InterestExpense,148086.000,,
InterestPaid,,0.000,0.000
IssuanceOfStockAndWarrantsForServicesOrClaims,,24000.000,
NetCashProvidedByUsedInFinancingActivities,144500.000,212603.000,-124126.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,144500.000,212603.000,-124126.000
NetCashProvidedByUsedInInvestingActivities,,0.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,0.000,
NetCashProvidedByUsedInOperatingActivities,-144510.000,-211705.000,123581.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-144510.000,-211705.000,123581.000
NetIncomeLoss,,-457796.000,-219874.000
ProceedsFromConvertibleDebt,85000.000,,78625.000
ProceedsFromIssuanceOfCommonStock,,0.000,0.000
ProceedsFromNotesPayable,,50000.000,
ProceedsFromRelatedPartyDebt,-2100.000,162603.000,
ProceedsFromRepaymentsOfRelatedPartyDebt,,0.000,-202751.000
ProfitLoss,-858573.000,-457796.000,219874.000
ResearchAndDevelopmentExpense,207500.000,24000.000,39900.000
ShareBasedCompensation,47687.000,,
StockIssuedDuringPeriodValueAcquisitions,40000.000,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,675000.000,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,143000.000,,
StockIssuedDuringPeriodValueShareBasedCompensationGross,64000.000,,
StockOptionPlanExpense,,46026.000,0.000
WeightedAverageNumberOfSharesIssuedBasic,,56271476.000,
WeightedAverageNumberOfSharesOutstandingBasic,47687536.000,,67410816.000
