,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,17453.000,18573.000,19693.000,20935.000,0.000,0.000,0.000,,,,,,,,,12381.000,21940.000
AccumulatedAmortizationOfOtherDeferredCosts,,,,,,,,,,,,-1305.000,-1392.000,-1479.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,-400.000,-800.000,-1600.000,-2000.000,-2400.000,-2800.000,3200.000,3600.000,4000.000,4400.000,4800.000,5200.000,5600.000
AdditionalPaidInCapital,-24725.000,-24725.000,-24725.000,-24725.000,429033.000,429033.000,429033.000,429033.000,429033.000,429033.000,429033.000,429033.000,429033.000,442626.000,1479626.000,1488626.000,1491465.000
Assets,1948.000,1948.000,1948.000,1948.000,281209.000,120987.000,16726.000,12831.000,17539.000,11354.000,15471.000,11820.000,20903.000,10884.000,9304.000,9814.000,8426.000
AssetsCurrent,,,,,267236.000,107501.000,4214.000,806.000,6001.000,303.000,4907.000,1743.000,11313.000,1781.000,688.000,1685.000,784.000
BrokerDealerSecuritiesOwnedNotReadilyMarketableAtEstimatedFairValue,,,,,,,,,,,,,124800.000,124800.000,,,
Cash,1948.000,1948.000,1948.000,1948.000,238486.000,100751.000,4214.000,806.000,6001.000,303.000,4082.000,1743.000,11313.000,1781.000,688.000,1685.000,784.000
CashAndCashEquivalentsAtCarryingValue,1948.000,1948.000,1948.000,1948.000,238486.000,100751.000,,806.000,6001.000,303.000,4082.000,1743.000,11313.000,1781.000,688.000,1685.000,784.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,0.750,0.750,,,
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,,,1200000.000,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000,450000000.000
CommonStockSharesIssued,113525000.000,113525000.000,113525000.000,113525000.000,73000000.000,73000000.000,73000000.000,73000000.000,73000000.000,73000000.000,73000000.000,73000000.000,73000000.000,74200000.000,135200000.000,136200000.000,136200000.000
CommonStockSharesOutstanding,,,,,73000000.000,73000000.000,73000000.000,73000000.000,73000000.000,73000000.000,73000000.000,73000000.000,73000000.000,74200000.000,135200000.000,136200000.000,136200000.000
CommonStockSharesSubscriptions,,,,,,,,,,,,,,,,,16987.000
CommonStockValue,113525.000,113525.000,,,73000.000,73000.000,73000.000,73000.000,73000.000,73000.000,73000.000,73000.000,73000.000,74200.000,135200.000,136200.000,136361.000
CommonStockValueOutstanding,,,113525.000,113525.000,,,,,,,,,,,,,
ConvertibleNotesPayableCurrent,,,,,,,,,,,,,,,,15000.000,12000.000
DeferredTaxAssetsLiabilitiesNet,,,,,,,,,,0.000,,,,,,,
DeferredTaxAssetsNet,,,,,,,,,,,,,,223337.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,184763.000,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,-184763.000,,,,223337.000,,,
DerivativeLiabilitiesCurrent,,,,,,,,,,,,,,,,10804.000,9852.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,,,-227049.000,-387271.000,-491079.000,-502952.000,521181.000,,,,,,,,
DueToRelatedPartiesCurrent,29030.000,31173.000,33386.000,35615.000,6225.000,6225.000,5772.000,13750.000,36312.000,47994.000,72480.000,91510.000,139432.000,151050.000,16093.000,26269.000,25595.000
FairValueAssumptionsExercisePrice,,,,,,,,,,,,,,,,0.020,0.099
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,-609.000,-696.000,-870.000,-957.000,-1044.000,-1131.000,1218.000,1305.000,1392.000,1479.000,1566.000,1653.000,1740.000
FiniteLivedIntangibleAssetsNet,,,,,6373.000,6286.000,6112.000,6025.000,5938.000,5851.000,5764.000,5677.000,5590.000,5503.000,5416.000,5416.000,5242.000
FiniteLivedPatentsGross,,,,,6982.000,6982.000,6982.000,6982.000,6982.000,6982.000,6982.000,6982.000,6982.000,6982.000,6982.000,6982.000,6982.000
IntangibleAssetsNetExcludingGoodwill,,,,,6373.000,6286.000,6112.000,6025.000,,,,,,,,,
Liabilities,,,,56550.000,6225.000,6225.000,5772.000,13750.000,36687.000,52743.000,72855.000,96510.000,140932.000,151050.000,16093.000,64454.000,194387.000
LiabilitiesAndStockholdersEquity,1948.000,1948.000,1948.000,1948.000,281209.000,120987.000,16726.000,12831.000,17539.000,11354.000,15471.000,11820.000,20903.000,10884.000,9304.000,9814.000,8426.000
LiabilitiesCurrent,46483.000,49746.000,53079.000,,6225.000,6225.000,5772.000,13750.000,36687.000,52743.000,72855.000,96510.000,140932.000,151050.000,16093.000,64454.000,194387.000
OperatingLossCarryforwardsValuationAllowance,,,,,,,,,,,,,,656992.000,,,
OtherAccruedLiabilitiesCurrent,,,,,,,,,375.000,4749.000,375.000,5000.000,1500.000,,,,
OtherAssets,,,,,,,,,,,,,,,5416.000,5329.000,5242.000
OtherIntangibleAssetsNet,,,,,,,,,,,,5677.000,5590.000,5503.000,,,
PreferredStockParOrStatedValuePerShare,,,,,,,,,,0.001,0.001,0.001,0.001,,,,
PreferredStockSharesAuthorized,,,,,,,,,,10000000.000,10000000.000,10000000.000,10000000.000,,,,
PreferredStockSharesIssued,,,,,,,,,,,0.000,0.000,0.000,,,,
PreferredStockSharesOutstanding,,,,,,,,,,,0.000,0.000,0.000,,,,
PreferredStockValue,,,,,,,,,,0.000,,,,,,,
PrepaidExpenseAndOtherAssetsCurrent,,,,,28750.000,6750.000,0.000,0.000,,0.000,825.000,,,,,,
PropertyPlantAndEquipmentGross,,,,,8000.000,8000.000,8000.000,8000.000,8000.000,8000.000,8000.000,8000.000,8000.000,8000.000,8000.000,8000.000,8000.000
PropertyPlantAndEquipmentNet,,,,,7600.000,7200.000,6400.000,6000.000,5600.000,5200.000,4800.000,4400.000,4000.000,3600.000,3200.000,2800.000,2400.000
RetainedEarningsAccumulatedDeficit,-133335.000,-136598.000,-139931.000,-143402.000,,,,,,-543422.000,-559417.000,-586723.000,-622062.000,-656992.000,-1621615.000,-1679466.000,-1813787.000
SaleOfStockPricePerShare,,,,,,,,,,,,,,,0.018,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,1200000.000,1200000.000,,,,,,,,,,,
SharePrice,,,,,,,,,,,,,,,,0.035,0.180
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,,,,,0.750,0.750,,,,,,,,,,,
StockholdersEquity,-44535.000,-47798.000,-51131.000,-54602.000,274984.000,114762.000,10954.000,-919.000,-19148.000,-41389.000,-57384.000,-84690.000,-120029.000,-140166.000,-6789.000,-54640.000,-185961.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,-54602.000,274984.000,114762.000,10954.000,-919.000,-19148.000,-41389.000,-57384.000,-84690.000,-120029.000,-140166.000,-6789.000,-54640.000,-185961.000
TemporaryEquitySharesIssued,,,,,,,,,,,,,12000000.000,12000000.000,,,
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,,,,,1200000.000,1200000.000,,,,,,,,,,,
