,2011-12-31,2012-06-30,2012-09-30,2012-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,-7114.000,,
EarningsPerShareBasicAndDiluted,-0.020,0.000,0.000,0.000
GeneralAndAdministrativeExpense,750.000,144.000,8443.000,7264.000
IncomeLossFromContinuingOperations,,,,-62371.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,-9281.000,-73311.000,-62288.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-57053.000,,,
IncomeTaxExpenseBenefit,0.000,,,
IncreaseDecreaseInAccruedLiabilities,,-653.000,,
NetCashProvidedByUsedInFinancingActivities,,2820.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,2820.000,,
NetCashProvidedByUsedInOperatingActivities,,-9934.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-9934.000,,
NetIncomeLoss,,-9281.000,-73311.000,-62288.000
OfficersCompensation,51500.000,1500.000,,
OperatingExpenses,57053.000,9281.000,73311.000,62371.000
OtherIncome,,,,-83.000
OtherOperatingIncomeExpenseNet,,,,-83.000
ProceedsFromShortTermDebt,,2820.000,,
ProfessionalFees,4803.000,7637.000,64868.000,55107.000
ProfitLoss,-57053.000,,,
Revenues,0.000,,,
SalariesWagesAndOfficersCompensation,,1500.000,,
SalesRevenueNet,0.000,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,3759400.000,496488386.000,500075386.000
