,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,1114000.000,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,329000.000,,,,,,,,
AllocatedShareBasedCompensationExpense,3824000.000,1996000.000,1114000.000,1305000.000,1295000.000,1485000.000,1315000.000,1554000.000,1809000.000,1645000.000,1793000.000
AmortizationOfDebtDiscountPremium,,,111000.000,,,,,,,,
AmortizationOfFinancingCosts,,,17000.000,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1492453.000,1120197.000,1852004.000,6125865.000,,,6635911.000,,,,7957977.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,-12498000.000,,,,-17368000.000
ComprehensiveIncomeNetOfTax,-11712000.000,-11215000.000,-17536000.000,-15679000.000,-17371000.000,-7217000.000,-17802000.000,-23986000.000,-26829000.000,-21874000.000,-25279000.000
CostOfGoodsSoldAmortization,,,378000.000,585000.000,505000.000,490000.000,501000.000,503000.000,502000.000,500000.000,503000.000
DeferredIncomeTaxExpenseBenefit,,,26000.000,,,,-185000.000,,,,
DepreciationAndAmortization,,,631000.000,,,,822000.000,,,,1429000.000
EarningsPerShareBasicAndDiluted,-0.730,-0.630,-1.020,-1.030,-0.810,-0.080,-0.760,-0.970,-1.100,-0.870,-1.020
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,-164000.000,,,,457000.000,,,,82000.000
ForeignCurrencyTransactionGainLossBeforeTax,-47000.000,46000.000,103000.000,-188000.000,-2000.000,5000.000,2000.000,-5000.000,3000.000,-2000.000,
GainLossOnDerivativeInstrumentsNetPretax,,,,,,,,,,,12000.000
GeneralAndAdministrativeExpense,4728000.000,4194000.000,4861000.000,5804000.000,5515000.000,10294000.000,5998000.000,8854000.000,7950000.000,7868000.000,8491000.000
GoodwillAndIntangibleAssetImpairment,,,0.000,,,,,,,,
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,,,,,0.000,0.000,0.000,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,-25373000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-11642000.000,-10143000.000,-16695000.000,-17089000.000,-17358000.000,-7509000.000,-18733000.000,-24014000.000,-27295000.000,,
IncomeTaxExpenseBenefit,16000.000,35000.000,26000.000,-23000.000,1000.000,-722000.000,-185000.000,-237000.000,-358000.000,-281000.000,0.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,16000.000,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,-1230000.000,,,,-695000.000,,,,4293000.000
IncreaseDecreaseInAccountsReceivable,,,,,,,534000.000,,,,4302000.000
IncreaseDecreaseInAccruedLiabilities,,,1952000.000,,,,130000.000,,,,-3123000.000
IncreaseDecreaseInDeferredRevenue,,,14542000.000,,,,-1757000.000,,,,2200000.000
IncreaseDecreaseInDueFromRelatedPartiesCurrent,,,-209000.000,,,,-58000.000,,,,
IncreaseDecreaseInInventories,,,40000.000,,,,300000.000,,,,-189000.000
IncreaseDecreaseInOperatingLiabilities,,,,,,,,,,,-46000.000
IncreaseDecreaseInOtherCurrentLiabilities,,,-17000.000,,,,56000.000,,,,1000.000
IncreaseDecreaseInOtherReceivables,,,1000.000,,,,1119000.000,,,,37000.000
IncreaseDecreaseInPrepaidExpense,,,422000.000,,,,320000.000,,,,-962000.000
InterestIncomeExpenseNonoperatingNet,4000.000,5000.000,-451000.000,-2306000.000,-2380000.000,-2340000.000,-2309000.000,-2315000.000,-3601000.000,-3884000.000,-4534000.000
InterestPaid,,,,,,,2042000.000,,,,3784000.000
NetCashProvidedByUsedInContinuingOperations,,,1149000.000,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,14613000.000,,,,,,,,39165000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,14613000.000,,,,,,,,39165000.000
NetCashProvidedByUsedInInvestingActivities,,,-13463000.000,,,,5838000.000,,,,-36009000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-13463000.000,,,,5838000.000,,,,-36009000.000
NetCashProvidedByUsedInOperatingActivities,,,163000.000,,,,-18793000.000,,,,-20606000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,163000.000,,,,-18793000.000,,,,-20606000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-11658000.000,-10178000.000,-16721000.000,-17066000.000,-17359000.000,-6787000.000,-18548000.000,-23777000.000,-26937000.000,-21370000.000,-25373000.000
NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationWarrantsIssued1,,,329000.000,,,,,,,,
NonoperatingIncomeExpense,-43000.000,51000.000,-348000.000,-3265000.000,-1790000.000,-1032000.000,-1694000.000,-2346000.000,-3597000.000,-3033000.000,-4703000.000
OperatingExpenses,12089000.000,10540000.000,17152000.000,14783000.000,17254000.000,25857000.000,19702000.000,25118000.000,28409000.000,24758000.000,26097000.000
OperatingIncomeLoss,-11599000.000,-10194000.000,-16347000.000,-13824000.000,-15568000.000,-6477000.000,-17039000.000,-21668000.000,-23698000.000,-18618000.000,-20670000.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,,,,,-35000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,-54000.000,-1037000.000,-815000.000,1470000.000,-65000.000,-313000.000,588000.000,-216000.000,123000.000,-492000.000,129000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,-83000.000,53000.000,,158000.000,7000.000,-15000.000,,
OtherNonoperatingGainsLosses,,,,2000.000,,,,,,,
OtherNonoperatingIncomeExpense,,,,,,,3000.000,-69000.000,12000.000,851000.000,-181000.000
PaidInKindInterest,,,,,,,2163000.000,,,,
PaymentsForProceedsFromInvestments,,,,,,,-2400000.000,,,,
PaymentsOfFinancingCosts,,,171000.000,,,,,,,,
PaymentsToAcquireInvestments,,,,,,,26713000.000,,,,55945000.000
