,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,,,8305.000,14534.000,6799.000,575.000,331790.000
AccountsPayableRelatedPartiesCurrent,,,,,,,66383.000
AccountsReceivableNetCurrent,,,,,,,16419.000
AccruedInsuranceCurrent,,,,,,,101433.000
AccruedLiabilitiesAndOtherLiabilities,,,45145.000,,,,
AccruedLiabilitiesCurrent,,,,,1300.000,,86785.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,48474.000,,,
AccruedLiabilitiesForCommissionsExpenseAndTaxes,,,,1800.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,5093.000
AdditionalPaidInCapital,,,230000.000,,230000.000,7165790.000,2087330.000
AdvanceRoyaltiesCurrent,,,,6934.000,,,
Assets,,,,,,,3912246.000
AssetsCurrent,,,,,0.000,,1804536.000
AssetsFairValueDisclosure,,,,,,,0.000
Cash,,,,,,,100135.000
CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,,,,,,,100135.000
CashFDICInsuredAmount,,,,,,,250000.000
CashUninsuredAmount,,,,,,,0.000
CommonStockAdditionalSeriesNoParValue,,,,0.000,,,
CommonStockAdditionalSeriesSharesAuthorized,,,,100000000.000,,,
CommonStockAdditionalSeriesSharesOutstanding,,,,14425903.000,,,
CommonStockNoParValue,,,,,0.000,,
CommonStockParOrStatedValuePerShare,,,,,,0.001,0.001
CommonStockSharesAuthorized,,,100000000.000,,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,,,,,14425903.000,577056.000,17976171.000
CommonStockSharesOutstanding,,,,,14425903.000,577056.000,17976171.000
CommonStockValue,,,6903766.000,6903766.000,6903766.000,577.000,17979.000
ConvertibleNotesPayableCurrent,,,,,,,1875000.000
ConvertiblePreferredStockParStatedValuePerShare,,,,0.000,,,
ConvertiblePreferredStockSharesIssued,,,,0.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,14217.000,300000.000,
DeferredTaxAssetsValuationAllowance,,,,,0.000,-67950.000,
DepositLiabilitiesAccruedInterest,,,,,,318696.000,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,-60390.000,,85078.000,,
DueToRelatedPartiesCurrent,,,,,6934.000,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,6250.000
Goodwill,,,,,,,1770221.000
IntangibleAssetsNetExcludingGoodwill,,,,,,,118750.000
InterestPayableCurrent,,,,,55617.000,,
InventoryFinishedGoods,,,,,,,319380.000
InventoryNet,,,,,,,1493872.000
InventoryRawMaterials,,,,,,,958398.000
InventoryWorkInProcess,,,,,,,216094.000
Liabilities,,,,,,625575.000,
LiabilitiesAndStockholdersEquity,,,0.000,0.000,0.000,,3912246.000
LiabilitiesCurrent,,,228859.000,238616.000,253547.000,625575.000,3059391.000
LiabilityForUncertainTaxPositionsCurrent,,,,,,625000.000,
NotesPayableRelatedPartiesClassifiedCurrent,,,,,182897.000,,598000.000
OtherReceivablesNetCurrent,,,,,,,23276.000
PostconfirmationLiabilitiesAndStockholdersEquity,,,,166874.000,,,
PreferredStockAdditionalSeriesSharesAuthorized,,,,1000000.000,,,
PreferredStockNoParValue,,,,,0.000,,
PreferredStockParOrStatedValuePerShare,,,,,,0.000,
PreferredStockSharesAuthorized,,,1000000.000,,1000000.000,1000000.000,
PreferredStockSharesIssued,,,,,0.000,0.000,
PreferredStockSharesOutstanding,,,,,0.000,0.000,
PrepaidExpenseCurrent,,,,,,,170834.000
PropertyPlantAndEquipmentNet,,,,,,,218739.000
RetainedEarningsAccumulatedDeficit,,,-7302235.000,230000.000,-7302235.000,-7791942.000,-1252454.000
SaleOfStockPricePerShare,,,,,,,1.250
SecuritiesSoldUnderAgreementsToRepurchaseNotSubjectToMasterNettingArrangement,,,,,,475679.000,
SharePrice,,,,,,,2.500
SharesIssued,,,-228859.000,,,,
StockholdersEquity,,,-228859.000,-238616.000,-253547.000,-625575.000,852855.000
StockholdersEquityBeforeTreasuryStock,,,,,,-625575.000,
UnamortizedDebtIssuanceExpense,,,,,,625000.000,
