,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,,,1052000.000,1360000.000,1273000.000,,1381000.000,1711000.000,1529000.000,1602000.000,1909000.000
AmortizationOfFinancingCosts,,,39000.000,,,,49000.000,,,,49000.000,,,,
AmortizationOfIntangibleAssets,1341000.000,1341000.000,1361000.000,1674000.000,1684000.000,1705000.000,1840000.000,1839000.000,2756000.000,2090000.000,795000.000,782000.000,712000.000,699000.000,695000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,0.000,0.000,0.000,,,,0.000,,,,0.000,0.000,0.000,0.000,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,0.090,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,0.080,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,3173000.000,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,65555000.000,,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,,,7898000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,137000.000,,52000.000,,,,239000.000,,,,-150000.000
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,0.000,,,,,,,,,,,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,0.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,319000.000,,,,2992000.000,,,,2320000.000,,,,7711000.000
ComprehensiveIncomeNetOfTax,5749000.000,9914000.000,2947000.000,11584000.000,10153000.000,2611000.000,704000.000,6767000.000,9836000.000,6100000.000,4096000.000,8875000.000,13497000.000,8967000.000,11780000.000
CostOfRevenue,49951000.000,56960000.000,39091000.000,59421000.000,61601000.000,52201000.000,49005000.000,67303000.000,71385000.000,67063000.000,55099000.000,69967000.000,74125000.000,77498000.000,72616000.000
DeferredIncomeTaxExpenseBenefit,,,-478000.000,,,,-193000.000,,,,-1476000.000,,,,-2399000.000
Depreciation,600000.000,600000.000,,,,,,,,,,,,,
DepreciationAndAmortization,,,2038000.000,,,,2867000.000,,,,2027000.000,,,,2405000.000
EarningsPerShareBasic,0.170,0.280,0.080,0.320,0.280,0.070,0.020,0.180,0.290,0.180,0.090,0.240,0.370,0.270,0.280
EarningsPerShareDiluted,0.170,0.270,0.080,0.310,0.270,0.070,0.020,0.180,0.280,0.180,0.090,0.240,0.360,0.250,0.270
EffectOfExchangeRateOnCashAndCashEquivalents,,,6000.000,,,,-163000.000,,,,99000.000,,,,341000.000
EffectiveIncomeTaxRateContinuingOperations,0.371,0.224,0.370,-0.004,0.244,-0.417,0.371,0.332,0.220,-0.652,0.260,0.169,0.090,-0.347,0.067
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.350,,,,0.350,,,,0.350,,,,0.350
