,2011-06-30,2011-09-30,2015-12-31,2016-12-31,2017-03-31
AccountsPayableCurrent,623530.000,611948.000,1025510.000,974872.000,893635.000
AccountsPayableRelatedPartiesCurrent,,,68002.000,39000.000,123000.000
AccountsReceivableNetCurrent,13935.000,9415.000,1346.000,2794.000,32300.000
AccruedLiabilitiesCurrent,365470.000,413627.000,,,
AdditionalPaidInCapital,4495858.000,4569317.000,12048006.000,13311263.000,13428391.000
Assets,152405.000,134588.000,579786.000,286226.000,194498.000
AssetsCurrent,85818.000,71511.000,558770.000,251388.000,159660.000
CashAndCashEquivalentsAtCarryingValue,9704.000,2240.000,492004.000,152404.000,39649.000
CashEquivalentsAtCarryingValue,,,492004.000,,
CashUninsuredAmount,,,292004.000,292000.000,
ClassOfWarrantOrRightOutstanding,,,0.000,0.000,
CommitmentsAndContingencies,0.000,0.000,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,77935533.000,80048730.000,137085646.000,140596646.000,141133646.000
CommonStockSharesOutstanding,77935533.000,80048730.000,137085646.000,140596646.000,141133646.000
CommonStockValue,7794.000,8005.000,13708.000,14059.000,14113.000
ConvertibleDebtCurrent,,,10000.000,,
ConvertibleNotesPayable,,,10000.000,,
ConvertibleNotesPayableCurrent,372492.000,352301.000,10000.000,10000.000,0.000
DebtInstrumentUnamortizedDiscount,,32198.000,0.000,,
DebtInstrumentUnamortizedDiscountPremiumNet,25008.000,,0.000,,
DeferredTaxAssetsGross,,,6327000.000,7177000.000,7263000.000
DeferredTaxAssetsLiabilitiesNet,,,0.000,0.000,0.000
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,0.000,0.000,
DeferredTaxAssetsValuationAllowance,,,6327000.000,7177000.000,7263000.000
DeferredTaxLiabilities,,,,,0.000
DeferredTaxLiabilitiesCurrent,,,0.000,0.000,
DerivativeLiabilitiesCurrent,261699.000,131851.000,0.000,,
EmployeeRelatedLiabilitiesCurrent,1301590.000,1424390.000,3090390.000,3576390.000,3673590.000
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,,,0.000,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,58605.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,2872.000,994.000,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,4536.000,4536.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,4536.000,4536.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,4536.000,4536.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,4536.000,4536.000,
FiniteLivedIntangibleAssetsGross,,,77743.000,77743.000,77743.000
FiniteLivedIntangibleAssetsNet,46364.000,44956.000,21016.000,19138.000,19138.000
GroundLeasesAccumulatedAmortization,,,56727.000,58605.000,
InterestPayableCurrentAndNoncurrent,,,,2760.000,
InventoryFinishedGoods,,,33423.000,57224.000,52577.000
InventoryNet,61681.000,59856.000,65420.000,85210.000,79494.000
InventoryWorkInProcess,,,31997.000,27986.000,26917.000
Liabilities,3056888.000,3064597.000,4336788.000,4903872.000,4909835.000
LiabilitiesAndStockholdersEquity,152405.000,134588.000,579786.000,286226.000,194498.000
LiabilitiesCurrent,3056888.000,3064597.000,4336788.000,4772150.000,4778113.000
LongTermNotesPayable,,,,131722.000,131722.000
NotesPayableRelatedPartiesClassifiedCurrent,132107.000,130480.000,210888.000,210888.000,210888.000
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,210888.000,210888.000,210888.000
OperatingLossCarryforwards,,,15819000.000,17943000.000,
OtherAssetsNoncurrent,46364.000,44956.000,21016.000,19138.000,19138.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,498.000,,0.000,10980.000,8217.000
PropertyPlantAndEquipmentNet,20223.000,18121.000,0.000,15700.000,15700.000
RetainedEarningsAccumulatedDeficit,-7408135.000,-7507331.000,-15818716.000,-17942968.000,-18157841.000
StockholdersEquity,-2904483.000,-2930009.000,-3757002.000,-4617646.000,-4715337.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-2904483.000,-2930009.000,-3757002.000,-4617646.000,-4715337.000
