,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-06-30
AmortizationOfIntangibleAssets,,,,,,,,2616.000
CashPeriodIncreaseDecrease,2510.000,,,,-2004.000,,,-393934.000
CostOfGoodsSold,,0.000,0.000,,,0.000,0.000,
CostsAndExpenses,9036.000,5884.000,3429.000,7367.000,6765.000,5405.000,8407.000,328671.000
Depreciation,,,,,,,,1124.000
EarningsPerShareBasicAndDiluted,-0.000,,0.000,,,,,
GainsLossesOnExtinguishmentOfDebt,,0.000,32249.000,,,0.000,88533.000,
IncreaseDecreaseInAccruedLiabilities,-3580.000,,,,41.000,,,1710.000
IncreaseDecreaseInPrepaidExpense,,,,,,,,155011.000
InterestExpense,1374.000,1374.000,1135.000,1273.000,1361.000,0.000,0.000,
LeaseAndRentalExpense,,0.000,0.000,,,0.000,0.000,6382.000
NetCashProvidedByUsedInFinancingActivities,16500.000,,,,6000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,16500.000,,,,6000.000,,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,-33702.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,-33702.000
NetCashProvidedByUsedInOperatingActivities,-13990.000,,,,-8004.000,,,-360232.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-13990.000,,,,-8004.000,,,-360232.000
NetIncomeLoss,-10410.000,-7258.000,27685.000,-8640.000,-8126.000,-5405.000,80126.000,-328671.000
NonoperatingIncomeExpense,-1374.000,-1374.000,31114.000,-1273.000,-1361.000,0.000,88533.000,
OperatingIncomeLoss,-9036.000,-5884.000,-3429.000,-7367.000,-6765.000,-5405.000,-8407.000,-328671.000
OtherSellingGeneralAndAdministrativeExpense,1348.000,2022.000,1891.000,2037.000,1965.000,4155.000,1360.000,195568.000
PaymentsToAcquireIntangibleAssets,,,,,,,,21398.000
PaymentsToAcquireInvestments,,,,,,,,9950.000
PaymentsToAcquireMachineryAndEquipment,,,,,,,,2354.000
ProceedsFromRelatedPartyDebt,16500.000,,,,,,,
ProfessionalFees,7688.000,3862.000,1538.000,5330.000,4800.000,1250.000,6813.000,81721.000
ResearchAndDevelopmentExpense,,,,,,,,45000.000
Revenues,,,,,,0.000,0.000,
SalesRevenueNet,,,,,,0.000,0.000,
StockIssuedDuringPeriodValueIssuedForServices,,,,,,,,-40000.000
StockIssuedDuringPeriodValueShareBasedCompensationGross,,,,,,,,-78000.000
WeightedAverageNumberOfDilutedSharesOutstanding,,59730000.000,59730000.000,,59730000.000,59730000.000,59730000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,59800604.000
