,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AllocatedShareBasedCompensationExpense,,5343000.000,5018000.000,,5148000.000,6465000.000,5773000.000,6409000.000,7156000.000,7834000.000,8152000.000,7557000.000,7967000.000,8127000.000,8344000.000
AmortizationOfIntangibleAssets,1273000.000,1288000.000,1725000.000,2527000.000,2622000.000,2745000.000,2744000.000,2941000.000,3657000.000,3263000.000,3007000.000,2883000.000,3219000.000,3822000.000,3389000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,4000.000,79000.000,,,2497000.000,2512000.000,,,28000.000,3000.000,,483000.000,1774000.000,26000.000
AssetImpairmentCharges,,,,,,,,,,0.000,,,,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,,,,,0.000,,,,,0.000,0.000,,0.000,,
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,,,,,,28000.000,,,,,
BusinessCombinationAcquisitionRelatedCosts,0.000,223000.000,1082000.000,556000.000,1125000.000,468000.000,1121000.000,1640000.000,900000.000,-1284000.000,-1268000.000,,382000.000,46000.000,1301000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,3768000.000,,,,2155000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-23062000.000,,,,-15445000.000,,,,-19988000.000,,,,-68338000.000,,
ComprehensiveIncomeNetOfTax,,16071000.000,4429000.000,,19110000.000,3990000.000,32095000.000,16051000.000,61000.000,12967000.000,29410000.000,24758000.000,17069000.000,26875000.000,9327000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,-36000.000,-155000.000,-92000.000,-47000.000,-17000.000,-19000.000,-21000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,25000.000,12812000.000,29318000.000,24711000.000,17052000.000,26856000.000,9306000.000
CostOfReimbursableExpense,8554000.000,10842000.000,11152000.000,10816000.000,8783000.000,10106000.000,10801000.000,10848000.000,10345000.000,12273000.000,11087000.000,12109000.000,11635000.000,16576000.000,13928000.000
CostOfServices,175230000.000,187581000.000,187791000.000,181583000.000,192154000.000,202320000.000,204976000.000,205931000.000,217090000.000,223809000.000,230064000.000,230604000.000,256204000.000,262962000.000,250790000.000
CostsAndExpenses,231406000.000,242328000.000,,,,,,,,,,,,,
CurrentIncomeTaxExpenseBenefit,7789000.000,,,,,,,,,,,,,,
DebtInstrumentBasisSpreadOnVariableRate1,,,,,,,,,,,,,0.022,,
DeferredIncomeTaxExpenseBenefit,1984000.000,,,,15000.000,,,,-1541000.000,,,,-1555000.000,,
Depreciation,4207000.000,,,,5464000.000,,,,7009000.000,,,,7139000.000,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,-102000.000,-123000.000,,211000.000,-129000.000,572000.000,-694000.000,451000.000,-1146000.000,-1018000.000,13000.000,329000.000,-166000.000,331000.000
EarningsPerShareBasic,0.090,0.110,0.140,0.190,0.070,0.110,0.160,0.130,0.050,0.170,0.190,0.150,0.100,0.160,0.160
EarningsPerShareDiluted,0.090,0.110,0.130,0.190,0.070,0.100,0.150,0.140,0.050,0.160,0.190,0.140,0.090,0.160,0.160
EffectOfExchangeRateOnCashAndCashEquivalents,2068000.000,,,,6108000.000,,,,-2635000.000,,,,2670000.000,,
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToEntitysCountryOfDomicile,,155698000.000,160561000.000,,162732000.000,173007000.000,177064000.000,177778000.000,182201000.000,,,,,,
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToForeignCountries,,98918000.000,102169000.000,,97890000.000,105982000.000,111403000.000,115154000.000,110437000.000,,,,,,
EscrowDepositDisbursementsRelatedToPropertyAcquisition,,,,,,,,,5797000.000,,,,,,
EscrowDepositDisbursementsRelatedToPropertyAcquisition1,,,,,,,,,,,,,0.000,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,,,,,,,,,,,158000.000,,
ForeignCurrencyTransactionGainLossBeforeTax,,100000.000,300000.000,,200000.000,400000.000,200000.000,-400000.000,1800000.000,100000.000,1100000.000,-4000000.000,-400000.000,-600000.000,-2400000.000
GainLossOnSaleOfInvestments,,,,,,,,,,,,,98000.000,,
GainLossOnSaleOfPropertyPlantEquipment,-1000.000,,,,-47000.000,,,,-762000.000,,,,38000.000,,
GeneralAndAdministrativeExpense,39105000.000,42976000.000,44337000.000,45223000.000,46772000.000,48041000.000,46450000.000,50336000.000,54002000.000,53519000.000,52136000.000,56409000.000,57957000.000,59548000.000,60654000.000
GoodwillAcquiredDuringPeriod,,,,,,,,,6003000.000,,,,1708000.000,,
GoodwillTranslationAdjustments,,,,,1815000.000,,,,-3191000.000,,,,479000.000,,
GoodwillTranslationAndPurchaseAccountingAdjustments,,,,,,,,,,,,,-26000.000,,
ImpairmentOfIntangibleAssetsFinitelived,,,,,,,,,1494000.000,,596000.000,,0.000,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,24386000.000,31161000.000,,17935000.000,25384000.000,33587000.000,31785000.000,,,39745000.000,,21494000.000,36676000.000,35133000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,19947000.000,24386000.000,31161000.000,35020000.000,17935000.000,25384000.000,33587000.000,31785000.000,12906000.000,35537000.000,39745000.000,37036000.000,21494000.000,36676000.000,35133000.000
IncomeTaxExpenseBenefit,,9182000.000,12059000.000,,8500000.000,10704000.000,12100000.000,12146000.000,6376000.000,12250000.000,12986000.000,16068000.000,7905000.000,13431000.000,12796000.000
IncreaseDecreaseInAccountsPayable,1463000.000,,,,-4205000.000,,,,-350000.000,,,,1035000.000,,
IncreaseDecreaseInAccountsReceivable,1512000.000,,,,-19911000.000,,,,-9981000.000,,,,1324000.000,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,,,,,,,,-17627000.000,,
IncreaseDecreaseInDeferredRevenue,-2051000.000,,,,-4731000.000,,,,-360000.000,,,,-4560000.000,,
IncreaseDecreaseInEmployeeRelatedLiabilities,-18101000.000,,,,-23177000.000,,,,-22641000.000,,,,-26262000.000,,
IncreaseDecreaseInOtherAccruedLiabilities,5573000.000,,,,-909000.000,,,,-332000.000,,,,7886000.000,,
IncreaseDecreaseInOtherNoncurrentAssets,,,,,,,,,,,,,135000.000,,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,,,,,,,,,9398000.000,,
IncreaseDecreaseInOtherOperatingAssets,604000.000,,,,-419000.000,,,,-127000.000,,,,,,
IncreaseDecreaseInOtherOperatingLiabilities,1598000.000,,,,2245000.000,,,,187000.000,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,2933000.000,,,,-1400000.000,,,,3114000.000,,,,12057000.000,,
IncreaseDecreaseInRestrictedCash,-926000.000,,,,-112000.000,,,,-2029000.000,,,,-5000.000,,
IncreaseDecreaseInRestructuringReserve,,,,,-208000.000,,,,978000.000,,,,,,
IncreaseDecreaseInUnbilledReceivables,29784000.000,,,,27152000.000,,,,18359000.000,,,,28560000.000,,
InterestAndOtherIncome,,,,,,,,,872000.000,1200000.000,1340000.000,1478000.000,,,
InterestExpense,,,,,,,,,694000.000,666000.000,636000.000,623000.000,667000.000,820000.000,924000.000
InvestmentIncomeInterest,,,,,,,,,1506000.000,1570000.000,1492000.000,,1956000.000,2053000.000,2212000.000
LaborAndRelatedExpense,166676000.000,176739000.000,176639000.000,170767000.000,183371000.000,192214000.000,194175000.000,195083000.000,206745000.000,211536000.000,218977000.000,218495000.000,244569000.000,246386000.000,236862000.000
