,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdvertisingExpense,,0.000,0.000,0.000,0.000,,,,,,,,,
AssetManagementFees,,-10000.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-11394.000,,,,-4567.000,,,,0.000,143491.000,,,
CurrentFederalTaxExpenseBenefit,,5500.000,,,,5500.000,,,,,,,,
DebtInstrumentDecreaseForgiveness,,,,,,46317.000,,,,,,,,
DeferredFederalIncomeTaxExpenseBenefit,,,,,,-5500.000,,,,,,,,
EarningsPerShareBasicAndDiluted,0.000,0.000,-0.010,-0.010,0.000,-0.000,-0.000,-0.000,-0.010,0.000,-0.010,-0.010,-0.010,-0.010
EffectOfExchangeRateOnCash,,,,,,,,,,,-1287.000,,,
EffectiveIncomeTaxRateContinuingOperations,,,,,,0.340,,,,,,,,
FederalIncomeTaxExpenseBenefitContinuingOperations,,0.000,,,,0.000,,,,,,,,
ForeignCurrencyTransactionGainLossRealized,,,,,,,,,,,5062.000,-1962.000,,
GeneralAndAdministrativeExpense,66.000,219.000,223.000,85.000,123.000,209.000,12.000,,,,154328.000,218521.000,136927.000,209183.000
IncomeLossFromContinuingOperations,,,,,,,,,,-5368.000,-267060.000,-287591.000,-223799.000,-290819.000
IncomeTaxExpenseBenefit,,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
IncomeTaxesPaid,,0.000,,,,0.000,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-11679.000,,,,-5683.000,,,,5368.000,15294.000,,,
IncreaseDecreaseInOtherAccruedLiabilities,,,,,,,,,,,10351.000,,,
IncreaseDecreaseInPrepaidExpense,,-2500.000,,,,1069.000,,,,-2500.000,,,,
InterestExpense,,,,,,,,,,,3869.000,3995.000,3508.000,28497.000
InterestPaid,,0.000,,,,0.000,,,,,,,,
LicensesRevenue,-495.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
ManagementFeeExpense,,,15000.000,15000.000,,0.000,0.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,14000.000,,,,5200.000,,,,2500.000,385000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,14000.000,,,,5200.000,,,,2500.000,385000.000,,,
NetCashProvidedByUsedInOperatingActivities,,-25394.000,,,,-9767.000,,,,-2500.000,-240222.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-25394.000,,,,-9767.000,,,,-2500.000,-240222.000,,,
NetIncomeLoss,-2249.000,-16215.000,-20698.000,-24331.000,-25606.000,-3015.000,-14255.000,-2350.000,-5702.000,-5368.000,-265867.000,-293548.000,-227307.000,-325416.000
OperatingCostsAndExpenses,,,,,,,,,,,267060.000,287591.000,223799.000,290819.000
OperatingExpenses,2249.000,16215.000,20698.000,24331.000,25606.000,3015.000,14255.000,2350.000,5702.000,5368.000,,,,
OperatingIncomeLoss,-2249.000,-16215.000,-20698.000,-24331.000,-25606.000,-3015.000,-14255.000,-2350.000,,,,,,
OtherGeneralAndAdministrativeExpense,,,,,,,,,,5368.000,,,,
OtherNonoperatingIncomeExpense,,,,,,,,,,,1193.000,-5957.000,-3508.000,-34597.000
ProceedsFromIssuanceOfCommonStock,,14000.000,,,,,,,,,,,,
ProceedsFromIssuanceOrSaleOfEquity,,,,,,,,,,,385000.000,,,
ProceedsFromRelatedPartyDebt,,0.000,,,,5200.000,,,,2500.000,,,,
ProfessionalFees,1688.000,2412.000,1725.000,3780.000,7151.000,2806.000,14243.000,2350.000,5702.000,,,,,
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,,,,,,,,,,85000.000,85000.000,85000.000,
ResearchAndDevelopmentExpense,,,,,,,,,,,112732.000,69070.000,86872.000,81636.000
RevenueFromEnrollmentAndRegistrationFeesExcludingHospitalityEnterprises,,-3584.000,-3750.000,-5466.000,-3332.000,0.000,0.000,,,,,,,
Revenues,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
SalesRevenueNet,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
StockIssuedDuringPeriodSharesIssuedForCash,,650000.000,,,,,,,,,,,,
StockIssuedDuringPeriodSharesIssuedForServices,,650000.000,,,,,,,,,,,,
StockIssuedDuringPeriodValueIssuedForCash,,13000.000,,,,0.000,,,,,,,,
StockIssuedDuringPeriodValueIssuedForServices,,13000.000,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,2500000.000,3798113.000,4536957.000,4465818.000,-8237052.000,4850000.000,4850000.000,4850000.000,-9700000.000,4850000.000,26805270.000,26805000.000,26805000.000,-53610000.000
