,2011-09-30,2011-12-31,2012-03-31
AccountsPayableCurrent,1403650.000,2491520.000,2212519.000
AccountsReceivableNetCurrent,1257026.000,2197742.000,2115204.000
AccruedLiabilitiesCurrent,19651.000,29395.000,49860.000
AccruedRoyaltiesCurrent,0.000,0.000,
AdditionalPaidInCapitalCommonStock,129911.000,214764.000,218931.000
Assets,2072825.000,3148736.000,2583512.000
AssetsCurrent,2023879.000,2908588.000,2345446.000
CashAndCashEquivalentsAtCarryingValue,533858.000,539933.000,133539.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000
CommonStockSharesAuthorized,200000000.000,200000000.000,190000000.000
CommonStockSharesIssued,52882392.000,55622117.000,55622117.000
CommonStockSharesOutstanding,52882392.000,55622117.000,55622117.000
CommonStockValue,5016.000,5163.000,5163.000
ConvertibleDebtCurrent,50000.000,,
CustomerDepositsCurrent,360917.000,350000.000,351930.000
DebtCurrent,,291667.000,208333.000
DeferredRevenueCurrent,0.000,0.000,
InterestPayableCurrent,125000.000,,
InventoryNet,9663.000,9422.000,8779.000
Liabilities,2779326.000,3766024.000,3426084.000
LiabilitiesAndStockholdersEquity,2072825.000,3148736.000,2583512.000
LiabilitiesCurrent,2779326.000,3766024.000,3426084.000
LongTermDebtCurrent,416666.000,,
LongTermNotesPayable,0.000,0.000,
NotesPayableRelatedPartiesCurrent,303442.000,,
NotesPayableRelatedPartiesNoncurrent,,303442.000,303442.000
PreferredStockParOrStatedValuePerShare,,,0.000
PreferredStockSharesAuthorized,,,10000000.000
PreferredStockSharesIssued,,,0.000
PreferredStockSharesOutstanding,,,0.000
PrepaidExpenseAndOtherAssetsCurrent,159246.000,16745.000,17254.000
PropertyPlantAndEquipmentNet,48946.000,80148.000,78066.000
ReceivablesLongTermContractsOrPrograms,30244.000,0.000,
RetainedEarningsAccumulatedDeficit,-841428.000,-837215.000,-1066666.000
ShortTermNonBankLoansAndNotesPayable,100000.000,100000.000,100000.000
StockholdersEquity,-706501.000,-617288.000,-842572.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-706501.000,-617288.000,-842572.000
