,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,204329.000,221042.000,121531.000,243796.000,170583.000,275440.000,318959.000,336229.000,297054.000,326080.000,328193.000,331166.000
AccountsPayableCurrent,156125.000,148902.000,,,,,,,,,,,,
AccountsReceivableNetCurrent,,,,,,,,25000.000,,4000.000,,4000.000,3000.000,3000.000
AccruedLiabilitiesCurrent,3026.000,1000.000,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,873.000,873.000,873.000,873.000,873.000,873.000,873.000,873.000,873.000,873.000,873.000,873.000,873.000,873.000
AdditionalPaidInCapital,8010051.000,8010051.000,8010051.000,8010051.000,8010051.000,8184201.000,14346291.000,14346291.000,14346291.000,14349191.000,14349191.000,14349191.000,14349191.000,14349191.000
AssetRetirementObligationsNoncurrent,50000.000,50000.000,0.000,,,,,,,,,,,
Assets,1037094.000,1016794.000,56894.000,22623.000,36358.000,190510.000,42553.000,51855.000,25138.000,34386.000,32243.000,32032.000,31060.000,45433.000
AssetsCurrent,77515.000,48539.000,,,,,,26855.000,,6386.000,,4032.000,3060.000,17433.000
Cash,3198.000,4810.000,87.000,44.000,23377.000,152529.000,17553.000,1855.000,138.000,2386.000,4243.000,32.000,60.000,13513.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,750000000.000,750000000.000,750000000.000,750000000.000,750000000.000,750000000.000,750000000.000,750000000.000,750000000.000,750000000.000,750000000.000,750000000.000,750000000.000,750000000.000
CommonStockSharesIssued,12152617.000,12152617.000,12152617.000,12152617.000,12152617.000,13002617.000,16041674.000,16041674.000,16041674.000,16141674.000,16141674.000,16141674.000,16141674.000,16141674.000
CommonStockSharesSubscriptions,,0.000,0.000,,,,,,,,,,,
CommonStockValue,12153.000,12153.000,12153.000,12153.000,12153.000,13003.000,16042.000,16042.000,16042.000,16142.000,16142.000,16142.000,16142.000,16142.000
ConvertibleDebtCurrent,100000.000,100000.000,116767.000,118762.000,120756.000,427832.000,124789.000,129974.000,132566.000,135239.000,137966.000,140704.000,143528.000,146807.000
DerivativeLiabilitiesCurrent,,,,,,479106.000,,,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,10878136.000,11011409.000,12045863.000,12149697.000,12233443.000,9285801.000,14743525.000,14819265.000,14891093.000,14893288.000,14891890.000,14922619.000,14965751.000,15021342.000
DueFromRelatedPartiesCurrent,74317.000,43729.000,43826.000,9598.000,0.000,0.000,0.000,,,,,,,
InterestPayableCurrent,170259.000,217481.000,248341.000,294196.000,340487.000,0.000,0.000,,,,,,,
Liabilities,3892153.000,4005126.000,4079680.000,4149243.000,4246724.000,1278234.000,422872.000,507914.000,553025.000,561468.000,557927.000,588445.000,630605.000,700569.000
LiabilitiesAndStockholdersEquity,1037094.000,1016794.000,56894.000,22623.000,36358.000,190510.000,42553.000,51855.000,25138.000,34386.000,32243.000,32032.000,31060.000,45433.000
LiabilitiesCurrent,1384403.000,1647376.000,4079680.000,,,,,,,491468.000,487927.000,518445.000,594523.000,599225.000
LoansAndLeasesReceivableOther,959579.000,968255.000,12981.000,12981.000,12981.000,12981.000,0.000,,,,,,,
LoansPayableCurrent,954993.000,1179993.000,3510243.000,,,127500.000,127500.000,102500.000,101500.000,20000.000,52907.000,51661.000,122802.000,121252.000
LongTermLoansPayable,2457750.000,2307750.000,0.000,3515243.000,3663950.000,,,,,70000.000,70000.000,70000.000,36082.000,101344.000
MineralPropertiesNet,,,,,,25000.000,25000.000,25000.000,25000.000,28000.000,28000.000,28000.000,28000.000,28000.000
PreferredStockParOrStatedValuePerShare,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,,,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
PreferredStockSharesIssued,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
PreferredStockValue,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,,,,,,,,,,,,,,920.000
StockholdersEquity,-2855059.000,-2988332.000,-4022786.000,-4126620.000,-4210366.000,-1087724.000,-380319.000,-456059.000,-527887.000,-527082.000,-525684.000,-556413.000,-599545.000,-655136.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-2855059.000,-2988332.000,-4022786.000,-4126620.000,-4210366.000,-1087724.000,-380319.000,-456059.000,-527887.000,-527082.000,-525684.000,-556413.000,-599545.000,-655136.000
