,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,1968781.000,2119178.000,2331157.000,3363876.000,3360027.000,3827992.000,,,,,442407.000,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,1201746.000,995615.000,782863.000,,539671.000,361119.000,289939.000
AccountsPayableCurrent,,,,,,,1149320.000,,,,,,,
AccountsReceivableNetCurrent,78002.000,73280.000,78480.000,26980.000,30332.000,7052.000,8186.000,123903.000,465073.000,805906.000,18897.000,45765.000,68280.000,97033.000
AccountsReceivableNetNoncurrent,429000.000,416000.000,409370.000,,0.000,0.000,0.000,,,,,,,
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,200000.000,,,
AccumulatedAmortizationDeferredFinanceCosts,,,,,,,,,,,366634.000,,907367.000,1171222.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,327913.000,,,,3729.000,5165.000,6621.000,8611.000
AdditionalPaidInCapital,43888097.000,43888097.000,44074097.000,39987079.000,41015159.000,47505640.000,41445027.000,44928093.000,45672094.000,45732093.000,43491445.000,44446217.000,45826349.000,47586292.000
AllowanceForDoubtfulAccountsReceivableCurrent,0.000,0.000,0.000,47000.000,47000.000,47000.000,0.000,0.000,0.000,0.000,,7438.000,9563.000,10115.000
AllowanceForDoubtfulAccountsReceivableNoncurrent,117000.000,130000.000,145630.000,,,,0.000,,,,,,,
Assets,2441117.000,2100119.000,1811860.000,238259.000,618630.000,454302.000,521458.000,167593.000,540285.000,902533.000,1723520.000,1406135.000,1231169.000,1222992.000
AssetsCurrent,164877.000,128552.000,138596.000,52003.000,459158.000,139253.000,521458.000,167593.000,519905.000,884250.000,235408.000,112198.000,158950.000,377459.000
AssetsNoncurrent,,,,0.000,0.000,0.000,0.000,,,,,1293937.000,1072219.000,845533.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,,,,5397070.000,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,,,793064.000,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,,125500.000,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,,,4478506.000,,,
CapitalizedComputerSoftwareGross,,,,,,,,,,,117218.000,,,
CapitalizedComputerSoftwareNet,,,,,,,,,,,,186545.000,237243.000,273931.000
CashAndCashEquivalentsAtCarryingValue,54947.000,22968.000,29523.000,25023.000,428826.000,132201.000,513272.000,43690.000,54832.000,78344.000,190820.000,34735.000,59608.000,249971.000
CashFDICInsuredAmount,,,,,,,250000.000,,,,,,,
CashUninsuredAmount,,,,,,,125457.000,,,,,,,
ClassOfWarrantOrRightOutstanding,,,,197466000.000,207466000.000,257267666.000,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,600000000.000,600000000.000,600000000.000,2000000000.000,2000000000.000,2000000000.000,2000000000.000,4000000000.000,4000000000.000,4000000000.000,,2000000000.000,2000000000.000,2000000000.000
CommonStockSharesIssued,347884722.000,347744944.000,347744934.000,576551137.000,668551140.000,872676680.000,997299586.000,1008299590.000,1033299590.000,1043399590.000,1151410590.000,1157910590.000,1216220590.000,1416080409.000
CommonStockSharesOutstanding,347376337.000,347376537.000,347376527.000,576551137.000,668551140.000,872676680.000,997299586.000,1008299590.000,1033299590.000,1043399590.000,,1157910590.000,1216220590.000,1416080409.000
CommonStockValue,347337.000,347377.000,347377.000,576551.000,668551.000,872677.000,997299.000,1008300.000,1033300.000,1043300.000,1151411.000,1157911.000,1216221.000,1416080.000
ConvertibleNotesPayable,,,,,,,,,,,2156877.000,,,
DeferredCompensationShareBasedArrangementsLiabilityCurrent,,,,,,,,,,,0.000,,,
DeferredCosts,,,,,,,,,,,1354243.000,,,
DeferredRevenueCurrent,65000.000,,,,,,,,,,,,,
DeferredTaxAssetsGrossCurrent,,,,,,,15879453.000,,,,15213128.000,,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,,,0.000,,,,0.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,15879453.000,,,,15213128.000,,,
DepositsAssets,,,,,,,,,,,3600.000,,,
DerivativeLiabilities,,,,,,,5999435.000,0.000,,0.000,1452677.000,1681877.000,1324709.000,1066374.000
