,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesNoncurrent,,,,,,,,,,,,,,,,,,38333.000,35833.000,33333.000,30833.000,28333.000,25832.000
AccountsPayableCurrent,3091067.000,3633211.000,3766617.000,3725524.000,2278408.000,2896567.000,3201479.000,3512203.000,2394766.000,2420571.000,2273853.000,2092915.000,1741994.000,2183565.000,827988.000,688397.000,397927.000,907434.000,437777.000,1057169.000,1529554.000,1085472.000,1003149.000
AccountsReceivableGrossCurrent,,,,,,170600.000,,,,214920.000,,,,,,,,,,,,,
AccountsReceivableNetCurrent,1188722.000,1376786.000,1104084.000,796593.000,290982.000,170600.000,224120.000,225540.000,163806.000,214920.000,187790.000,166137.000,117479.000,383533.000,255126.000,84380.000,664567.000,325694.000,56461.000,101883.000,119285.000,103314.000,320575.000
AccountsReceivableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,290625.000,,,,,,
AccruedBonusesCurrent,,,,,,,,,,,,,,,,,,,,,,290000.000,290000.000
AccruedEmployeeBenefitsCurrent,,,,,29159.000,31197.000,29501.000,118542.000,69929.000,91385.000,73845.000,96238.000,95427.000,101445.000,91134.000,107474.000,122708.000,102792.000,138985.000,84538.000,90316.000,119472.000,136988.000
AccruedEmployeeBenefitsCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,327469.000,327469.000,327469.000,358719.000,358720.000,333609.000
AccruedIncomeTaxesCurrent,4850.000,200.000,300.000,,483.000,21486.000,24428.000,27903.000,30178.000,75851.000,86529.000,38800.000,46800.000,35158.000,29098.000,6732.000,9528.000,7073.000,15195.000,18400.000,23837.000,12290.000,11120.000
AccruedLiabilitiesCurrent,236291.000,374006.000,305840.000,241632.000,247540.000,519672.000,607414.000,718811.000,612099.000,554264.000,540564.000,582691.000,634308.000,699067.000,673737.000,719837.000,715480.000,734497.000,769117.000,915062.000,1053288.000,1331983.000,1245973.000
AccruedProfessionalFeesCurrent,,,,,71893.000,181227.000,113077.000,126827.000,60077.000,69500.000,25000.000,40000.000,55000.000,45000.000,33500.000,52000.000,70500.000,89000.000,76125.000,79208.000,193196.000,137099.000,157885.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,2398740.000,,,,2696339.000,,,,2146585.000,,,,1042122.000,,,,1686614.000,
AdditionalPaidInCapital,19280631.000,19366601.000,19455241.000,19512638.000,19638698.000,19671480.000,20019153.000,20038500.000,22590615.000,23244639.000,25807574.000,26058945.000,27858832.000,29752083.000,72330410.000,73006471.000,73450245.000,73665601.000,73900825.000,74307065.000,80772108.000,94541168.000,95947859.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,0.000,,,,0.000,,,,,,,,,,,,,
Assets,7035019.000,6901020.000,5818697.000,4727454.000,2502428.000,2425948.000,3084035.000,2496524.000,4530765.000,2862121.000,2991878.000,4840687.000,3944441.000,3700162.000,26160266.000,24333838.000,22131954.000,19562629.000,15686027.000,12882438.000,14968477.000,22345260.000,18308917.000
AssetsCurrent,5719470.000,5375510.000,4136406.000,3145228.000,1235066.000,1209674.000,1713139.000,1217613.000,3461399.000,1679623.000,1560186.000,3115010.000,1996306.000,1959449.000,24536038.000,22599352.000,20147537.000,16530211.000,12452260.000,9452744.000,11071515.000,18230053.000,14200064.000
AssetsFairValueDisclosure,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000000.000,,,,,,,
AssetsFairValueDisclosureRecurring,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5000000.000,,,,,,,
AvailableForSaleSecurities,,,,,,,,,,,,,,,,5000000.000,,,,,,,
CapitalLeaseObligations,,,,,,97285.000,,,,41552.000,,,,16882.000,,,,0.000,,,,,
CapitalLeaseObligationsCurrent,95100.000,89456.000,84684.000,79640.000,51414.000,57244.000,44978.000,34830.000,26892.000,24670.000,21881.000,20372.000,21792.000,16882.000,11629.000,6009.000,0.000,0.000,,,,,
CapitalLeaseObligationsNoncurrent,93043.000,69796.000,52000.000,35767.000,12673.000,40041.000,33936.000,26381.000,21792.000,16882.000,11629.000,6009.000,0.000,0.000,,,,0.000,,,,,
CapitalLeasedAssetsGross,,,,,,189371.000,,,,65775.000,,,,51283.000,,,,0.000,,,,,
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,,,108181.000,,,,13500.000,,,,9053.000,,,,0.000,,,,,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,124453.000,,,,50132.000,,,,18445.000,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,74321.000,,,,31687.000,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,18445.000,,,,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,31687.000,,,,18445.000,,,,18445.000,,,,,,,,,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,,81190.000,,,,52275.000,,,,42230.000,,,,0.000,,,,,
CapitalizedComputerSoftwareAccumulatedAmortization,,,,,,,,,,0.000,,,,71613.000,,,,358063.000,,,,644513.000,
CapitalizedComputerSoftwareGross,,,,,,,,,,240561.000,,,,859351.000,,,,859351.000,,,,859351.000,
CapitalizedComputerSoftwareNet,,,,,,,,,,240561.000,521146.000,722758.000,884351.000,787738.000,716126.000,644513.000,572901.000,501288.000,429676.000,358063.000,286450.000,214838.000,143225.000
CashAndCashEquivalentsAtCarryingValue,639376.000,412617.000,417976.000,411852.000,171574.000,66554.000,532426.000,80922.000,2569135.000,310140.000,271812.000,1971311.000,564302.000,84967.000,22884309.000,15047989.000,16072222.000,11877058.000,8213855.000,4586333.000,5941661.000,14533944.000,10395656.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,,,,,,,,2.370,2.370,,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByEachWarrantOrRight,,,,,,,,,,,,5218092.000,5066292.000,4730992.000,52600.000,45100.000,45100.000,45100.000,45100.000,45100.000,45100.000,38100.000,38100.000
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,533333.000,620396.000,,,643300.000,705196.000,856996.000,,,4168267.000,4168267.000,,,,,,
ClassOfWarrantOrRightOutstanding,,,,,64903778.000,656641.000,863121.000,861901.000,7207075.000,7147775.000,6425107.000,6363211.000,6211411.000,5236660.000,597643.000,575329.000,560329.000,535091.000,535091.000,520091.000,520091.000,401859.000,151850.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,227336.000,227336.000,76104.000,76104.000,0.000,0.000,,,,,,,,,,,,,,,,,
CommonStockSharesAuthorized,700000000.000,700000000.000,700000000.000,700000000.000,700000000.000,700000000.000,700000000.000,700000000.000,700000000.000,700000000.000,700000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,263600274.000,263700274.000,265259348.000,265259348.000,265259348.000,3536865.000,3536865.000,3536865.000,9541153.000,9600453.000,10240745.000,10315141.000,10816363.000,11295387.000,15865141.000,16001434.000,16059434.000,16087951.000,16105451.000,16155529.000,17478177.000,19569247.000,20293173.000
CommonStockSharesOutstanding,263600274.000,263700274.000,265259348.000,265259348.000,265259348.000,3536865.000,3536865.000,3536865.000,9541153.000,9600453.000,10240745.000,10315141.000,10816363.000,11295387.000,15865141.000,16001434.000,16059434.000,16087951.000,16105451.000,16155529.000,,19569247.000,20293173.000
CommonStockValue,263600.000,263700.000,265259.000,265259.000,265259.000,265259.000,3537.000,3537.000,9541.000,9600.000,10241.000,10315.000,10817.000,11296.000,15865.000,16000.000,16058.000,16088.000,16105.000,16156.000,17478.000,19569.000,20293.000
ContractualObligation,,,,,,,,,,,,,,,66800.000,40000.000,1676240.000,,,,,,
ConvertibleDebt,,,,,,,,,,,,3000000.000,3000000.000,3000000.000,,,,,,,,,
ConvertibleNotesPayable,,,,,,,,,,,,,,2806942.000,0.000,,,,,,,,
CustomerDepositsCurrent,895699.000,774112.000,392151.000,28593.000,64893.000,63079.000,59401.000,43811.000,74732.000,170777.000,98368.000,67106.000,177261.000,120550.000,19057.000,21872.000,20534.000,27847.000,52377.000,34970.000,43383.000,66162.000,108285.000
DebtInstrumentCarryingAmount,,,,,,,,,,,,3276375.000,2667896.000,2612005.000,2210731.000,2034659.000,2026180.000,1992030.000,1964636.000,1917905.000,1616198.000,,
DebtInstrumentConvertibleConversionPrice1,,,,,,,,,2.000,2.000,,,,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,,,0.060,,,,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscount,,,,,636678.000,636678.000,,636678.000,,,,1970475.000,1501963.000,1394584.000,1053625.000,874643.000,758636.000,708690.000,575905.000,449509.000,282489.000,175260.000,29616.000
DeferredCostsCurrentAndNoncurrent,,,,,,199571.000,,,,0.000,,,,,,,,,,,,,
DeferredIncomeTaxLiabilities,,,,,,0.000,,,,,,,,,,,,,,,,,
DeferredOfferingCosts,,,,,,199571.000,242640.000,340479.000,0.000,0.000,,,,,,,,,,,,,
DeferredRevenueCurrent,,,,,,,,,,,,,,53403.000,68489.000,68591.000,74031.000,69481.000,114475.000,261135.000,370277.000,509572.000,298173.000
DeferredTaxAssetsGross,,,,,,5151000.000,,,,11466078.000,,,,13728331.000,,,,17244482.000,,,,23286670.000,
DeferredTaxAssetsInventory,,,,,,234000.000,,,,196871.000,,,,,,,,,,,,622168.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,0.000,,,,,,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,,0.000,,,,,,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,,,,0.000,,,,,,,,,,,,,,,,,
DeferredTaxAssetsNet,,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,2881000.000,,,,9739496.000,,,,11418496.000,,,,15027603.000,,,,19752311.000,
DeferredTaxAssetsOther,,,,,,,,,,,,,,876606.000,,,,393218.000,,,,44372.000,
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,1399000.000,,,,1466429.000,,,,1433229.000,,,,1823661.000,,,,2398817.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,,,,,,405000.000,,,,111276.000,,,,,,,,,,,,271095.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,,,,,0.000,,,,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsContingencies,,,,,,9000.000,,,,0.000,,,,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsWarrantyReserves,,,,,,32000.000,,,,10845.000,,,,,,,,,,,,,
DeferredTaxAssetsUnrealizedLossesOnTradingSecurities,,,,,,,,,,47049.000,,,,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,5151000.000,,,,11466078.000,,,,13114304.000,,,,16972917.000,,,,23209855.000,
DeferredTaxLiabilities,,,,,,0.000,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedInterest,,,,,,152000.000,,,,-9673.000,,,,,,,,,,,,,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedPatentCosts,,,,,,0.000,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesOther,,,,,,,,,,,,,,614027.000,,,,271565.000,,,,76815.000,
DepositLiabilitiesAccruedInterest,,,,,,,,,,,,,,75471.000,85191.000,96414.000,103677.000,109984.000,116041.000,,,375560.000,262899.000
DerivativeFairValueOfDerivativeLiability,,,,,,,,915560.000,8576160.000,12035816.000,8363751.000,8961351.000,9920807.000,,,,,,,,,,
DerivativeLiabilities,,,,,,,635299.000,915560.000,8576160.000,12035816.000,8363751.000,7052566.000,8092045.000,10734196.000,,,,,,,,,
DerivativeLiabilitiesNoncurrent,,,,,,,,,8576160.000,12035816.000,8363751.000,8961351.000,9920807.000,13541138.000,175158.000,169027.000,110788.000,240786.000,139120.000,238799.000,297919.000,173131.000,150571.000
DerivativeLiabilityNotionalAmount,,,,,,,635299.000,915560.000,,,,,,,,,,,,,,,
DividendsPayableCurrentAndNoncurrent,,,,,,,,,,,,,,,,735483.000,1121860.000,1514081.000,1907905.000,2307621.000,2717773.000,3134129.000,3547594.000
DueToOfficersOrStockholdersCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,327469.000,,,,648720.000,
EmployeeRelatedLiabilitiesCurrent,,,,,,,,,,,,,,393536.000,386036.000,,,,,,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,199386.000,166604.000,147257.000,127911.000,108564.000,89217.000,69871.000,50524.000,1221338.000,1100000.000,957291.000,1843903.000,1833333.000,2186000.000,2049644.000,1874254.000,2000000.000,2080180.000,1870106.000
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,,,,,,,,,,,,,,,,,,,,,,,150571.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,,,,281985.000,,,,274102.000,,,,351848.000,,,,434717.000,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,53579.000,,,,50058.000,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,53579.000,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,53579.000,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,53579.000,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,53579.000,,,,,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsGross,,,,,,,,,,777593.000,,,,697591.000,,,,867545.000,,,,970178.000,
FiniteLivedIntangibleAssetsNet,,,,,,,,,,495608.000,,,,423489.000,,,,515697.000,,,,535461.000,
