,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,891000.000,885000.000,2295000.000,2614000.000,3314000.000,724000.000,1567000.000,1790000.000,2647000.000,875000.000,1202000.000,566000.000,2071000.000,1590000.000,911000.000
AccountsReceivableNetCurrent,4103000.000,3616000.000,2633000.000,3731000.000,3228000.000,3367000.000,4049000.000,5286000.000,3950000.000,3628000.000,3057000.000,3239000.000,3019000.000,,
AccountsReceivableRelatedPartiesCurrent,3713000.000,3616000.000,2633000.000,3731000.000,,,,,,,,,,,
AccruedIncomeTaxesCurrent,,,,,,,,,,,,,17000.000,,
AccruedLiabilitiesCurrent,5126000.000,6927000.000,4659000.000,6475000.000,5938000.000,6848000.000,6692000.000,8377000.000,8968000.000,12400000.000,12678000.000,11824000.000,12814000.000,13249000.000,12968000.000
AccruedProfessionalFeesCurrent,,1017000.000,,,,426000.000,,,,1198000.000,,,,739000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,19685000.000,,,,19334000.000,,,,20155000.000,,,,21757000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,-43000.000,-62000.000,-21000.000,-220000.000,25000.000,252000.000,-122000.000,-425000.000,-400000.000
AdditionalPaidInCapital,248750000.000,250107000.000,381869000.000,387790000.000,393554000.000,399835000.000,403960000.000,407968000.000,412170000.000,416926000.000,562631000.000,567999000.000,574834000.000,590474000.000,598658000.000
Assets,127260000.000,123732000.000,223040000.000,214644000.000,200712000.000,186296000.000,175573000.000,167518000.000,158420000.000,146337000.000,289602000.000,274230000.000,262885000.000,247647000.000,229129000.000
AssetsCurrent,122761000.000,119022000.000,218453000.000,210161000.000,196431000.000,182307000.000,107768000.000,121013000.000,122383000.000,110933000.000,170687000.000,127039000.000,144990000.000,146786000.000,149033000.000
AssetsFairValueDisclosure,,,,,,170581000.000,,,,,,,,,
AvailableForSaleSecurities,,,,,,,125214000.000,118439000.000,104712000.000,108198000.000,214972000.000,225721000.000,220007000.000,213432000.000,180057000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,22000.000,9000.000,14000.000,0.000,89000.000,279000.000,61000.000,1000.000,2000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,64000.000,71000.000,35000.000,220000.000,64000.000,27000.000,129000.000,426000.000,402000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,,,125256000.000,118501000.000,104733000.000,108418000.000,214947000.000,225469000.000,220075000.000,213857000.000,180457000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,,,,,,,,,5000.000,2000.000,
