,2013-05-31,2013-08-31,2013-11-30,2014-02-28
AccountsPayableAndAccruedLiabilitiesCurrent,0.000,0.000,,0.000
AdditionalPaidInCapital,0.000,,,
AdditionalPaidInCapitalCommonStock,,0.000,,0.000
AssetsCurrent,2560.000,636.000,170.000,108.000
Cash,2560.000,,,
CashAndCashEquivalentsAtCarryingValue,2560.000,636.000,170.000,108.000
CommonStockOtherSharesOutstanding,,25000.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,25000000.000,25000000.000,25000000.000,25000000.000
CommonStockValue,25000.000,,25000.000,25000.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-25940.000,,,
LiabilitiesAndStockholdersEquity,2560.000,,,
LiabilitiesCurrent,3500.000,5500.000,5800.000,6500.000
OtherLoansPayable,,,,700.000
PostconfirmationLiabilitiesAndStockholdersEquity,,636.000,170.000,108.000
RelatedPartyTransactionDueFromToRelatedParty,3500.000,5500.000,5800.000,5800.000
RetainedEarningsAccumulatedDeficit,,-29864.000,-30630.000,31392.000
StockholdersEquity,-940.000,,,
StockholdersEquityBeforeTreasuryStock,,-4864.000,-5630.000,6392.000
