,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,1566000.000,1939000.000,2802000.000,3945000.000,3822000.000,4364000.000,5185000.000,5000000.000,4896000.000,5454000.000,6415000.000,4937000.000,3553000.000
AmortizationOfFinancingCostsAndDiscounts,43000.000,,,,296000.000,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,37009492.000,8468384.000,9884022.000,-45344714.000,9322651.000,,,,10417716.000,12496935.000,11949359.000,-24178886.000,9935374.000
CapitalExpendituresIncurredButNotYetPaid,,,,,281000.000,,,,97000.000,,,,22000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1720000.000,,,,-5384000.000,,,,-4353000.000,,,,-5439000.000
ComprehensiveIncomeNetOfTax,-8927000.000,-6268000.000,-7374000.000,-7986000.000,-16059000.000,-11436000.000,-11281000.000,-7480000.000,-12449000.000,-7405000.000,-9730000.000,-7297000.000,-9025000.000
CostOfGoodsAndServicesSold,9248000.000,12199000.000,11442000.000,11876000.000,8636000.000,12145000.000,14393000.000,15219000.000,13342000.000,15463000.000,13165000.000,13327000.000,11912000.000
CostOfGoodsSold,7882000.000,10560000.000,9764000.000,10159000.000,6808000.000,9619000.000,11707000.000,12362000.000,10439000.000,12413000.000,10070000.000,10309000.000,8736000.000
CostOfServices,1366000.000,1639000.000,1678000.000,1717000.000,1828000.000,2526000.000,2686000.000,2857000.000,2903000.000,3050000.000,3095000.000,3018000.000,3176000.000
DepreciationAndAmortization,500000.000,500000.000,700000.000,500000.000,600000.000,1000000.000,1000000.000,900000.000,900000.000,900000.000,900000.000,800000.000,800000.000
DepreciationDepletionAndAmortization,497000.000,,,,619000.000,,,,896000.000,,,,842000.000
EarningsPerShareBasic,-1.170,-0.140,-0.160,-2.730,,,,,-0.250,-0.150,-0.190,,-0.170
EarningsPerShareBasicAndDiluted,-1.170,-0.140,-0.160,0.620,-0.350,-0.240,-0.240,-0.150,-0.250,-0.150,-0.190,-0.140,-0.170
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,100000.000,100000.000,,200000.000,,,,,,,,
FairValueAdjustmentOfWarrants,-90000.000,,,,0.000,,,,,,,,
