,2011-12-31,2012-12-31
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,214918.000,
CashPeriodIncreaseDecrease,-29430.000,387.000
CostOfGoodsSold,5117401.000,4952108.000
CostsAndExpenses,2357560.000,4486610.000
DebtInstrumentIncreaseDecreaseForPeriodNet,-22934.000,
DebtInstrumentIncreaseDecreaseOtherNet,-44338.000,
Depreciation,98278.000,89537.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,80310.000
EarningsPerShareBasic,,-0.310
EarningsPerShareBasicAndDiluted,-0.140,-0.310
ExtinguishmentOfDebtGainLossNetOfTax,,602745.000
GeneralAndAdministrativeExpense,2259282.000,4397073.000
GrossProfit,2125016.000,583519.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-578563.000,-4737941.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,-4737941.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.130,-0.310
IncomeLossFromDiscontinuedOperationsNetOfTax,-94641.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,-0.010,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,795802.000,2697255.000
IncreaseDecreaseInAccountsReceivable,-564332.000,-1812733.000
IncreaseDecreaseInBookOverdrafts,18099.000,
IncreaseDecreaseInDueFromRelatedParties,-31698.000,-33234.000
IncreaseDecreaseInOtherCurrentAssets,-11747.000,-30000.000
IncreaseDecreaseInOtherCurrentLiabilities,11769.000,53390.000
InterestExpense,356619.000,834850.000
NetCashProvidedByUsedInFinancingActivities,672822.000,-459314.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,672822.000,-459314.000
NetCashProvidedByUsedInInvestingActivities,-845584.000,595037.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-845584.000,595037.000
NetCashProvidedByUsedInOperatingActivities,143332.000,-135336.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,143332.000,-135336.000
NetIncomeLoss,-673204.000,-4737941.000
NetIncomeLossAvailableToCommonStockholdersBasic,,-4737941.000
NonoperatingIncomeExpense,-346019.000,-834850.000
OperatingIncomeLoss,-232544.000,-3903091.000
OtherAdjustmentsToIncomeDiscontinuedOperations,271848.000,
OtherOperatingIncomeExpenseNet,10600.000,
PaymentsForMergerRelatedCosts,688355.000,
PaymentsToAcquireMachineryAndEquipment,229493.000,
PreferredStockDividendRatePercentage,,0.012
ProceedsFromIssuanceOfCommonStock,,340378.000
ProceedsFromLinesOfCredit,47015.000,
ProceedsFromNotesPayable,400250.000,
ProceedsFromRelatedPartyDebt,170000.000,1891000.000
ProceedsFromRepaymentsOfBankOverdrafts,,-18099.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,254659.000
ProfitLoss,-578563.000,-4737941.000
PropertyPlantAndEquipmentDisposals,-72264.000,
RepaymentsOfDebt,61512.000,
Revenues,7242416.000,5535627.000
SalesRevenueNet,7242416.000,5535627.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,585087.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,,0.510
WeightedAverageNumberOfDilutedSharesOutstanding,3306433.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,15307184.000
WeightedAverageNumberOfSharesOutstandingBasic,3306433.000,
