,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,1048615.000,1239770.000,1629479.000,3208118.000,4671651.000,6549357.000,8536953.000,10414750.000,14093425.000,22324169.000,30952792.000,30328673.000,36061767.000,39527928.000,27860993.000,32205191.000,43208759.000,40752458.000,30559977.000,35471070.000,43471677.000,47377341.000,34434803.000
AccumulatedAmortizationDeferredFinanceCosts,,,,,137634.000,216766.000,259688.000,419982.000,655435.000,950826.000,1235886.000,1821364.000,2136302.000,2510317.000,2874294.000,3242444.000,3619707.000,3990027.000,599158.000,0.000,0.000,0.000,
AdditionalPaidInCapitalCommonStock,17201054.000,24790240.000,38260059.000,58979474.000,84817240.000,152807438.000,191130977.000,232495207.000,311914028.000,423355029.000,640181521.000,647012521.000,647057257.000,680138132.000,680178001.000,680206117.000,676069449.000,677624840.000,676752303.000,675823217.000,673917322.000,672018194.000,670035064.000
Assets,40249853.000,53581906.000,81852261.000,146277600.000,239175087.000,346444996.000,582586556.000,691395742.000,832672807.000,1145662960.000,1561889854.000,1599770264.000,1595157330.000,1609067128.000,1584047334.000,1588255659.000,1590070262.000,1577000822.000,1553091507.000,1592256905.000,1610069263.000,1592934785.000,1555847204.000
AssetsHeldForSaleAtCarryingValue,,,,,,,,,,,,154728.000,0.000,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,,,,,,0.000,,,,,,,,,
BuildingsAndImprovementsGross,30527676.000,40191261.000,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,,,230211000.000,324061000.000,570808500.000,679338500.000,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,,,,,6763217.000,8503002.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationLand,,,,,20823679.000,27298570.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,,,,,2484108.000,3370366.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationTangibleAssets,,,,,205108212.000,291629794.000,,,,,,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedBuildings,,,,,,,,,96770894.000,286345399.000,,83731503.000,99953220.000,116388226.000,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,,,,,,,,,2180068.000,,,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLand,,,,,,,,,10243111.000,38455159.000,,8623346.000,10243058.000,11676911.000,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,,,,,,,,,594073.000,2162546.000,,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,,,,,,,,,108600000.000,330550000.000,,94104157.000,112454157.000,130339157.000,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,5737651.000,9040820.000,12200681.000,9147696.000,7552013.000,20985462.000,9528664.000,13279150.000,45147522.000,20386070.000,19552205.000,23873891.000,20025414.000,29529312.000,25393834.000,32025434.000,36024455.000,32076582.000,36480248.000,80800943.000,74793620.000,66224027.000,55200301.000
ConstructionInProgressGross,,,,,,,,,,,,,,2048098.000,4872010.000,6736304.000,708925.000,2192635.000,4729835.000,4869498.000,0.000,0.000,
DebtInstrumentCarryingAmount,,,,,,,,,,,,,,1080070227.000,1085542807.000,1103049751.000,1115180265.000,1118998366.000,1131062823.000,1188155059.000,1226318837.000,1224354570.000,1222021911.000
DebtInstrumentFaceAmount,,,,,160506940.000,203166940.000,408802388.000,484258015.000,,766699382.000,987329800.000,,,,,,,,,,,,
DebtLongtermAndShorttermCombinedAmount,,,,,,,,,,,,1055191393.000,1056078519.000,,,,,,,,,,
DebtWeightedAverageInterestRate,,,,,,,0.039,0.040,0.039,0.037,,,,,,,,,,,,,
DeferredCostsCurrentAndNoncurrent,,,,,1223674.000,1507426.000,2399153.000,2399153.000,3060482.000,3679697.000,5000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,0.000,
DeferredFinanceCostsGross,,,,,1411987.000,1725306.000,3789591.000,4511290.000,5455657.000,7216704.000,8440169.000,8908297.000,9515064.000,9743277.000,9753277.000,10014657.000,10338878.000,10800682.000,660585.000,0.000,0.000,0.000,
DeferredFinanceCostsNet,,,,,1274353.000,1508540.000,3529903.000,4091308.000,4800222.000,6265878.000,7204283.000,7086933.000,7378762.000,7232960.000,6878983.000,6772213.000,6719171.000,6810655.000,61427.000,0.000,0.000,0.000,
DepositsAssets,,,,,912323.000,1077885.000,389756.000,515736.000,800063.000,1048260.000,1265642.000,1418802.000,1367843.000,1343098.000,1322324.000,1321100.000,1299193.000,1269287.000,1238140.000,1715720.000,1241677.000,1126568.000,1122853.000
DerivativeNumberOfInstrumentsHeld,,,,,1.000,1.000,,,,,,,,,,,,,,,,,
DividendsPayableCurrentAndNoncurrent,114009.000,162703.000,254592.000,393631.000,551777.000,1010158.000,1343399.000,1636331.000,2072152.000,2783244.000,4058452.000,4460118.000,4507432.000,4679455.000,4679454.000,4528503.000,4529332.000,4668261.000,4647928.000,4492374.000,4487297.000,4625355.000,4627865.000
