,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AdjustmentsToAdditionalPaidInCapitalOther,-1700000.000,-300000.000,4100000.000,2600000.000,2700000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,4000000.000,4600000.000,4000000.000
AdvertisingExpense,,7700000.000,,,
AllocatedShareBasedCompensationExpense,5700000.000,3000000.000,4000000.000,4600000.000,4000000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,700000.000,700000.000,500000.000,0.000
AmortizationOfFinancingCosts,8000000.000,6900000.000,5700000.000,13500000.000,19500000.000
AmortizationOfIntangibleAssets,,9000000.000,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,4100000.000,3300000.000,2500000.000,2200000.000
AssetImpairmentCharges,191100000.000,0.000,21200000.000,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,0.000,,,,
CargoAndFreightRevenue,91000000.000,,,,
CashAcquiredFromAcquisition,0.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-71900000.000,27900000.000,65900000.000,-52800000.000,-50400000.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,-40100000.000,0.000,0.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,70000000.000,0.000,0.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,90300000.000,0.000,0.000
ComprehensiveIncomeNetOfTax,,50300000.000,29100000.000,64700000.000,-27100000.000
CostOfServicesLicensesAndMaintenanceAgreements,,124500000.000,163800000.000,173000000.000,178200000.000
CurrentFederalTaxExpenseBenefit,,-100000.000,0.000,0.000,0.000
CurrentStateAndLocalTaxExpenseBenefit,,0.000,4100000.000,-1400000.000,400000.000
DeferredFederalIncomeTaxExpenseBenefit,,26500000.000,30900000.000,29600000.000,-9400000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,8400000.000,-9800000.000,-2500000.000,600000.000
DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments,0.000,,,,
DefinedContributionPlanCostRecognized,,6600000.000,5900000.000,6300000.000,7600000.000
DefinedContributionPlanEmployerMatchingContributionPercent,,0.060,0.060,0.060,0.060
DefinedContributionPlanMaximumAnnualContributionPerEmployeePercent,,0.900,,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,,,0.900,0.900,0.900
