,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,26000.000,24000.000,117000.000,139000.000
AllocatedShareBasedCompensationExpense,,24000.000,50000.000,
AllocatedShareBasedCompensationExpenseNetOfTax,,16000.000,33000.000,
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,279000.000,461000.000
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,-1100000.000,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,1110000.000,,
AllowanceForLoanAndLeaseLossesWriteOffs,,1779000.000,828000.000,767000.000
AmortizationOfIntangibleAssets,,,28000.000,43000.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,758000.000,536000.000,-1875000.000,920000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,871000.000,553000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,2470000.000,703000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,1599000.000,150000.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,698000.000,303000.000,405000.000,88000.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,315000.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,227000.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,1078000.000,1236000.000
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,2470000.000,703000.000
BankOwnedLifeInsuranceIncome,527000.000,510000.000,452000.000,505000.000
CashAcquiredFromAcquisition,,,,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,5179000.000,1561000.000,-1954000.000,2568000.000
CommonStockDividendsPerShareCashPaid,,0.200,,
CommonStockDividendsPerShareDeclared,,,0.200,0.210
ComprehensiveIncomeNetOfTax,3475000.000,5451000.000,1941000.000,6161000.000
CurrentIncomeTaxExpenseBenefit,,1237000.000,586000.000,1003000.000
DebtInstrumentInterestRateDuringPeriod,,0.029,0.029,0.003
DeferredIncomeTaxExpenseBenefit,-815000.000,63000.000,386000.000,727000.000
DefinedBenefitPlanActuarialGainLoss,,-13000.000,27000.000,152000.000
DefinedBenefitPlanAmortizationOfGainsLosses,,-27000.000,-22000.000,-26000.000
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,,90000.000,90000.000,90000.000
DefinedBenefitPlanBenefitsPaid,,,-45000.000,45000.000
DefinedBenefitPlanInterestCost,,106000.000,104000.000,111000.000
DefinedBenefitPlanNetPeriodicBenefitCost,,390000.000,361000.000,380000.000
DefinedBenefitPlanServiceCost,,167000.000,145000.000,153000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,152000.000,161000.000,
DefinedContributionPlanMaximumAnnualContributionPerEmployeePercent,,0.150,,
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,,,0.150,
Depreciation,,989000.000,1013000.000,1242000.000
DepreciationAndAmortization,1428000.000,1491000.000,2328000.000,2538000.000
DilutiveSecurities,,0.000,0.000,
DividendsCommonStock,,2024000.000,2036000.000,2178000.000
EarningsPerShareBasic,0.280,0.470,0.370,0.480
EarningsPerShareDiluted,0.280,0.470,0.370,0.480
EffectiveIncomeTaxRateContinuingOperations,,0.214,0.207,0.260
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,0.350,0.350
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseLifeInsurance,,-0.029,-0.032,0.025
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,0.000,0.013,0.010
EffectiveIncomeTaxRateReconciliationTaxCredits,,-0.018,-0.021,0.012
EffectiveIncomeTaxRateReconciliationTaxExemptIncome,,-0.089,-0.103,0.062
EquipmentExpense,1011000.000,801000.000,860000.000,1050000.000
FederalDepositInsuranceCorporationPremiumExpense,,,,491000.000
FeesAndCommissionsDepositorAccounts,1799000.000,1686000.000,1731000.000,1809000.000
GainLossOnSaleOfPropertyPlantEquipment,-23000.000,6000.000,-36000.000,2000.000
