,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccountsPayableAndAccruedLiabilitiesNoncurrent,,,,,,,,,141000.000,,
AccountsPayableCurrent,891700.000,1535600.000,733700.000,523200.000,814600.000,952000.000,853000.000,1498000.000,1024000.000,823000.000,1331000.000
AccountsReceivableNetCurrent,1170800.000,1928500.000,1858500.000,443700.000,445300.000,407000.000,127000.000,127000.000,119000.000,,
AccruedLiabilitiesCurrent,1406400.000,1416800.000,2434300.000,2148100.000,2513900.000,2653000.000,2391000.000,2882000.000,3066000.000,1538000.000,1837000.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,2513900.000,,,,3066000.000,,
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,167900.000,,,,197000.000,,
AccruedSalariesCurrentAndNoncurrent,,,,,500400.000,,,,450000.000,,
AccruedVacationCurrentAndNoncurrent,,,,,359500.000,,,,65000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,-10366400.000,,,,-359000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,-2000.000,-137000.000,-181000.000,-123000.000,23000.000,46000.000
AdditionalPaidInCapitalCommonStock,171006200.000,171385300.000,172650700.000,173751000.000,174156800.000,175397000.000,178087000.000,179328000.000,181443000.000,230688000.000,231910000.000
AdditionalPaidInCapitalPreferredStock,,,,,,,,,,230688000.000,231910000.000
AdvancesReceivedOnGovernmentContractsNotNettedAgainstAccountsReceivable,0.000,0.000,,,,,,,,,
AllowanceForDoubtfulAccountsReceivable,,,,,-51300.000,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,13600.000,13800.000,13800.000,,,,,,,,
Assets,12167700.000,10584800.000,9115800.000,12768900.000,6140700.000,6166000.000,4719000.000,4148000.000,4965000.000,3814000.000,3126000.000
AssetsCurrent,8136000.000,6775400.000,5410600.000,10370000.000,4044900.000,3007000.000,1760000.000,1487000.000,1816000.000,1449000.000,1005000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,0.000,,,1047000.000,726000.000,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,0.000,,,,,297000.000,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,,,,,,,600000.000,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,,,,,,685000.000,685000.000,685000.000,685000.000,,
CapitalLeaseObligationsCurrent,13400.000,13800.000,14800.000,15500.000,17100.000,,,,447000.000,415000.000,329000.000
CapitalLeaseObligationsNoncurrent,83700.000,79400.000,75900.000,71700.000,,,,,77000.000,86000.000,67000.000
CapitalLeasedAssetsGross,,,,,76600.000,,,,482000.000,,
CapitalLeasesFutureMinimumPaymentsReceivable,,,,,79800.000,,,,524000.000,,
CapitalLeasesFutureMinimumPaymentsReceivableCurrent,,,,,30500.000,,,,458000.000,,
CapitalLeasesFutureMinimumPaymentsReceivableInFourYears,,,,,18600.000,,,,,,
CapitalLeasesFutureMinimumPaymentsReceivableInThreeYears,,,,,31900.000,,,,17000.000,,
CapitalLeasesFutureMinimumPaymentsReceivableInTwoYears,,,,,31900.000,,,,103000.000,,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassPropertyPlantAndEquipmentOtherAccumulatedDepreciation,,,,,,,,,210000.000,,
CapitalizedComputerSoftwareGross,,,,,468200.000,,,,200000.000,,
CashAndCashEquivalentsAtCarryingValue,2983900.000,2734600.000,2076600.000,7180600.000,1738400.000,427000.000,322000.000,146000.000,136000.000,375000.000,147000.000
CommonStockHeldInTrust,-1020700.000,1020700.000,1020700.000,1020700.000,1020700.000,1021000.000,,,,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,800000000.000,800000000.000,800000000.000,800000000.000,800000000.000,800000000.000,2000000000.000,2000000000.000
CommonStockSharesIssued,113542500.000,113695800.000,113875800.000,122187600.000,131558800.000,142352000.000,165529000.000,175312000.000,205581000.000,231681000.000,255080000.000
CommonStockSharesOutstanding,113542500.000,113695800.000,113875800.000,122187600.000,131558800.000,142352000.000,165529000.000,175312000.000,205581000.000,231681000.000,255080000.000
CommonStockValue,1135400.000,1137000.000,1138800.000,1221900.000,1315600.000,1424000.000,1679000.000,1753000.000,2056000.000,2317000.000,2551000.000
ConstructionInProgressGross,716100.000,0.000,,,,,,,,,
ConvertibleLongTermNotesPayable,3986500.000,3944800.000,4744000.000,5301700.000,6470300.000,6752000.000,7336000.000,6751000.000,8570000.000,782000.000,
ConvertiblePreferredStockSharesIssuedUponConversion,,,,,,,2000.000,2000.000,,,
DebtCurrent,0.000,0.000,,,,,,,,,
DebtInstrumentCarryingAmount,,,,,,,,,,5465000.000,
DeferredCompensationCashBasedArrangementsLiabilityCurrent,,,,,,,,,185000.000,,
DeferredCompensationCashbasedArrangementsLiabilityClassifiedNoncurrent,,,,,,,,,957000.000,,
DeferredCompensationCashbasedArrangementsLiabilityCurrentAndNoncurrent,,,,,,,,,1142000.000,,
DeferredCompensationLiabilityCurrent,,,,,184700.000,,,,185000.000,,
DeferredCompensationLiabilityCurrentAndNoncurrent,1020700.000,1020700.000,1020700.000,1020700.000,1020700.000,1021000.000,,,,,
DeferredFinanceCostsNoncurrentNet,1101100.000,1052300.000,1132000.000,1069500.000,963200.000,852000.000,908000.000,883000.000,715000.000,64000.000,51000.000
DeferredRevenue,,,,,,278000.000,306000.000,354000.000,221000.000,134000.000,17000.000
DeferredRevenueCurrent,690300.000,544800.000,340300.000,19200.000,,,,,,,
DeferredRevenueNoncurrent,,,,,,,,,99000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,,,1405000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,,625500.000,,,,384000.000,,
DeferredTaxAssetsValuationAllowance,,,,,-625500.000,,,,-384000.000,,
DepositAssets,,,,,,173000.000,58000.000,64000.000,,,
Deposits,-184000.000,-196600.000,-172600.000,,,,,,,,
DepositsAssetsCurrent,,,,,,,,,1000000.000,,
DepositsAssetsNoncurrent,,,,172600.000,,,,,,,
DerivativeFairValueOfDerivativeLiability,,,,,19925400.000,,17893000.000,14286000.000,19925400.000,124000.000,797000.000
DerivativeFairValueOfDerivativeNet,,,,,,15625000.000,15625000.000,,,,
DerivativeLiabilitiesNoncurrent,13745000.000,13352800.000,15912800.000,30072900.000,19925400.000,15625000.000,17893000.000,14286000.000,19245000.000,124000.000,797000.000
DerivativeLiabilityFairValueGrossAsset,,,,,,,,14286000.000,19200000.000,100000.000,800000.000
DerivativeLiabilityFairValueNet1,,,,,19925400.000,,17893000.000,14286000.000,,,
DisposalGroupIncludingDiscontinuedOperationOtherNoncurrentAssets,,,,,,,602000.000,100000.000,,293000.000,290000.000
DueFromRelatedPartiesCurrent,,,,1500100.000,1200100.000,1200000.000,,,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,1407400.000,,,,409000.000,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,,1407400.000,,,,409000.000,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,-69000.000,-100000.000,,,
FiniteLivedIntangibleAssetsFairValueDisclosure,,,,,,900000.000,900000.000,900000.000,900000.000,,
FiniteLivedIntangibleAssetsGross,,,,,,,920000.000,920000.000,,,
FiniteLivedIntangibleAssetsNet,10900.000,10400.000,9900.000,9500.000,,,851000.000,820000.000,,,
FurnitureAndFixturesGross,,,,,143200.000,,,,69000.000,,
Goodwill,,,,,,393000.000,393000.000,393000.000,393000.000,393000.000,393000.000
IndefiniteLivedIntangibleAssetsExcludingGoodwill,,,,,,,900000.000,900000.000,,,
IntangibleAssetsNetExcludingGoodwill,,,,,,882000.000,851000.000,820000.000,790000.000,758000.000,727000.000
InterestReceivable,,,,,533900.000,,,,1490000.000,,
InventoryNet,1179400.000,1437300.000,509100.000,122400.000,,,,,149000.000,,
LeaseholdImprovementsGross,,,,,1786400.000,,,,70000.000,,
Liabilities,29494500.000,29296300.000,34809500.000,48606600.000,41570500.000,42414000.000,47748000.000,49894000.000,60517000.000,10227000.000,12662000.000
LiabilitiesAndStockholdersEquity,12167700.000,10584800.000,9115800.000,12768900.000,6140700.000,6166000.000,4719000.000,4148000.000,4965000.000,3814000.000,3126000.000
LiabilitiesCurrent,6095100.000,10895200.000,13072000.000,12176300.000,14135700.000,19004000.000,21496000.000,27833000.000,31529000.000,8218000.000,10888000.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,0.000,,,1001000.000,905000.000,678000.000,625000.000,624000.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,,,,,678000.000,,
LineOfCreditFacilityAmountOutstanding,,,,,,,,,,3000000.000,2900000.000
LineOfCreditFacilityCurrentBorrowingCapacity,,,,,,,,,,5000000.000,5000000.000
MinorityInterest,324400.000,324400.000,324400.000,324400.000,324400.000,324000.000,324000.000,324000.000,324000.000,324000.000,324000.000
NotesAndLoansReceivableNetCurrent,,,,,,,,200000.000,,,
NotesPayableCurrent,1878300.000,2097200.000,0.000,0.000,,,,,,,
NotesReceivableNet,,,,,,,,,177000.000,,
OperatingLeasesFutureMinimumPaymentsDue,,,,,1374000.000,,,,974000.000,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,1247000.000,,,,271000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,75000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,41000.000,,,,145000.000,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,42000.000,,,,238000.000,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,44000.000,,,,245000.000,,
OtherAccruedLiabilitiesCurrentAndNoncurrent,,,,,196900.000,,,,383000.000,,
OtherAssets,,,,,180200.000,,,,126000.000,89000.000,32000.000
OtherAssetsCurrent,,,,,,,,,153000.000,,
OtherLiabilities,,,,,62700.000,59000.000,55000.000,50000.000,139000.000,75000.000,
OtherLiabilitiesCurrent,,,,,,31000.000,27000.000,23000.000,,,75000.000
PreconfirmationDeferredFinancingCosts,,,,,682000.000,,,,,,
PreferredStockLiquidationPreferenceValue,,,,,926300.000,,866000.000,866000.000,866000.000,,
PreferredStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
PreferredStockSharesAuthorized,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PreferredStockSharesIssued,,,,,,,900.000,900.000,,,
PreferredStockSharesOutstanding,,,,,,,900.000,900.000,,,
PreferredStockValue,0.000,0.000,,,,,,,,,
PreferredUnitsOutstanding,,,,,,,,,,2757.000,2782.000
PrepaidExpenseAndOtherAssetsCurrent,192100.000,117800.000,279700.000,230800.000,111900.000,331000.000,264000.000,288000.000,561000.000,574000.000,335000.000
PropertyPlantAndEquipmentGross,,,,,11318800.000,,,,,,
PropertyPlantAndEquipmentNet,2735700.000,2550100.000,2390700.000,1147300.000,952400.000,859000.000,147000.000,326000.000,753000.000,693000.000,553000.000
PropertyPlantAndEquipmentNetExcludingCapitalLeasedAssets,,,,,,,,,7000.000,,
RestrictedCashAndCashEquivalents,,,,,,,,,75000.000,,
RestrictedCashAndCashEquivalentsNoncurrent,,,,,,,,75000.000,,75000.000,75000.000
RetainedEarningsAccumulatedDeficit,-189678600.000,-191558200.000,-199807600.000,-211135000.000,-211226600.000,-213391000.000,-222982000.000,-226970000.000,-239252000.000,-239765000.000,-244367000.000
SeniorLongTermNotes,4133900.000,,,,,,,,,,
SettlementLiabilitiesCurrent,827200.000,632200.000,437200.000,242200.000,17200.000,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,,,,,5000.000,,,,621000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,,,,,4.240,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice,,,,,,,,,0.100,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,,,,,,,1250000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,34509400.000,,,,43309000.000,79610000.000,101432000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,,0.310,,,,,0.110,0.080
