,2011-09-30,2011-12-31,2012-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,2844059.000,1988263.000,1965089.000
AccountsReceivableNetCurrent,12152648.000,13191545.000,12967753.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,5642558.000,6721477.000,8034412.000
AdditionalPaidInCapital,67291387.000,67291387.000,
AdditionalPaidInCapitalCommonStock,,,67291387.000
AdvancesOnInventoryPurchases,14547285.000,37057551.000,18891673.000
AllowanceForDoubtfulAccountsReceivableCurrent,1083006.000,,
Assets,119734039.000,124685859.000,130587752.000
AssetsCurrent,88385445.000,94078489.000,100438532.000
CashAndCashEquivalentsAtCarryingValue,59410230.000,42431330.000,66492750.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001
CommonStockSharesAuthorized,30000000.000,30000000.000,30000000.000
CommonStockSharesIssued,23863701.000,23863701.000,23863701.000
CommonStockSharesOutstanding,23863701.000,23863701.000,23863701.000
CommonStockValue,23841.000,23841.000,23841.000
DepositsAssetsNoncurrent,6263308.000,6267514.000,6332451.000
DerivativeLiabilitiesCurrent,659949.000,729740.000,2407076.000
DueToRelatedPartiesCurrent,48454.000,48457.000,198409.000
FiniteLivedIntangibleAssetsNet,,,83812.000
Goodwill,762018.000,762018.000,762018.000
IntangibleAssetsCurrent,75200.000,82954.000,
IntangibleAssetsNetExcludingGoodwill,5499758.000,5467517.000,
InventoryNet,2158712.000,1288599.000,1925860.000
Liabilities,5548503.000,5362687.000,7171981.000
LiabilitiesAndStockholdersEquity,119734039.000,124685859.000,130587752.000
LiabilitiesCurrent,5387295.000,5362687.000,
OtherReceivablesNetCurrent,,26510.000,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,0.000,,0.000
PreferredStockSharesOutstanding,0.000,,0.000
PreferredStockValue,,,0.000
PrepaidExpenseAndOtherAssetsCurrent,41370.000,,
PrepaidExpenseCurrent,,,76684.000
PropertyPlantAndEquipmentNet,18823510.000,18110321.000,17560096.000
RetainedEarningsAccumulatedDeficit,,,42300033.000
RetainedEarningsAppropriated,4739048.000,6565521.000,
RetainedEarningsUnappropriated,37288125.000,39520369.000,
SecuredDebtCurrent,5762.000,,
SecuredLongTermDebt,161208.000,,
StockholdersEquity,114185536.000,119323172.000,123415771.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,114185536.000,119323172.000,123415771.000
TaxesPayableCurrent,1829071.000,2596227.000,2601407.000
TreasuryStockShares,321100.000,321100.000,321100.000
TreasuryStockValue,799423.000,799423.000,799423.000
