,2015-12-31,2016-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-83000.000,-997000.000
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,2525000.000,2624000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,7608000.000,14657000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,1590000.000,
AdvertisingExpense,500000.000,500000.000
AllocatedShareBasedCompensationExpense,7271000.000,14637000.000
AllowanceForDoubtfulAccountsReceivableWriteOffs,0.000,121000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1418050.000,300000.000
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,-541000.000,8000.000
CapitalExpendituresIncurredButNotYetPaid,143000.000,1442000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,16257000.000,-6311000.000
ComprehensiveIncomeNetOfTax,1114000.000,12241000.000
ConversionOfStockAmountConverted1,111467000.000,0.000
CostOfRevenue,62037000.000,92488000.000
CurrentFederalTaxExpenseBenefit,3815000.000,-3872000.000
CurrentForeignTaxExpenseBenefit,492000.000,772000.000
CurrentIncomeTaxExpenseBenefit,4910000.000,-2796000.000
CurrentStateAndLocalTaxExpenseBenefit,603000.000,304000.000
DeferredFederalIncomeTaxExpenseBenefit,-3025000.000,-11909000.000
DeferredForeignIncomeTaxExpenseBenefit,25000.000,-193000.000
DeferredIncomeTaxExpenseBenefit,-3251000.000,-12887000.000
DeferredIncomeTaxesAndTaxCredits,-2961000.000,-12378000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,-251000.000,-785000.000
DefinedContributionPlanCostRecognized,300000.000,800000.000
EarningsPerShareBasic,0.090,0.490
EarningsPerShareDiluted,0.080,0.440
EffectOfExchangeRateOnCashAndCashEquivalents,-72000.000,-1317000.000
EffectiveIncomeTaxRateContinuingOperations,0.412,18.050
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.025,0.003
EffectiveIncomeTaxRateReconciliationDeductionsQualifiedProductionActivities,0.074,0.000
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,-0.090,-0.630
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseMealsAndEntertainment,0.056,-0.926
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,0.148,14.740
EffectiveIncomeTaxRateReconciliationOtherAdjustments,0.036,-0.474
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.019,0.759
EffectiveIncomeTaxRateReconciliationTaxCredits,0.116,-3.955
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,300000.000,400000.000
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,1590000.000,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,1590000.000,
ForeignCurrencyTransactionGainLossBeforeTax,-100000.000,-700000.000
GainLossOnSaleOfPropertyPlantEquipment,-43000.000,-143000.000
GainOrLossOnSaleOfStockInSubsidiary,0.000,0.000
GrossProfit,124058000.000,170829000.000
ImpairmentOfLongLivedAssetsHeldForUse,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,2955000.000,-944000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,4024000.000,-869000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,1069000.000,75000.000
