,2012-02-29,2013-02-28,2017-05-31
AccountsPayableAndAccruedLiabilitiesCurrent,1695.000,10207.000,20131.000
AccountsPayableRelatedPartiesCurrent,9800.000,9800.000,
AdditionalPaidInCapital,155533.000,207433.000,7555784.000
Assets,46846.000,197833.000,2407378.000
AssetsCurrent,46846.000,80570.000,16661333.000
BankOverdrafts,5166.000,,
CashAndCashEquivalentsAtCarryingValue,,5482.000,
CommonStockSharesSubscribedButUnissuedValue,6923.000,90521.000,
CommonStockValue,34157.000,37257.000,
DepositsAssetsCurrent,3355.000,5555.000,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,181428.000,454845.000,
DueFromOfficersOrStockholdersCurrent,,,1285.000
DueToRelatedPartiesCurrent,,259376.000,333169.000
FixturesAndEquipmentGross,,1380.000,
Liabilities,31661.000,317467.000,353300.000
LiabilitiesAndStockholdersEquity,46846.000,197833.000,2407378.000
LiabilitiesCurrent,31661.000,304088.000,353300.000
LoansPayableCurrent,15000.000,21000.000,
LoansPayableToBank,,17084.000,
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired,,96705.000,
OperatingLossCarryforwards,,,1383163.000
PreferredStockParOrStatedValuePerShare,,,0.001
PreferredStockSharesAuthorized,,,5000000.000
PreferredStockSharesIssued,,,0.000
PreferredStockSharesOutstanding,,,0.000
PrepaidExpense,333.000,7210.000,
PrepaidExpenseCurrent,,,3000.000
PropertyPlantAndEquipmentNet,,117263.000,6045.000
RetainedEarningsAccumulatedDeficit,,,-5677344.000
StockholdersEquity,15186.000,-119634.000,2054078.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,15185.000,-119634.000,2054078.000
