,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentForAmortization,,,38817.000,,,,74766.000,,,,45520.000,,,,40000.000,,,,74000.000,,,,175000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,24569.000,,,,36296.000,,,,83771.000,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,32842.000,,,,,,,,49103.000,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,,,9221.000,1879000.000,2000.000,4779.000,3000.000,2000.000,1000.000,3000.000,4000.000,2000.000,2000.000,2000.000,2000.000
AllowanceForLoanAndLeaseLossesPeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,,0.000,,,,0.000
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,,300000.000,300000.000,,100000.000,100000.000,100000.000,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,-21359.000,-17520.000,,-8921.000,-6143.000,-2590.000,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,,,105560.000,371991.000,,340457.000,279273.000,3595.000,-1259136.000,-53515.000,-15000.000,-63000.000,274515.000,3000.000,21000.000,2000.000,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,54250.000,,,,,,,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,-455578.000,,,,-804940.000,,,,1487169.000,,,,-9000.000,,,,161000.000,,,,649000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,,,1311055.000,,,,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,,,,2950438.000,,,,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,,,1639383.000,,,,,,,,,,,,
