,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,2161.000,5645.000,29477.000,,,681456.000,,,,,,,,,,,,,,,,
AccountsPayableCurrent,,,,1595870.000,1191431.000,,2031052.000,5248034.000,6229490.000,7346378.000,7944774.000,8727724.000,16241022.000,6930803.000,6999288.000,7525150.000,11023269.000,7246986.000,3554577.000,7435554.000,9099391.000,18561210.000
AccountsReceivableNet,,,,,,,,,3888402.000,,4780627.000,,,,,,,,,,,
AccountsReceivableNetCurrent,,,,130816.000,417965.000,484321.000,463921.000,1722322.000,-3470437.000,2881127.000,,2992849.000,3616676.000,2853940.000,4020660.000,2660662.000,2507858.000,2373119.000,2919015.000,2965320.000,3453238.000,4756301.000
AccruedLiabilitiesCurrent,,,,,0.000,,,,,,,,,,,,,,,,,
AccruedSalariesCurrent,,,,0.000,,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,-382478.000,-596162.000,-939770.000,-1336432.000,-2253548.000,-2880253.000,-4410449.000,-7888265.000,-12383133.000,14688047.000,18342345.000,21547378.000,26215731.000,29863838.000,33258465.000,35837666.000,38405819.000,41347152.000,44821171.000
AdditionalPaidInCapital,1671741.000,6335738.000,10613801.000,26230974.000,32169363.000,33435019.000,52854721.000,53742656.000,109018165.000,109638389.000,139005296.000,139905105.000,140532323.000,141249478.000,190817199.000,192659661.000,193269034.000,193875854.000,255536973.000,256082234.000,335197845.000,336041515.000
AssetRetirementObligation,,,,,,,,,,1801224.000,2276845.000,2792810.000,3896489.000,3995043.000,6264985.000,6261614.000,7401950.000,7549231.000,7722019.000,8002787.000,7957035.000,8329654.000
AssetRetirementObligationCurrent,,,,,,,798606.000,,,,-294772.000,-294772.000,,,,,,,,,,
AssetRetirementObligationsNoncurrent,,,,303289.000,496286.000,719430.000,,1054998.000,1182410.000,,,,,,,,,,,,,
Assets,627902.000,5283730.000,9521160.000,22228092.000,28513378.000,28527030.000,48488639.000,52718455.000,111723418.000,117247797.000,150555825.000,155215349.000,167641460.000,167576345.000,251327685.000,251870333.000,250866245.000,237259126.000,228570644.000,227333513.000,307597399.000,321151254.000
AssetsCurrent,623007.000,4426013.000,8042494.000,10097772.000,5882530.000,4545033.000,18989034.000,9658505.000,56305036.000,40661186.000,50575075.000,33649763.000,15083298.000,8854881.000,13591480.000,8822127.000,8714491.000,7213989.000,12470305.000,6156163.000,75220915.000,60578587.000
AssetsNoncurrent,,,1474370.000,,,,,,,,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,,,,,,,,,,,,,,,275300.000,286563.000,400629.000,,,,400629.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,,,,,,,,,,,,,,,685944.000,742332.000,1562147.000,,,,1562147.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,,,,,,,,,,,,6510791.000,,,74589355.000,74544231.000,73838482.000,,,,73838482.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,,,,,,,,,,,,,,,2177110.000,2177110.000,3361634.000,,,,3361634.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,,,,,,,,,,,,,,,77177109.000,77177110.000,78361634.000,,,,78361634.000,
