,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AccountsPayableCurrent,3408000.000,6496000.000,8038000.000,3011000.000,4918000.000,4175000.000,3247000.000,2752000.000,3520000.000,4125000.000,3937000.000,3464000.000
AccruedLiabilitiesCurrent,4358000.000,2648000.000,5212000.000,6596000.000,6004000.000,5753000.000,7280000.000,,,,,
AccruedProfessionalFeesCurrent,,,,,,,,,,,1062000.000,731000.000
AccruedUtilitiesCurrent,,,,,,,,,,949000.000,192000.000,193000.000
AccruedVacationCurrent,,,,,,,,,,976000.000,1065000.000,912000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,5349000.000,6146000.000,6917000.000,8458000.000,11502000.000,14549000.000,17606000.000,18378000.000,19128000.000
AdditionalPaidInCapitalCommonStock,357534000.000,359108000.000,372298000.000,376817000.000,380969000.000,385812000.000,394634000.000,,,419661000.000,423750000.000,426253000.000
Assets,281571000.000,305264000.000,364291000.000,337289000.000,318889000.000,296037000.000,273316000.000,273567000.000,265183000.000,86050000.000,64338000.000,58274000.000
AssetsCurrent,153488000.000,132637000.000,153248000.000,108596000.000,78652000.000,45654000.000,15960000.000,16765000.000,10124000.000,30532000.000,10068000.000,4885000.000
AssetsFairValueDisclosure,,,,,0.000,0.000,,9824000.000,,23001000.000,3001000.000,1000.000
BuildingsAndImprovementsGross,,,,,,,,1659000.000,1666000.000,1666000.000,1666000.000,1666000.000
CashAndCashEquivalentsAtCarryingValue,152223000.000,131637000.000,152226000.000,107032000.000,74299000.000,40887000.000,11111000.000,11495000.000,4348000.000,25117000.000,4226000.000,544000.000
CashAndCashEquivalentsFairValueDisclosure,,,,,,,,9824000.000,,,,
CompensatingBalanceAmount,,,,,,,,,,200000.000,200000.000,200000.000
ConstructionInProgressGross,,,,,,,,12003000.000,13060000.000,12973000.000,12999000.000,13030000.000
DebtInstrumentInterestRateEffectivePercentage,,,,,,,,0.160,0.160,,,
DebtInstrumentUnamortizedDiscount,,31852000.000,40402000.000,39348000.000,38241000.000,37125000.000,40410000.000,43506000.000,43799000.000,41571000.000,41255000.000,38924000.000
DeferredTaxAssetsGross,,,,,,76164000.000,,,,189581000.000,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,42661000.000,,,,78884000.000,,
DeferredTaxAssetsOther,,,,,,4708000.000,,,,4409000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,,,,,,,19853000.000,,
DeferredTaxAssetsValuationAllowance,,,,,,70559000.000,,,,189581000.000,,
DeferredTaxLiabilities,,,,,,5605000.000,,,,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,5605000.000,,,,-60303000.000,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,115438000.000,130379000.000,147201000.000,170168000.000,197120000.000,226814000.000,258149000.000,296600000.000,339700000.000,574265000.000,604859000.000,629303000.000
