,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilities,64388.000,65529.000,65529.000,65529.000,65529.000,65529.000,40235.000,,,,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,6610.000,5985.000,6235.000,20162.000,40766.000,69314.000,124777.000,151052.000,142030.000,242917.000,166912.000,151743.000,159292.000,150164.000,149013.000,148242.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,-162281.000,-185475.000,-209344.000,-256769.000,-280120.000,-305888.000,-330455.000,-355800.000,-381421.000,-407043.000,-432664.000,-458285.000,-483906.000
AdditionalPaidInCapital,4547613.000,4547613.000,4547613.000,4547613.000,4547613.000,4547613.000,4547613.000,4555440.000,4538479.000,4538479.000,4891686.000,4891686.000,4992486.000,5098470.000,5386470.000,6132434.000,6597488.000,6520724.000,6520724.000,6520724.000,6520724.000,6970876.000,6970876.000
AdvancesToAffiliate,,,,,,,,,,,,,,,,15000.000,,95500.000,173000.000,235500.000,283000.000,,77000.000
Assets,,,,,,,8500.000,,600.000,600.000,452620.000,442120.000,421803.000,369852.000,346416.000,935726.000,758294.000,675540.000,658066.000,660267.000,601770.000,573653.000,549582.000
AssetsCurrent,,,,,,,8500.000,,600.000,600.000,2540.000,6700.000,5576.000,1050.000,965.000,583559.000,408234.000,350825.000,358972.000,386795.000,353919.000,2523.000,4073.000
CashAndCashEquivalentsAtCarryingValue,,,,,,,,,600.000,600.000,2540.000,6700.000,5576.000,1050.000,965.000,83559.000,58234.000,825.000,3972.000,5920.000,3919.000,2523.000,4073.000
CommonStockParOrStatedValuePerShare,,,,,,,,,,,,0.001,0.010,,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,,,,,,,1.000,133.000,133.000,133.000,133.000,,,,,,,,,,,
CommonStockSharesAuthorized,,,,,,,,100000000.000,,,,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,,,,,,,,13333.000,533333.000,533333.000,,35770947.000,36204280.000,36628860.000,37828860.000,40937044.000,42874769.000,43024369.000,43024369.000,43024369.000,43024369.000,43024369.000,43024369.000
CommonStockSharesOutstanding,,,,,,,,,,,,35770947.000,36204280.000,36628860.000,37828860.000,40937044.000,42874769.000,43024369.000,43024369.000,43024369.000,43024369.000,43024369.000,43024369.000
CommonStockSharesSubscribedButUnissuedValue,53.000,53.000,53.000,53.000,53.000,53.000,53.000,,,,,,,,,,,,,,,,
CommonStockValue,7974.000,7974.000,7974.000,7974.000,7974.000,7974.000,7974.000,199.000,19935.000,19935.000,357709.000,357709.000,362043.000,366289.000,378289.000,409370.000,428748.000,430244.000,430244.000,430244.000,430244.000,430244.000,430244.000
DeferredOfferingCosts,,,,,,,,,,,,,,,,,,,,-30875.000,,,
DeferredTaxAssetsNet,,,,,,,1708385.000,,,,,,,,,,,2435244.000,,,,2441768.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,4940214.000,,,5599328.000,,,,6957840.000,,,,6976480.000,
DeferredTaxAssetsOther,,,,,,,,,,,1729075.000,,,1959765.000,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,,,,,,-2435244.000,,,,-2441768.000,
DueToRelatedParties,,,,,135650.000,,,,,,,,,,,,,,,,,,
DueToRelatedPartiesCurrent,126379.000,128638.000,129988.000,135325.000,135650.000,135650.000,169150.000,285532.000,288262.000,294595.000,27208.000,,197500.000,,,,,,,,,,
FurnitureAndFixturesGross,,,,,,,,,,,611261.000,619795.000,624471.000,624471.000,624471.000,656955.000,679415.000,679415.000,679415.000,679415.000,679415.000,679415.000,679415.000
Liabilities,315293.000,315743.000,316093.000,322430.000,322755.000,322755.000,333961.000,352786.000,354891.000,361474.000,143306.000,264774.000,327458.000,529421.000,279196.000,217030.000,302917.000,322412.000,384743.000,454792.000,493164.000,149013.000,225242.000
LiabilitiesAndStockholdersEquity,,,,,,,8500.000,,600.000,600.000,452620.000,442120.000,421803.000,369852.000,346416.000,935726.000,758294.000,375540.000,658066.000,660267.000,601770.000,573653.000,549582.000
LiabilitiesCurrent,315293.000,315743.000,316093.000,322430.000,322755.000,322755.000,333961.000,352786.000,354891.000,361474.000,143306.000,264774.000,327458.000,529421.000,279196.000,217030.000,302917.000,322412.000,384743.000,454792.000,493164.000,149013.000,225242.000
