,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AccountsPayableCurrent,0.000,,1000.000,,,
AdditionalPaidInCapital,0.000,,,,,0.000
Assets,0.000,,500.000,500.000,500.000,500.000
AssetsCurrent,0.000,,500.000,500.000,500.000,500.000
CashAndCashEquivalentsAtCarryingValue,0.000,,500.000,500.000,500.000,500.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,500.000,500.000,,,,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
CommonStockSharesOutstanding,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
CommonStockValue,500.000,500.000,500.000,500.000,500.000,500.000
DeferredTaxAssetsGross,,,,,,22148.000
DeferredTaxAssetsNet,,,,,,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,770.000
DeferredTaxAssetsValuationAllowance,,,,,,22148.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,27522.000,35234.000,46034.000,51459.000,56412.000,63279.000
DueToAffiliateCurrent,,,32146.000,38445.000,43270.000,50009.000
DueToAffiliateNoncurrent,14886.000,22471.000,,,,
DueToOtherRelatedPartiesNoncurrent,136.000,263.000,388.000,514.000,642.000,770.000
Liabilities,27522.000,35234.000,46034.000,51459.000,56412.000,63279.000
LiabilitiesAndStockholdersEquity,0.000,,500.000,500.000,500.000,500.000
LiabilitiesCurrent,0.000,,33146.000,38445.000,43270.000,50009.000
LiabilitiesNoncurrent,27522.000,,12888.000,13014.000,13142.000,13270.000
NotesPayableRelatedPartiesNoncurrent,12500.000,12500.000,12500.000,12500.000,12500.000,12500.000
OperatingLossCarryforwards,,,,,,63279.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,,,,,0.000
StockholdersEquity,-27522.000,-35234.000,-45534.000,-50959.000,-55912.000,-62779.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-27522.000,,-45534.000,-50959.000,-55912.000,-62779.000
