,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,55592.000,57137.000,69487.000,59377.000,14989.000,269727.000,663898.000
AccountsPayableTradeCurrent,,,,,,,,,,,,,,,635029.000
AccruedLiabilitiesCurrent,,0.000,,,,,,,,,,,,,11500.000
AccruedProfessionalFeesCurrent,,,,,,,,,,,,,,19103.000,
AdditionalPaidInCapitalCommonStock,,21600.000,26100.000,26100.000,26100.000,26100.000,26100.000,40437.000,40437.000,40437.000,40437.000,40437.000,40437.000,40437.000,40437.000
AdditionalPaidInCapitalPreferredStock,,0.000,,,,,,,,,,,,,
Assets,3110.000,17824.000,21006.000,5253.000,3856.000,1910.000,58.000,,,,,,41512.000,77995.000,41035.000
Cash,110.000,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,17824.000,21006.000,5253.000,3856.000,1910.000,58.000,,,,,,41512.000,7197.000,12211.000
CashEquivalentsAtCarryingValue,110.000,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000
CommonStockSharesIssued,,6400000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000
CommonStockSharesOutstanding,,6400000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000,6900000.000
CommonStockValue,4000.000,6400.000,6900.000,6900.000,6900.000,6900.000,6900.000,6900.000,6900.000,6900.000,6900.000,6900.000,6900.000,6900.000,6900.000
DebtInstrumentInterestRateStatedPercentage,,,,,,,,,,,,,0.050,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,36541.000,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,36541.000,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-9427.000,,,,,,,,,,,,,,
DueToRelatedPartiesCurrent,,,,,,,,,,3000.000,3800.000,33400.000,28051.000,598866.000,1118108.000
DueToRelatedPartiesNoncurrent,,10037.000,10037.000,10037.000,10037.000,10037.000,12537.000,,,,,,,,
InterestPayableCurrent,,,,,,,,,,,,,,,17369.000
Liabilities,8537.000,10037.000,10037.000,10037.000,10037.000,10037.000,12537.000,,55592.000,,73287.000,92777.000,331040.000,,
LiabilitiesAndStockholdersEquity,3110.000,17824.000,21006.000,5253.000,3856.000,1910.000,58.000,,,,,,41512.000,77995.000,41035.000
LiabilitiesCurrent,,,,,,,,,,60137.000,,,,1280093.000,2485106.000
LoansPayableCurrent,,,,,,,,,,,,,288000.000,411500.000,703100.000
NotesAndLoansPayable,8537.000,,,,,,,,,,,,,,
OperatingLossCarryforwards,,,,,,,,,,107474.000,,,,1249435.000,
PrepaidExpense,3000.000,,,,,,,,,,,,,,
PrepaidExpenseCurrent,,,,,,,,,,,,,,70798.000,28824.000
RetainedEarningsAccumulatedDeficit,,-20213.000,-22031.000,-37784.000,-39181.000,-41127.000,-45479.000,-47337.000,-102929.000,-107474.000,-120624.000,-140114.000,-336865.000,-1249435.000,-2491483.000
StockholdersEquity,-5427.000,,,,,,,,-55592.000,-60137.000,-73287.000,-92777.000,-289528.000,-1202098.000,-2444071.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-5427.000,7787.000,10969.000,-4784.000,-6181.000,-8127.000,-12479.000,,,,,,-289528.000,,
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,,4000000.000,6673913.000,6786334.000,0.000,0.000,6900000.000,,,,,,,,
