,2011-09-30,2011-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-25682.000,,75.000,,,,348.000,,,,,,,
CostOfGoodsAndServicesSold,440426.000,684124.000,,,,,,,,,,,,
Depreciation,163499.000,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.000,0.004,-0.000,-0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,-0.010
ExciseAndSalesTaxes,,18726.000,,,,,,,,,,,,
GeneralAndAdministrativeExpense,349254.000,157472.000,,,,,,,,,,,,
ImpairmentOfInvestments,630000.000,,,,,,,,,,,,,
IncomeLossFromContinuingOperations,-23660.000,-183498.000,-15132.000,-14964.000,-15473.000,,-11162.000,-10487.000,-21333.000,,-16909.000,-27431.000,-13144.000,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,-15409.000,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,-12425.000,557508.000,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToNoncontrollingInterest,,,,,15473.000,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,,-1500.000,,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,-543999.000,,,,,,,,,,,,,
IncreaseDecreaseInInventories,328005.000,,,,,,,,,,,,,
IncreaseDecreaseInOtherAccountsPayable,-604578.000,,,,,,,,,,,,,
IncreaseDecreaseInOtherNoncurrentAssets,-37828.000,,,,,,,,,,,,,
IncreaseDecreaseInOtherReceivables,-655658.000,,,,,,,,,,,,,
NetCashProvidedByUsedInDiscontinuedOperations,-3870.000,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,15207.000,,,,11510.000,,,,15409.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,15207.000,,,,11510.000,,,,15409.000,,,
NetCashProvidedByUsedInOperatingActivities,-25682.000,,-15132.000,,,,-11162.000,,,,-15409.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-25682.000,,-15132.000,,,,-11162.000,,,,-15409.000,,,
NetIncomeLoss,-36085.000,374010.000,-15132.000,-14964.000,-15473.000,-2864.000,-11162.000,-10487.000,-21333.000,-19385.000,-16909.000,-27431.000,-13144.000,-33494.000
OperatingExpenses,,,15132.000,14964.000,15473.000,2864.000,11162.000,10487.000,21333.000,19385.000,16909.000,27431.000,13144.000,33494.000
OperatingIncomeLoss,,,-15132.000,-14964.000,,,-11162.000,-10487.000,-21333.000,,-16909.000,-27431.000,-13144.000,-33494.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,,7132.000,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,4597.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,22210677.000,,,,,,,,,,,,,
OtherExpenses,,109666.000,,,,,,,,,,,,
OtherIncome,,257087.000,,,,,,,,,,,,
OtherNonoperatingIncome,537150.000,,,,,,,,,,,,,
ProceedsFromNotesPayable,,,15207.000,,,,11510.000,,,,15409.000,,,
ProfessionalFees,,,15132.000,14964.000,15473.000,2864.000,11162.000,10487.000,21333.000,19385.000,16909.000,27431.000,13144.000,33494.000
ProfitLoss,,374010.000,,,,,,,,,,,,
Revenues,228870.000,786490.000,,,,,,,,,,,,
SalesRevenueNet,228870.000,529403.000,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,191770362.000,191770362.000,191770362.000,257789004.000,991770362.000,991770362.000,991770362.000,-1983540724.000,991770362.000,991770362.000,991770362.000,-2965393397.000
