,2011-09-30,2011-12-31
AccountsPayableCurrent,328718.000,846098.000
AccountsReceivableNetCurrent,153604.000,169345.000
AccruedLiabilitiesCurrent,213804.000,46971.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1537186.000,1857714.000
AdditionalPaidInCapital,1172358.000,1172358.000
AllowanceForDoubtfulAccountsReceivableCurrent,0.000,
Assets,34564659.000,35659564.000
AssetsCurrent,20397958.000,21025771.000
CashAndCashEquivalentsAtCarryingValue,132635.000,696796.000
CommonStockParOrStatedValuePerShare,0.001,0.001
CommonStockSharesAuthorized,40000000.000,40000000.000
CommonStockSharesIssued,18089660.000,18089660.000
CommonStockSharesOutstanding,18089660.000,18089660.000
CommonStockValue,18090.000,18090.000
DeferredTaxAssetsNetCurrent,391751.000,
DeferredTaxLiabilitiesNoncurrent,33945.000,
DueFromRelatedPartiesCurrent,,18781553.000
DueToRelatedPartiesCurrent,70264.000,82239.000
IntangibleAssetsNetExcludingGoodwill,259641.000,261349.000
InventoryNet,48295.000,
Liabilities,15907951.000,16135238.000
LiabilitiesAndStockholdersEquity,34564659.000,35659564.000
LiabilitiesCurrent,15874006.000,16135238.000
LongTermInvestments,315238.000,320298.000
NotesReceivableRelatedPartiesCurrent,17928300.000,
OtherAssetsCurrent,26106.000,26525.000
OtherAssetsNoncurrent,140272.000,136104.000
PreferredStockParOrStatedValuePerShare,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,
PreferredStockSharesOutstanding,0.000,
PropertyPlantAndEquipmentNet,13451550.000,13916042.000
RetainedEarningsAppropriated,913370.000,913370.000
RetainedEarningsUnappropriated,15015704.000,15562794.000
ShortTermBorrowings,10621600.000,10950817.000
StockholdersEquity,18656708.000,19524326.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,18656708.000,19524326.000
TaxesPayableCurrent,4639620.000,4209113.000
