,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,80769.000,,,,,
AdjustmentsToAdditionalPaidInCapitalOther,-270306.000,,,,,
AmortizationOfDebtDiscountPremium,13975.000,,,,86174.000,
AmortizationOfFinancingCostsAndDiscounts,,16810.000,16810.000,,86174.000,47176.000
AmortizationOfIntangibleAssets,1470.000,1470.000,1470.000,1470.000,1470.000,1470.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,36835353.000,,,,266633121.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-14520.000,,,,-4770.000,
CostOfRevenue,498.000,39790.000,57952.000,121042.000,105804.000,87666.000
DebtConversionConvertedInstrumentAmount1,24439.000,,,,207529.000,
Depreciation,2831.000,3254.000,3255.000,3621.000,4082.000,4156.000
DepreciationAndAmortization,4301.000,4724.000,4725.000,5091.000,5553.000,5625.000
DerivativeGainLossOnDerivativeNet,,1458511.000,-2652219.000,,-2613475.000,2898130.000
EarningsPerShareBasic,,0.010,,,,0.030
EarningsPerShareBasicAndDiluted,-0.030,0.010,-0.030,0.030,-0.040,
EarningsPerShareDiluted,,,,,,0.010
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,2085898.000,,,,,
FairValueAssumptionsExpectedDividendRate,0.000,,,,0.000,
FairValueAssumptionsExpectedVolatilityRate,0.564,,,,0.623,
FairValueAssumptionsRiskFreeInterestRate,0.018,,,,0.015,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationGainLossIncludedInEarnings,606908.000,,,,-3903840.000,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationIssues,,,,,2613475.000,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPeriodIncreaseDecrease,1815592.000,,,,207078.000,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationTransfersIntoLevel3,,,,,120000.000,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationTransfersNet,270306.000,,,,,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationTransfersOutOfLevel3,,,,,-80192.000,
GrossProfit,31746.000,97689.000,84546.000,114711.000,90589.000,234946.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1977870.000,875258.000,-2804985.000,2048097.000,-3115539.000,2820383.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-177.000,,,,107963.000,
IncreaseDecreaseInAccountsReceivable,-9695.000,,,,1759.000,
IncreaseDecreaseInCustomerDeposits,,,,,-14000.000,
IncreaseDecreaseInInventories,685.000,,,,57378.000,
IncreaseDecreaseInOtherReceivables,-5312.000,,,,-5312.000,
IncreaseDecreaseInPrepaidExpensesOther,,,,,3826.000,
InterestExpenseOther,1834202.000,16809.000,16810.000,276347.000,327409.000,63149.000
InterestPaid,,,,,1773.000,
LaborAndRelatedExpense,102325.000,118485.000,109373.000,147582.000,125458.000,154069.000
NetCashProvidedByUsedInFinancingActivities,162500.000,,,,134201.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,162500.000,,,,134201.000,
NetCashProvidedByUsedInInvestingActivities,-47163.000,,,,-1302.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-47163.000,,,,-1302.000,
NetCashProvidedByUsedInOperatingActivities,-129857.000,,,,-137669.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-129857.000,,,,-137669.000,
NetIncomeLoss,-1977870.000,875258.000,-2804985.000,2048097.000,-3115539.000,2820383.000
NonoperatingIncomeExpense,-1834202.000,1441702.000,-2669029.000,2315753.000,-2910910.000,2834981.000
OperatingExpenses,175414.000,664133.000,220502.000,382367.000,295218.000,249544.000
OperatingIncomeLoss,-143668.000,-566444.000,-135956.000,-267656.000,-204629.000,-14598.000
OtherIncome,,,,,29974.000,
PaidInKindInterest,1815592.000,,,,207078.000,
PaymentsToAcquireBusinessesGross,22163.000,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,25000.000,,,,1302.000,
ProceedsFromConvertibleDebt,150000.000,,,,120000.000,
ProceedsFromRelatedPartyDebt,12500.000,,,,,
ProceedsFromShortTermDebt,,,,,26400.000,
RepaymentsOfShortTermDebt,,,,,12199.000,
Revenues,32244.000,137479.000,142498.000,235755.000,196393.000,322612.000
RoyaltyRevenue,30077.000,43369.000,49396.000,,,
SaleOfStockConsiderationReceivedOnTransaction,4288.000,,,,,
SalesRevenueNet,2167.000,94110.000,93102.000,192540.000,179231.000,181476.000
SellingGeneralAndAdministrativeExpense,68788.000,540924.000,106404.000,229694.000,164207.000,89850.000
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,,,,,,11212.000
StockIssued1,1315000.000,,,,,
StockIssuedDuringPeriodValueAcquisitions,1315000.000,,,,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,,,,207529.000,
WeightedAverageNumberOfDilutedSharesOutstanding,,116003567.000,,,,411308491.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,74614491.000,,81020404.000,,86047530.000,
WeightedAverageNumberOfSharesOutstandingBasic,,78725899.000,,,,100665372.000
