,2011-06-28,2011-09-27,2012-03-27,2012-06-26,2012-09-25,2012-12-25,2013-07-02,2013-10-01
BusinessAcquisitionsProFormaNetIncomeLoss,,,,-793869.000,-888946.000,,,
BusinessAcquisitionsProFormaRevenue,,,,31064086.000,31135288.000,,,
BusinessCombinationAcquisitionRelatedCosts,,,364680.000,120505.000,199560.000,28591.000,44491.000,117480.000
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,,414597.000,467655.000,,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,4959800.000,5889925.000,,,
CommonStockDividendsPerShareDeclared,,,,-0.040,-0.030,,,
CostOfGoodsAndServicesSold,20116220.000,19498059.000,23598206.000,25134459.000,26028678.000,25940674.000,28292498.000,26608504.000
CostOfGoodsSoldDirectLabor,8123687.000,7803658.000,9377433.000,10070410.000,10293142.000,10075876.000,11127070.000,10206511.000
CostOfGoodsSoldDirectMaterials,6620449.000,6252503.000,7621653.000,8293977.000,8412835.000,8394788.000,9235029.000,8687793.000
CostsAndExpenses,,,,,,,33137098.000,31808199.000
DepreciationDepletionAndAmortization,1542759.000,1458486.000,1769131.000,1804163.000,1920425.000,1911986.000,2001162.000,2042082.000
DividendsPreferredStock,,,,202500.000,202500.000,,202500.000,202500.000
DividendsPreferredStockPaidinkind,,,101248.000,,,,,
EarningsPerShareBasic,-1.200,-0.260,-0.300,-0.250,-0.140,-0.080,-0.090,-0.230
FairValueOfAssetsAcquired,,,54159.000,,,,,
GainLossOnDispositionOfAssets,-11988.000,-36340.000,-27878.000,-195435.000,-144950.000,-114245.000,-244642.000,-162494.000
GeneralAndAdministrativeExpense,1937442.000,1985543.000,2528694.000,2362852.000,2315538.000,2507011.000,2353387.000,2451488.000
IncreaseDecreaseInAccountsPayable,,,32570.000,,,,,
IncreaseDecreaseInAccruedLiabilities,,,-1310479.000,,,,,
IncreaseDecreaseInInventories,,,151778.000,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-642439.000,,,,,
InterestCostsCapitalized,,,,,21316.000,,,
InterestExpense,835769.000,948013.000,1241371.000,1247569.000,1232515.000,1191727.000,,
InterestExpenseLesseeAssetsUnderCapitalLease,,,,,,,953827.000,933615.000
InterestExpenseOther,,,,,,,360976.000,293865.000
InterestIncomeExpenseNonoperatingNet,-833054.000,-947993.000,-1241348.000,-1247560.000,-1232515.000,-1190002.000,-1314803.000,-1227480.000
InvestmentIncomeInterest,2715.000,20.000,23.000,9.000,,,,
NetCashProvidedByUsedInContinuingOperations,,,-781108.000,,,,,
NetCashProvidedByUsedInFinancingActivities,,,7111418.000,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,7111418.000,,,,,
NetCashProvidedByUsedInInvestingActivities,,,-7954655.000,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-7954655.000,,,,,
NetCashProvidedByUsedInOperatingActivities,,,62129.000,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,62129.000,,,,,
NetIncomeLoss,,-1005386.000,-1211311.000,-1028084.000,-888946.000,-977140.000,-496570.000,-1679343.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,-1230584.000,-1091446.000,,-699070.000,-1881843.000
OccupancyNet,1897037.000,1858212.000,2370502.000,2407698.000,2573685.000,2647392.000,2787203.000,2756331.000
OperatingIncomeLoss,408089.000,-57393.000,30037.000,219476.000,343569.000,212862.000,818233.000,-451863.000
OtherCostAndExpenseOperating,3475047.000,3583686.000,4228618.000,4362374.000,4749016.000,4822618.000,5143196.000,4957869.000
PaidInKindInterest,,,5481.000,,,,,
PaymentsOfDebtIssuanceCosts,,,170046.000,,,,,
PaymentsOfDividendsPreferredStockAndPreferenceStock,,,101252.000,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,6437214.000,,,,,
PreOpeningCosts,,6608.000,234489.000,514342.000,166582.000,127786.000,185631.000,411836.000
ProceedsFromIssuanceOfCommonStock,,,100756.000,,,,,
ProceedsFromIssuanceOfLongTermDebt,,,5000000.000,,,,,
ProceedsFromLinesOfCredit,,,2807171.000,,,,,
ProfitLoss,-424965.000,,,,,,,
RepaymentsOfLinesOfCredit,,,135897.000,,,,,
RepaymentsOfLongTermCapitalLeaseObligations,,,171435.000,,,,,
RepaymentsOfLongTermDebt,,,217879.000,,,,,
RestructuringCharges,16917.000,17660.000,16885.000,16390.000,15986.000,15578.000,15287.000,14315.000
Revenues,24033415.000,22945303.000,28570000.000,30367622.000,31135288.000,30858733.000,33955331.000,31356336.000
SalesRevenueNet,24033415.000,22945303.000,28570000.000,30367622.000,31135288.000,30858733.000,33955331.000,31356336.000
WeightedAverageNumberOfSharesOutstandingBasic,5845711.000,4653852.000,4752308.000,4864987.000,8002478.000,-11202285.000,8150419.000,8199432.000
