,2015-12-31,2016-12-31
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,,50000.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,13618000.000
AmortizationOfAboveAndBelowMarketLeases,,60000.000
AmortizationOfDebtDiscountPremium,,3000.000
AmortizationOfFinancingCosts,,112000.000
AmortizationOfIntangibleAssets,,483000.000
AssetManagementFees1,,151000.000
BusinessCombinationAcquisitionRelatedCosts,,4745000.000
CashPeriodIncreaseDecrease,,2035000.000
CommonStockDividendsPerShareDeclared,,0.400
CostOfRealEstateRevenue,,898000.000
CostsAndExpenses,,8116000.000
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,,14000.000
Depreciation,,822000.000
DepreciationAndAmortization,,1252000.000
DepreciationDepletionAndAmortization,,1252000.000
DividendsCommonStockCash,,1877000.000
EarningsPerShareBasicAndDiluted,,-1.750
GeneralAndAdministrativeExpense,,1221000.000
IncreaseDecreaseInAccountsAndOtherReceivables,,284000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,770000.000
IncreaseDecreaseInAccountsPayableRelatedParties,,127000.000
IncreaseDecreaseInOtherOperatingLiabilities,,31000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,17000.000
InterestExpense,,514000.000
InterestPaid,,203000.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,1.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,0.000
NetCashProvidedByUsedInFinancingActivities,,138978000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,138978000.000
NetCashProvidedByUsedInInvestingActivities,,-133322000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-133322000.000
NetCashProvidedByUsedInOperatingActivities,,-3621000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-3621000.000
NetIncomeLoss,,-5474000.000
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,,0.000
NoncashOrPartNoncashAcquisitionDebtAssumed1,,4129000.000
NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1,,239000.000
NoncashOrPartNoncashAcquisitionOtherLiabilitiesAssumed1,,648000.000
NoncashOrPartNoncashAcquisitionPayablesAssumed1,,212000.000
NumberOfReportableSegments,,2.000
OperatingIncomeLoss,,-4960000.000
OperatingLeasesIncomeStatementLeaseRevenue,,3156000.000
OwnedPropertyManagementCosts,,898000.000
ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic,,5000.000
PaymentsForCapitalImprovements,,23000.000
PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,,200000.000
PaymentsOfDividendsCommonStock,,549000.000
PaymentsOfFinancingCosts,,1146000.000
PaymentsOfStockIssuanceCosts,,4191000.000
PaymentsToAcquireRealEstate,,133099000.000
ProceedsFromIssuanceOfCommonStock,,111024000.000
ProceedsFromLinesOfCredit,,90700000.000
ProceedsFromMinorityShareholders,,0.000
ProfitLoss,,-5474000.000
RealEstateAccumulatedDepreciationOtherAdditions,,822000.000
RealEstateAccumulatedDepreciationOtherDeductions,,0.000
RealEstateImprovements,,23000.000
RealEstateOtherAcquisitions,,118741000.000
RealEstateOtherDeductions,,0.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,9112000.000
RepaymentsOfLinesOfCredit,,56800000.000
RepaymentsOfNotesPayable,,60000.000
RepaymentsOfSecuredDebt,,60000.000
Revenues,,2258000.000
SalesRevenueNet,,2258000.000
ShareBasedCompensation,,80000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,15000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,10.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,,3000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,,10.000
StockIssued1,,796000.000
StockIssuedDuringPeriodSharesDividendReinvestmentPlan,,83717.000
StockIssuedDuringPeriodValueDividendReinvestmentPlan,,796000.000
StockIssuedDuringPeriodValueNewIssues,,112148000.000
StockIssuedDuringPeriodValueShareBasedCompensation,,30000.000
StraightLineRentAdjustments,,207000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,3131466.000
