,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,622738.000,682179.000,875080.000,832433.000,904008.000,3402437.000,5665986.000,5758506.000,5772638.000,5803168.000
AccountsPayableCurrent,,,,,451034.000,466845.000,2984811.000,3041273.000,3008824.000,3025309.000
AccountsPayableOtherCurrent,,,,,1396.000,14406.000,197203.000,301063.000,402331.000,3255241.000
AccountsReceivableGross,,,,,4973360.000,6115835.000,6036252.000,6687498.000,6360873.000,5968227.000
AccountsReceivableNetCurrent,2144329.000,3847158.000,5386455.000,5208028.000,4973360.000,6115835.000,6036252.000,6687498.000,6008877.000,5635754.000
AccruedInsuranceCurrent,,,,,88436.000,88178.000,90175.000,90671.000,91961.000,62262.000
AccruedLiabilitiesCurrent,,,,,452974.000,2935592.000,2681175.000,2717233.000,2763814.000,2777859.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,190856.000,208325.000,212526.000,227197.000,240477.000,255093.000,253853.000,269837.000,288529.000,305137.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,375830.000,539292.000,661313.000,677301.000,608012.000,623333.000,10805400.000,10741372.000,10520650.000,10691680.000
AdditionalPaidInCapital,1360060.000,1662018.000,1728539.000,1736497.000,1736497.000,1736497.000,1736497.000,1736497.000,1736497.000,2036497.000
AdvancesOnInventoryPurchases,,,32231.000,,,,,,,
AllowanceForDoubtfulAccountsReceivable,,,,,,,0.000,0.000,351996.000,332473.000
Assets,9282752.000,11732948.000,14368305.000,15754434.000,17548408.000,23643180.000,25831204.000,26047719.000,26271757.000,31368275.000
AssetsCurrent,8463063.000,10902690.000,13441741.000,14939252.000,16754118.000,22862542.000,25045107.000,25252163.000,25483014.000,30093155.000
AssetsNoncurrent,819689.000,830258.000,,815182.000,794291.000,780638.000,,,,
CashAndCashEquivalentsAtCarryingValue,384515.000,147632.000,146531.000,674811.000,930343.000,1171103.000,1295149.000,1043304.000,1010587.000,1111456.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,,,,
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,,,,
CommonStockSharesIssued,169935953.000,175935953.000,177435953.000,177435953.000,177435953.000,177435953.000,,,,
CommonStockSharesOutstanding,169935953.000,175935953.000,177435953.000,177435953.000,177435953.000,159935953.000,,,,
CommonStockValue,169936.000,175936.000,177436.000,177436.000,177436.000,177436.000,177436.000,177436.000,177436.000,227436.000
ConvertibleDebt,,,,,0.000,0.000,,,,
DeferredCostsCurrent,,,3079930.000,3961277.000,3942113.000,8702836.000,8253292.000,8014620.000,6466367.000,5370159.000
DefinedBenefitPensionPlanCurrentAndNoncurrentLiabilities,,,,,66681.000,17754.000,28337.000,17434.000,4964.000,43452.000
DueToRelatedPartiesCurrent,376457.000,376457.000,376457.000,376457.000,376457.000,376457.000,376457.000,376457.000,419458.000,432580.000
InventoryFinishedGoods,,,,,,1959271.000,1648759.000,1759099.000,1775266.000,1853949.000
InventoryNet,3383900.000,4652887.000,1276462.000,1437071.000,2393181.000,1959271.000,1648759.000,1759099.000,1775266.000,1853949.000
InventoryRawMaterials,,,,,2393181.000,1959271.000,1648759.000,1759099.000,1775266.000,1853949.000
Investments,,,,,,,,,,487108.000
Liabilities,2663996.000,2831859.000,2680185.000,2725838.000,3756258.000,9857579.000,12449666.000,12652310.000,12897089.000,17429887.000
LiabilitiesAndStockholdersEquity,9282752.000,11732948.000,14368305.000,15754434.000,17548408.000,23643180.000,25831204.000,26047719.000,26271757.000,31368275.000
LiabilitiesCurrent,2663996.000,2831859.000,2680185.000,2725838.000,3756258.000,9857579.000,12449666.000,12652310.000,12897089.000,17429887.000
LongTermInvestments,,,95224.000,,,,,,,
LongtermDebtWeightedAverageInterestRate,,,,,,,,,,0.200
NotesAndLoansPayableCurrent,927128.000,944153.000,1206177.000,730820.000,1422947.000,,0.000,0.000,0.000,
NotesPayableCurrent,,,,,,5064076.000,5395883.000,5425590.000,5502776.000,7137754.000
OperatingLeasesFutureMinimumPaymentsDue,,,,,,,8879850.000,,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,,,1765346.000,,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,1786626.000,,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,1781282.000,,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,1775954.000,,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,1770642.000,,,
OtherAccruedLiabilitiesCurrent,155348.000,192875.000,201271.000,162817.000,165888.000,130664.000,326781.000,421719.000,512334.000,3374974.000
OtherInventory,,,,,,,0.000,0.000,,0.000
PreferredStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,,,,,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,2511186.000,2254324.000,3520132.000,3523823.000,3506775.000,3510050.000,3520020.000,3539399.000,5580462.000,5598493.000
PropertyPlantAndEquipmentGross,1010545.000,1038583.000,1043867.000,1042380.000,1034767.000,1035730.000,1039950.000,1065392.000,1077272.000,1093149.000
PropertyPlantAndEquipmentNet,,,831341.000,,794291.000,780638.000,786097.000,795556.000,788743.000,788012.000
RetainageDeposit,,,,,1008346.000,1403447.000,4291635.000,4208243.000,4641455.000,10523344.000
RetainedEarningsAccumulatedDeficit,4712930.000,6523843.000,9120832.000,10437362.000,11270206.000,11248335.000,662205.000,740104.000,940085.000,982775.000
ShortTermBorrowings,,,,,1422947.000,5064076.000,5395883.000,5425590.000,5502776.000,7137754.000
StockholdersEquity,6618756.000,8901089.000,11688120.000,13028596.000,13792150.000,13785601.000,13381538.000,13395409.000,13374668.000,13938388.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6618756.000,8901089.000,11688120.000,13028596.000,13792150.000,13785601.000,13381538.000,13395409.000,13374668.000,13938388.000
Supplies,39133.000,689.000,,134241.000,1008346.000,1403447.000,4291635.000,4208243.000,,
TaxesPayableCurrent,582325.000,636195.000,21200.000,623312.000,886957.000,883945.000,684559.000,670038.000,689883.000,681411.000
