,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,44000.000,,43000.000,,,,45000.000,,,,1581000.000,,,,772000.000,,,,133000.000
AdvertisingBarterTransactionsAdvertisingBarterCosts,,,825000.000,,,,,,,,,,,,,,,,,
AmortizationOfDebtDiscountPremium,,,,4994000.000,,,,3460000.000,,,,,,,,,,,,
AmortizationOfFinancingCosts,,760000.000,,1317000.000,,,,1256000.000,,,,1164000.000,,,,1282000.000,,,,1366000.000
AmortizationOfIntangibleAssets,,2489000.000,,,,,,,,,,,,,,,,,,
AssetImpairmentCharges,,,,1370000.000,9800000.000,3710000.000,,,,,,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,79000.000,,,,1000.000,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,24000.000,,,,0.000,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGains,,,,,0.000,0.000,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,0.000,0.000,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,10000.000,,,,2000.000,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,103000.000,,,,1000.000,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,-13064000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,109952000.000,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,7945000.000,,-10829000.000,,,,-10872000.000,,,,-6742000.000,,,,5291000.000,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,4000.000,,3174000.000,,,,0.000,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,-79145000.000,-13037000.000,-18126000.000,-14296000.000,-13232000.000,-16438000.000,-25063000.000,-10782000.000,-13245000.000,-13482000.000,-18373000.000,-13040000.000,-18145000.000,-24349000.000,-3947000.000,7314000.000,-423000.000,-3367000.000,-2313000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,4057000.000,2809000.000,5691000.000,5662000.000,4317000.000,2801000.000,4881000.000,5408000.000,4462000.000,5179000.000,6466000.000,365000.000,514000.000,543000.000,421000.000,435000.000,403000.000,-120000.000,-44000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-75088000.000,-10228000.000,-12435000.000,-8634000.000,-8915000.000,-13637000.000,-20182000.000,-5374000.000,-8783000.000,-8303000.000,-11907000.000,-12675000.000,-17631000.000,-23806000.000,-3526000.000,7749000.000,-20000.000,-3487000.000,-2357000.000
ConversionOfStockAmountConverted1,,,,,,,,0.000,,,,0.000,,,,0.000,,,,
CostOfGoodsAndServicesSold,32742000.000,31165000.000,32454000.000,30473000.000,32897000.000,37176000.000,37475000.000,35272000.000,33920000.000,36520000.000,35977000.000,34457000.000,31425000.000,32785000.000,35743000.000,34003000.000,30693000.000,32093000.000,37211000.000,31897000.000
DebtInstrumentInterestRateDuringPeriod,,,,0.075,,0.075,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,65582000.000,,6604000.000,,,,8505000.000,,,,8530000.000,,,,1671000.000,,,,-156000.000
DepreciationAndAmortization,11504000.000,9685000.000,9685000.000,9540000.000,9467000.000,9571000.000,9292000.000,9270000.000,9236000.000,9179000.000,9137000.000,9088000.000,8980000.000,8277000.000,9010000.000,8682000.000,8572000.000,8469000.000,8524000.000,8312000.000
DepreciationDepletionAndAmortization,,9685000.000,,9540000.000,,,,9270000.000,,,,9088000.000,,,,8682000.000,,,,8312000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,15000.000,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,,,,,,0.000,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,,,,,11000.000,0.000,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationInterestIncome,,,,,91000.000,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,61000.000,65000.000,65000.000,0.000,-130000.000,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,
EarningsPerShareBasic,-0.200,,-0.260,-0.360,-0.290,-0.280,-0.350,-0.530,-0.230,-0.280,-0.280,-0.390,-0.270,-0.380,-0.500,-0.080,0.150,,,
