,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,15218000.000,15567000.000,14187000.000,14413000.000,16439000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,14818518.000,,,,12453642.000,,,,14552000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,-1012000.000,,,,452000.000
CapitalExpendituresIncurredButNotYetPaid,610000.000,,,,1817000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-191810000.000,,,,63609000.000,,,,17813000.000
ComprehensiveIncomeNetOfTax,-64893000.000,,-23789000.000,,-69955000.000,-60330000.000,-56873000.000,-55181000.000,-80018000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-66789000.000,,,,,,,
ConversionOfStockAmountConverted1,387700000.000,,,,,,,,
DeferredForeignIncomeTaxExpenseBenefit,,,,,-701000.000,,,,
DeferredIncomeTaxExpenseBenefit,,,,,,,,,-1332000.000
DepreciationAndAmortization,1041000.000,,,,3240000.000,,,,3338000.000
Dividends,0.000,,,,,,,,
EarningsPerShareBasicAndDiluted,-0.790,-0.790,-0.260,-0.880,-0.720,-0.640,-0.560,-0.500,-0.790
EffectOfExchangeRateOnCash,,,,,,,,,-45000.000
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,-3000.000,,,,
FairValueInputsDiscountRate,,,,,0.170,,,,0.160
GeneralAndAdministrativeExpense,6670000.000,14857000.000,13632000.000,15971000.000,15954000.000,16815000.000,18441000.000,19465000.000,20726000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-67574000.000,-23177000.000,,-78491000.000,-65951000.000,-57491000.000,-54304000.000,-83529000.000
IncomeTaxExpenseBenefit,,1616000.000,63000.000,,-7353000.000,-1184000.000,-594000.000,-1526000.000,-1332000.000
IncreaseDecreaseInAccountsPayable,-27000.000,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,-4455000.000,,,,27972000.000
IncreaseDecreaseInAccountsReceivable,,,,,,,,,-4462000.000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,-373000.000,,,,,,,,
IncreaseDecreaseInDeferredRevenue,,,,,-3843000.000,,,,-10482000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1650000.000,,,,3250000.000,,,,20894000.000
InterestIncomeExpenseNonoperatingNet,195000.000,158000.000,356000.000,1021000.000,1341000.000,1496000.000,1485000.000,1547000.000,1700000.000
LegalFees,691000.000,5334000.000,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-1707000.000,,,,47592000.000,,,,1930000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-1707000.000,,,,47592000.000,,,,1930000.000
NetCashProvidedByUsedInInvestingActivities,-168454000.000,,,,74185000.000,,,,69856000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-168454000.000,,,,74185000.000,,,,69856000.000
NetCashProvidedByUsedInOperatingActivities,-21649000.000,,,,-58165000.000,,,,-53928000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-21649000.000,,,,-58165000.000,,,,-53928000.000
NetIncomeLoss,-64965000.000,-65958000.000,-23240000.000,-85213000.000,-71138000.000,-64767000.000,-56897000.000,-52778000.000,-82197000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,-65958000.000,-23240000.000,,,,,,
OperatingExpenses,65160000.000,80426000.000,25135000.000,91594000.000,89676000.000,89126000.000,79295000.000,76863000.000,103650000.000
OperatingIncomeLoss,-65160000.000,-67965000.000,-23533000.000,-87442000.000,-79901000.000,-61524000.000,-58469000.000,-55710000.000,-84323000.000
OperatingLeasesRentExpenseNet,400000.000,500000.000,600000.000,800000.000,1100000.000,1300000.000,900000.000,2300000.000,2600000.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,,,,,-387000.000,-239000.000,,1774000.000
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,72000.000,-706000.000,-906000.000,-3848000.000,107000.000,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesBeforeReclassificationAdjustmentsTax,,,,,,800000.000,-100000.000,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,-125000.000,357000.000,,1076000.000,-666000.000,263000.000,-1859000.000,405000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,-831000.000,-549000.000,,1183000.000,4437000.000,24000.000,-2403000.000,2179000.000
OtherNonoperatingIncomeExpense,,233000.000,,,69000.000,-433000.000,-507000.000,-141000.000,-906000.000
OtherOperatingActivitiesCashFlowStatement,,,,,,,,,915000.000
OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNetAvailableforsaleSecurities,,,,,,5490000.000,0.000,,
PaymentsOfStockIssuanceCosts,1683000.000,,,,,,,,
PaymentsToAcquireAvailableForSaleSecurities,181313000.000,,,,150519000.000,,,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,74575000.000,,,,0.000
PaymentsToAcquireInvestments,,,,,,,,,104799000.000
PaymentsToAcquirePropertyPlantAndEquipment,2342000.000,,,,4036000.000,,,,21152000.000
ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,15201000.000,,,,303315000.000,,,,195807000.000
ProceedsFromStockOptionsExercised,,,,,679000.000,,,,238000.000
ReclassificationFromAociCurrentPeriodNetOfTaxAttributableToParent,,,,,,-5490000.000,0.000,,
ReclassificationFromAociCurrentPeriodTax,,,,,,0.000,0.000,,
ResearchAndDevelopmentExpense,57799000.000,60235000.000,11503000.000,75623000.000,73722000.000,72311000.000,60854000.000,57398000.000,82924000.000
Revenues,,12461000.000,1602000.000,,9775000.000,27602000.000,20826000.000,21153000.000,19327000.000
SalesRevenueNet,,12461000.000,1602000.000,,9775000.000,27602000.000,20826000.000,21153000.000,19327000.000
ShareBasedCompensation,5415000.000,,,,13005000.000,,,,16439000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,0.000,,,,0.000,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,0.750,,,,0.700,,,,0.750
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,0.019,,,,0.018,,,,0.024
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,0.015,,,,0.013,,,,0.020
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,0.000,,,,44133.000,,,,115000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,1120580.000,,,,2398336.000,,,,2550000.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,0.000,,,,6.630,,,,7.670
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,0.000,,,,50.330,,,,36.890
