,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsAndNotesReceivableNet,,,,,,,1080000.000,782660.000,,,,
AccountsNotesAndLoansReceivableNetCurrent,,,,,,,3000000.000,3000000.000,,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,2219000.000,2219000.000,2189000.000,2221000.000,2031000.000,1508000.000,1372100.000,1398606.000,1430891.000,1403431.000,1459434.000,1573642.000
AccountsPayableCurrent,120852.000,87003.000,109654.000,130119.000,201472.000,168398.000,187053.000,159685.000,282220.000,289513.000,346113.000,337369.000
AccountsPayableCurrentAndNoncurrent,,,,,,,,,59000.000,,,
AccountsReceivableGrossNoncurrent,,,,,,,,,29000.000,,,
AccountsReceivableNetCurrent,,,,22843.000,81497.000,84963.000,18250.000,18200.000,,,,
AccruedLiabilitiesAndOtherLiabilities,682857.000,682857.000,682857.000,682857.000,118750.000,118750.000,118750.000,118750.000,118750.000,118750.000,118750.000,118750.000
AccruedLiabilitiesCurrent,2218746.000,2219193.000,2188812.000,2220994.000,2030680.000,1507930.000,1372023.000,1398606.000,1430891.000,1403431.000,1459434.000,1573642.000
AccruedPayrollTaxesCurrentAndNoncurrent,21000.000,21000.000,21000.000,81000.000,118000.000,145000.000,128300.000,116244.000,145734.000,145734.000,145734.000,145734.000
AccruedProfessionalFeesCurrent,,,,,,,,216667.000,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,121000.000,7400.000,,,,,,,,,,
AdditionalPaidInCapital,-11011418.000,-10984478.000,-10984478.000,-10782248.000,-10717336.000,-10282836.000,-10260936.000,-9951869.000,-9888444.000,-9748719.000,-9012732.000,-8945457.000
Assets,5195677.000,4672774.000,4091140.000,3734751.000,3383021.000,3005220.000,3545804.000,4505733.000,3642754.000,3827205.000,3775532.000,3622307.000
AssetsCurrent,2237281.000,1809027.000,1535110.000,1513502.000,1412014.000,1373301.000,1600812.000,2712033.000,2473373.000,2661823.000,2570121.000,2451162.000
AssetsHeldForSaleCapitalLeasedAssetsNet,,,,,,,214300.000,214300.000,214300.000,,,
BusinessAcquisitionCostOfAcquiredEntityCashPaid,750000.000,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,11696000.000,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,,,,,,,1061600.000,1061600.000,1061600.000,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,2526000.000,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,3900000.000,,,,,,,,,,,
CapitalizedSoftwareDevelopmentCostsForSoftwareSoldToCustomers,429503.000,393711.000,357919.000,322127.000,,,,,,,,
