,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,603000.000,,,,1199000.000,,,,1517000.000,,,,1821000.000,,,,5619000.000,,,,11014000.000,
AdjustmentsToAdditionalPaidInCapitalOther,,,,,0.000,,,,0.000,,,,,,,,0.000,,,,0.000,,,,0.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1420000.000,,,,1469000.000,,,,2422000.000,,,,2233000.000,,,,4302000.000,,,,5911000.000,,,,6169000.000,
AllocatedShareBasedCompensationExpense,,,,,,2400000.000,2400000.000,,2400000.000,2300000.000,2500000.000,2400000.000,2900000.000,3500000.000,4000000.000,4100000.000,4300000.000,5000000.000,4300000.000,5300000.000,5900000.000,6600000.000,6800000.000,7300000.000,6200000.000,6500000.000
AmortizationOfAboveAndBelowMarketLeases,,,,,,,,,-2047000.000,,,,-1734000.000,,,,-1928000.000,,,,-1603000.000,,,,-2412000.000,
AmortizationOfAcquiredIntangibleAssets,,,,,-525000.000,,,,,,,,,,,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,3450000.000,,,,2976000.000,,,,1413000.000,,,,1256000.000,,,,454000.000,,,,609000.000,,,,738000.000,
AmortizationOfIntangibleAssets,,,,,,7859000.000,9716000.000,,13232000.000,11452000.000,12661000.000,10050000.000,11288000.000,,,,,,,,8045000.000,7967000.000,8443000.000,8602000.000,,
BelowMarketLeaseAcquired,,,,,,,,,,,,,4600000.000,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,0.190,,1.070,-0.020,-0.040,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,0.190,,1.070,-0.020,-0.040,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,11692000.000,,68265000.000,-935000.000,-2793000.000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,99938000.000,,101549000.000,103661000.000,104910000.000,,,,,,,,,,,,,,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,568000.000,,228000.000,609000.000,431000.000,211000.000,128000.000,265000.000,4000.000,100000.000,62000.000,714000.000,188000.000,938000.000,0.000,0.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,64709000.000,,,,85656000.000,,,,59218000.000,,,,50056000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-8132000.000,,,,369591000.000,,,,118976000.000,,,,60157000.000,,,,26400000.000,,,,-17863000.000,,,,,
CashPaidForCapitalizedInterest,1620000.000,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockDividendsPerShareDeclared,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.375,0.375,2.275,0.375,0.425
ConversionOfStockAmountConverted1,,,,,,,,,,,,,28000.000,,,,316000.000,,,,39000.000,,,,10939000.000,
CostOfRealEstateRevenue,17689000.000,17583000.000,19361000.000,18236000.000,17535000.000,21196000.000,21871000.000,18755000.000,23773000.000,24732000.000,25123000.000,22978000.000,25094000.000,25713000.000,25801000.000,23906000.000,24714000.000,26866000.000,26684000.000,27114000.000,25965000.000,29221000.000,30050000.000,28696000.000,31241000.000,33304000.000
