,2011-09-30,2011-12-31,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,,,,,555.000,,0.000,,,,13694.000,,,,0.000,,,
AmortizationOfIntangibleAssets,69167.000,52500.000,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,-18669.000,,,,,,-54122.000,,,,-441.000,,,
CashPeriodIncreaseDecrease,,,,,,,-252731.000,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,-48751.000,,,,,,,,,,,,,,,
DebtInstrumentDecreaseForgiveness,,,,,0.000,,0.000,,,,,,,,,,,
DebtorReorganizationItemsImpairmentLoss,,,,,1417.000,,,,,,,,,,,,,
Depreciation,,,0.000,,2125.000,,,,,,,,,,,,,
DepreciationAndAmortization,,,0.000,1417.000,2125.000,2125.000,333.000,,0.000,,0.000,0.000,0.000,0.000,0.000,,0.000,
DepreciationDepletionAndAmortization,,,,,,,333.000,,,,0.000,,,,,,,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,-54230.000,-9739.000,58300.000,105669.000,0.000,0.000,0.000,
DerivativeLossOnDerivative,,,,,,,,,,,,,,,0.000,,,
EarningsPerShareBasicAndDiluted,,,,0.000,,-0.010,0.000,-0.010,0.000,-0.010,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,-0.010
EmbeddedDerivativeGainLossOnEmbeddedDerivativeNet,,,,,,,,,,,54230.000,,,,,,,
ExplorationCosts,943200.000,8013.000,0.000,0.000,0.000,19805.000,0.000,24876.000,2124.000,-1.000,300.000,21920.000,0.000,0.000,0.000,21855.000,0.000,
GainsLossesOnExtinguishmentOfDebt,,,,,,,0.000,,0.000,,,,,,,,,
GeneralAndAdministrativeExpense,9858.000,10512.000,555.000,16124.000,267626.000,105243.000,240774.000,236576.000,178770.000,608435.000,128570.000,115315.000,93491.000,136200.000,112431.000,82916.000,85758.000,88206.000
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,,0.000,,,,,,,,,,,,,,
ImpairmentOfIntangibleAssetsFinitelived,,,0.000,,,,,,,,,,,,,,,
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,0.000,,0.000,,,,,,,,,
IncomeLossFromContinuingOperations,,,,-167902.000,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1107945.000,-182621.000,-48342.000,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.030,-0.010,0.000,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,0.000,0.000,,,,,,,,,,,,,,
IncomeLossFromExtraordinaryItemsNetOfTaxPerBasicAndDilutedShare,,,,,-0.010,,,,,,,,,,,,,
IncomeTaxesPaidNet,,,,,0.000,,0.000,,,,0.000,,,,0.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,16337.000,,-61658.000,,,,39220.000,,,,30658.000,,,
IncreaseDecreaseInAccountsPayableAndOtherOperatingLiabilities,,,,,,,0.000,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,19244.000,,-100.000,,,,61500.000,,,,70550.000,,,
IncreaseDecreaseInNotesPayableCurrent,,,,,0.000,,0.000,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,-25378.000,,,,-17363.000,,,,2302.000,,,
IncreaseDecreaseInPrepaidExpense,,,,,2125.000,,,,,,,,,,,,,
InterestExpense,,,,,-7716.000,-7800.000,-7800.000,-7801.000,-7800.000,-7800.000,-21911.000,-81343.000,25147.000,211809.000,7800.000,7801.000,-19695.000,
InterestExpenseDebt,9873.000,10474.000,1108.000,,,,,,,,,,,,,,,
InterestPaid,,,,20851.000,0.000,,,,,,0.000,,,,0.000,,,
InterestPaidNet,,,,,,,0.000,,,,,,,,,,,
InvestmentIncomeInterest,,,0.000,0.000,,,,,,,,,,,,,,
LegalFees,,,,100442.000,,,,,,,,,,,,,,
LineOfCreditFacilityIncreaseDecreaseForPeriodNet,,,,,0.000,,0.000,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,99592.000,,-1271.000,,,,110602.000,,,,3780.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,99592.000,,-1271.000,,,,110602.000,,,,3780.000,,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,0.000,,,,-20500.000,,,,12500.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,0.000,,,,-20500.000,,,,12500.000,,,
NetCashProvidedByUsedInOperatingActivities,,,,,-118261.000,,-251460.000,,,,-35980.000,,,,-16721.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,-118261.000,,-251460.000,,,,-35980.000,,,,-16721.000,,,
NetIncomeLoss,,,,,-277467.000,-134973.000,-248907.000,-269253.000,,,-205011.000,-228317.000,-60338.000,-35832.000,-120231.000,-112572.000,-105453.000,-84930.000
NonoperatingIncomeExpense,,,0.000,,,,,,,,,,,,,,,
OperatingExpenses,1107945.000,182621.000,48342.000,167902.000,269751.000,127173.000,241107.000,261452.000,180894.000,608434.000,128870.000,137235.000,93491.000,136200.000,112431.000,104771.000,85758.000,88206.000
OperatingIncomeLoss,-1107945.000,-182621.000,-48342.000,-167902.000,269751.000,-127173.000,-241107.000,-261452.000,-180894.000,-608434.000,-128870.000,-137235.000,-93491.000,-136200.000,-112431.000,-104771.000,-85758.000,-88206.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,1973.000,-418.000,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,,,-409.000,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,-1105972.000,-183039.000,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeLossTax,,,,-167902.000,,,,,,,,,,,,,,
OtherIncome,,,,0.000,,,,,,,,,,,,,,
OtherNonoperatingIncomeExpense,,,,,-7716.000,-7800.000,-7800.000,-7801.000,-7800.000,-7800.000,-76141.000,-91082.000,33153.000,100368.000,-7800.000,-7801.000,-19695.000,3276.000
PaymentsToAcquireMineralRights,,,,,,,0.000,,,,-8000.000,,,,0.000,,,
ProceedsFromConvertibleDebt,,,,,,,,,,,100000.000,,,,0.000,,,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,,,,,,,5000.000,,,
ProceedsFromIssuanceOrSaleOfEquity,,,,,100000.000,,0.000,,,,,,,,,,,
ProceedsFromRelatedPartyDebt,,,,,,,,,,,-12500.000,,,,12500.000,,,
ProceedsFromRepaymentsOfLinesOfCredit,,,,,-408.000,,-1271.000,,,,10602.000,,,,-1220.000,,,
ProfessionalFees,22795.000,21155.000,43512.000,29068.000,,,,,,,,,,,,,,
ProfitLoss,-1107945.000,-182621.000,-48342.000,-167902.000,-277467.000,,-248907.000,,-188694.000,,-205011.000,,,,,,,
RecoveryOfDirectCosts,,,0.000,,,,,,,,,,,,,,,
ShareBasedCompensation,,,,,119375.000,,,,,,,,,,,,,
StockIssuedDuringPeriodValueIssuedForServices,,,,,,,84250.000,,,,17750.000,,,,0.000,,,
TravelAndEntertainmentExpense,,,0.000,0.000,,,,,,,,,,,,,,
