,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,274633000.000,215267000.000,155648000.000,161709000.000,
AccountsPayableCurrent,16846000.000,25772000.000,42069000.000,25367000.000,38668000.000,33849000.000,27711000.000,25697000.000
AccountsReceivableNetCurrent,102578000.000,82263000.000,61649000.000,59627000.000,77795000.000,45872000.000,112724000.000,62174000.000
AccrualForEnvironmentalLossContingencies,,2092000.000,1300000.000,1100000.000,600000.000,216000.000,,0.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,26466000.000,8870000.000,10390000.000,11442000.000,15010000.000,1583000.000,3486000.000,1619000.000
AccruedEnvironmentalLossContingenciesCurrent,571000.000,2092000.000,1309000.000,1147000.000,588000.000,,,
AccruedIncomeTaxesCurrent,,51929000.000,,,4942000.000,,,20007000.000
AccruedLiabilitiesCurrent,179381000.000,199000000.000,217669000.000,249266000.000,176599000.000,121799000.000,133998000.000,72064000.000
AdditionalPaidInCapital,1386143000.000,,,,,,,
AdditionalPaidInCapitalCommonStock,,1367346000.000,1234194000.000,1297944000.000,1554671000.000,1560949000.000,1542340000.000,1627780000.000
AssetRetirementObligation,119510000.000,122531000.000,124476000.000,126708000.000,129060000.000,174243000.000,176670000.000,
AssetRetirementObligationCurrent,,,,,,1175000.000,1175000.000,
AssetRetirementObligationsNoncurrent,119510000.000,122531000.000,124476000.000,126708000.000,129060000.000,173068000.000,175495000.000,10779000.000
Assets,4021667000.000,4593547000.000,4574222000.000,4480303000.000,4617268000.000,5082849000.000,5096913000.000,2100696000.000
AssetsCurrent,190127000.000,505617000.000,514080000.000,433967000.000,554755000.000,675704000.000,634556000.000,191412000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,0.000
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,1334235000.000,,,,2313284000.000,,
CapitalizedCostsOilAndGasProducingActivitiesGross,,,,,,5982209000.000,,
CapitalizedCostsOilAndGasProducingActivitiesNet,,3498202000.000,,,,3668925000.000,,
CapitalizedCostsProvedProperties,,4598211000.000,,,,5356855000.000,,
CapitalizedCostsSupportEquipmentAndFacilities,,185997000.000,,,,210595000.000,,
CapitalizedCostsUnprovedProperties,,48229000.000,,,,414759000.000,,
CapitalizedExploratoryWellCosts,,0.000,,,,0.000,,
CashAndCashEquivalentsAtCarryingValue,10316000.000,5958000.000,4512000.000,4701000.000,7363000.000,2175000.000,2075000.000,10000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000
CommonStockSharesIssued,193559211.000,193435414.000,190776618.000,191527728.000,205318103.000,205293743.000,205291293.000,206038313.000
CommonStockSharesOutstanding,193559211.000,193435414.000,190776618.000,191527728.000,205318103.000,205293743.000,205291293.000,206038313.000
CommonStockValue,1936000.000,1935000.000,1908000.000,1915000.000,2053000.000,2053000.000,2053000.000,2060000.000
DeferredCompensationArrangementWithIndividualCommonStockReservedForFutureIssuance,19250000.000,19250000.000,,,,19250000.000,,
DeferredIncomeTaxLiabilities,,,28000000.000,28000000.000,,284309000.000,,
DeferredTaxAssetsDerivativeInstruments,,109000.000,,,,,,
DeferredTaxAssetsGross,,,,,,88482000.000,,
DeferredTaxAssetsLiabilitiesNetCurrent,,-51929000.000,,,,,,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,-95017000.000,,,,,,
DeferredTaxAssetsNet,,,,,,88482000.000,,
DeferredTaxAssetsNetCurrent,,451000.000,,,,,,
DeferredTaxAssetsNetNoncurrent,,34390000.000,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,28043000.000,,,,68431000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,,,,,,9984000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAssetRetirementObligations,,5757000.000,,,,4483000.000,,
DeferredTaxAssetsValuationAllowance,,,,,,0.000,,
