,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,4410000.000,4405000.000,3710000.000,3302000.000,5027000.000,5385000.000,4027000.000,3857000.000,4185000.000,3190000.000,3421000.000,3296000.000,2801000.000,4071000.000,5323000.000,5407000.000
AccruedIncomeTaxesCurrent,,432000.000,302000.000,208000.000,20000.000,,18000.000,,,,,,,,,
AccruedPayrollTaxesCurrent,818000.000,,,,,,,,,,,,,,,
AccruedProfessionalFeesCurrent,,,,329000.000,319000.000,450000.000,418000.000,290000.000,286000.000,333000.000,306000.000,192000.000,259000.000,333000.000,235000.000,109000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1555000.000,1674000.000,1776000.000,1914000.000,2012000.000,2109000.000,2205000.000,2275000.000,2251000.000,1955000.000,1980000.000,2004000.000,2028000.000,2052000.000,2076000.000,2099000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,5000.000,-18000.000,1000.000,,,-8000.000,-13000.000,-43000.000,-14000.000,-18000.000,-22000.000,-16000.000,-19000.000,-17000.000,-31000.000,-26000.000
AdditionalPaidInCapitalCommonStock,22787000.000,309916000.000,311093000.000,313272000.000,314630000.000,316266000.000,317122000.000,318505000.000,319418000.000,324898000.000,328334000.000,331528000.000,332387000.000,341911000.000,342484000.000,342982000.000
Assets,57914000.000,122717000.000,105153000.000,89718000.000,74573000.000,62274000.000,47337000.000,36713000.000,27737000.000,25969000.000,23445000.000,19642000.000,16202000.000,28088000.000,23233000.000,16554000.000
AssetsCurrent,57048000.000,121928000.000,104390000.000,89024000.000,73827000.000,61625000.000,46905000.000,36353000.000,27425000.000,25684000.000,23185000.000,19406000.000,15990000.000,27900000.000,23069000.000,16413000.000
CashAndCashEquivalentsAtCarryingValue,51181000.000,76612000.000,60009000.000,54624000.000,55499000.000,42348000.000,43582000.000,33698000.000,25358000.000,22197000.000,19799000.000,16835000.000,12818000.000,25778000.000,21400000.000,15389000.000
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,,,,3525771.000,3525771.000,3525771.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,30145155.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,25000000.000,25000000.000,25000000.000,25000000.000
CommonStockSharesIssued,2609484.000,21405905.000,21467482.000,21638887.000,21673486.000,21692240.000,21703173.000,21703173.000,21743873.000,23683976.000,25464193.000,27401035.000,2740615.000,6759895.000,6759895.000,6772659.000
CommonStockSharesOutstanding,2609484.000,21405905.000,21467482.000,21638887.000,21673486.000,21692240.000,21703173.000,21703173.000,21743873.000,23683976.000,25464193.000,27401035.000,2740615.000,6759895.000,6759895.000,6772659.000
CommonStockValue,26000.000,214000.000,215000.000,217000.000,217000.000,217000.000,217000.000,217000.000,217000.000,237000.000,255000.000,274000.000,27000.000,68000.000,68000.000,68000.000
DeferredCompensationShareBasedArrangementsLiabilityCurrent,,,0.000,,,,,,,,,,,,,
DeferredOfferingCosts,2285000.000,,,,,,,,,,,,,,,
DeferredRevenueCurrent,3509000.000,2530000.000,788000.000,455000.000,455000.000,455000.000,455000.000,455000.000,455000.000,455000.000,455000.000,455000.000,455000.000,455000.000,455000.000,455000.000
DeferredRevenueNoncurrent,14136000.000,14023000.000,13909000.000,13795000.000,13682000.000,13568000.000,13455000.000,13341000.000,13227000.000,13114000.000,5000000.000,4886000.000,4773000.000,4659000.000,4545000.000,4432000.000
DeferredTaxAssetsCharitableContributionCarryforwards,,,6000.000,,,,6000.000,,,,6000.000,,,,6000.000,
DeferredTaxAssetsDeferredIncome,,,5938000.000,,,,5648000.000,,,,2198000.000,,,,2030000.000,
DeferredTaxAssetsGross,,,93304000.000,,,,131951000.000,,,,149071000.000,,,,157809000.000,
DeferredTaxAssetsNet,,,,,,,,,,,0.000,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,47364000.000,,,,63776000.000,,,,73648000.000,,,,75829000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,199000.000,,,,164000.000,,,,149000.000,,,,102000.000,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,35223000.000,,,,56750000.000,,,,66374000.000,,,,71811000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,586000.000,,,,691000.000,,,,617000.000,,,,618000.000,
DeferredTaxAssetsValuationAllowance,,,93304000.000,,,,131951000.000,,,,149071000.000,,,,157809000.000,
