,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,3874000.000,3525000.000,4698000.000,3884000.000,4516000.000,5715000.000,8300000.000,5078000.000,3022000.000,2972000.000,4653000.000,2236000.000,3673000.000,3387000.000,4994000.000,7345000.000
AccountsReceivableNetCurrent,7808000.000,2155000.000,33667000.000,8151000.000,2191000.000,2109000.000,2075000.000,365000.000,723000.000,177000.000,262000.000,176000.000,60000.000,6200000.000,23000.000,8000.000
AccruedLiabilitiesCurrent,4517000.000,5384000.000,6632000.000,4831000.000,6285000.000,8652000.000,7043000.000,5510000.000,9476000.000,12081000.000,11335000.000,9728000.000,10942000.000,11385000.000,16007000.000,12430000.000
AccruedProfessionalFeesCurrent,,,,,,,,,,,1503000.000,1330000.000,737000.000,1016000.000,982000.000,2402000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,2547000.000,,,,3280000.000,,,,4700000.000,,,,5526000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,25000.000,-95000.000,-106000.000,-94000.000
AdditionalPaidInCapital,158430000.000,159290000.000,160390000.000,263605000.000,265951000.000,268801000.000,271364000.000,390779000.000,407072000.000,410785000.000,412989000.000,545344000.000,549454000.000,552542000.000,555473000.000,560919000.000
AllowanceForDoubtfulAccountsReceivable,,,0.000,,,,0.000,,,,0.000,,,,0.000,
Assets,162044000.000,147350000.000,162988000.000,251064000.000,238371000.000,220753000.000,199203000.000,253266000.000,244994000.000,237698000.000,217903000.000,322704000.000,300858000.000,278986000.000,252441000.000,223906000.000
AssetsCurrent,158518000.000,143860000.000,159652000.000,247287000.000,234719000.000,217051000.000,195010000.000,247404000.000,239429000.000,232619000.000,213063000.000,318300000.000,296606000.000,275003000.000,248672000.000,219988000.000
AssetsFairValueDisclosureRecurring,121392000.000,121409000.000,121424000.000,221987000.000,222010000.000,199532000.000,184257000.000,196885000.000,196924000.000,196975000.000,197023000.000,297269000.000,279327000.000,241572000.000,227151000.000,202420000.000
AvailableForSaleSecurities,,,,,,,,,,,,,199136000.000,197315000.000,164297000.000,146774000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,65000.000,25000.000,7000.000,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,40000.000,119000.000,113000.000,94000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,,,,,,,,,199111000.000,197409000.000,164403000.000,146868000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,,,,,,,,,107400000.000,137600000.000,128800000.000,137600000.000
CapitalLeaseObligations,,,,,,,,1677000.000,1551000.000,1423000.000,,,,,,
CapitalLeaseObligationsCurrent,,,,,,,,521000.000,534000.000,548000.000,561000.000,576000.000,590000.000,605000.000,620000.000,580000.000
CapitalLeaseObligationsNoncurrent,,,,,,,,1156000.000,1017000.000,875000.000,730000.000,580000.000,427000.000,270000.000,110000.000,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,1940000.000,1773000.000,1608000.000,1441000.000,,,,776000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,,,665000.000,,,,665000.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,111000.000,111000.000,112000.000,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,665000.000,665000.000,665000.000,111000.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,665000.000,665000.000,665000.000,665000.000,,,,111000.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,,,263000.000,222000.000,185000.000,,,,,,
CapitalLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,,,,499000.000,332000.000,166000.000,,,,,,
CashAndCashEquivalentsAtCarryingValue,148689000.000,139575000.000,123564000.000,237058000.000,229872000.000,211669000.000,190095000.000,244504000.000,236695000.000,229938000.000,208323000.000,312656000.000,89480000.000,66028000.000,77895000.000,64381000.000
CashCashEquivalentsAndShortTermInvestments,,,,,,,,,,,,,288600000.000,263300000.000,242200000.000,211200000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,6322807.000,,,,4698476.000,,,,5761462.000,,,,6952359.000,
