,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,,,,,,,,,,,,,,,,,,,394.000,1902.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,3560128.000,,,,3747085.000,,,,3560479.000,,,,3786266.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,433087.000,504490.000,428789.000,408175.000,417976.000,547748.000,468554.000,392776.000,27239.000,-32249.000,-4485.000,72989.000,291752.000,271279.000,327255.000,565108.000,314323.000,393613.000,437925.000,537504.000,710169.000
AdditionalPaidInCapital,8752321.000,8758444.000,8715905.000,8708836.000,8706582.000,8705746.000,8705547.000,8703824.000,8702698.000,8704577.000,8706921.000,8707758.000,8708829.000,8710853.000,15830623.000,15833767.000,15838754.000,15842174.000,15845341.000,15847200.000,15850603.000
AdvancesFromFederalHomeLoanBanks,,,,,,,0.000,,,,0.000,,,,5500000.000,,,,2139117.000,,
Assets,186343274.000,183031497.000,182950205.000,186289333.000,185645088.000,182252293.000,179046161.000,182134985.000,176969265.000,171856626.000,170610322.000,168229657.000,165895889.000,160769410.000,221724891.000,220414368.000,216716208.000,218286533.000,213563351.000,216565143.000,216723380.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,29658799.000,52237220.000,48052012.000,49962772.000,49997359.000,46265640.000,47562087.000,44655453.000
AvailableForSaleSecurities,31710459.000,34006834.000,33006945.000,34933170.000,33677698.000,30623176.000,28863603.000,31792643.000,35868479.000,34952460.000,34547080.000,36714805.000,35297197.000,30102195.000,52772108.000,48975663.000,50476523.000,50640707.000,46984907.000,48444907.000,45821865.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,671662.000,563912.000,619506.000,1013154.000,738136.000,811327.000,890647.000,989397.000,1246453.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,194803.000,120516.000,84618.000,89503.000,224385.000,167978.000,171380.000,106577.000,80041.000
AvailableForSaleSecuritiesAmortizedCost,,,,,33044402.000,29793255.000,28153672.000,31197527.000,35827207.000,35001323.000,34553875.000,36595507.000,34820338.000,29658799.000,52237220.000,48052012.000,49962772.000,49997358.000,46265640.000,47562087.000,44655453.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,,,,147020.000,89629.000,62979.000,78950.000,83505.000,76569.000,51061.000,40214.000,51556.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,,,,,,,,,,,,,194803.000,120516.000,84618.000,89503.000,224385.000,167978.000,171380.000,106577.000,80041.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,11803628.000,8284874.000,8066647.000,13585031.000,17889183.000,16346505.000,16023275.000,18372088.000,12538673.000,10837682.000,7027321.000,7910034.000,15568218.000,13665797.000,12321941.000,10824079.000,8437422.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,,,,47783.000,30887.000,21639.000,10553.000,140880.000,91409.000,120319.000,66363.000,28485.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,10012189.000,5560544.000,5479099.000,9719875.000,13329068.000,14599570.000,14770462.000,15449352.000,5215699.000,4181549.000,2857252.000,3098669.000,12199272.000,10478527.000,10638347.000,7535676.000,3095643.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,1791439.000,2724330.000,2587548.000,3865156.000,4560115.000,1746935.000,1252813.000,2922736.000,7322974.000,6656133.000,4170069.000,4811365.000,3368946.000,3187270.000,1683594.000,3288403.000,5341779.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,,2584885.000,2587605.000,2590336.000,2905232.000,3335049.000,3336855.000,3338684.000,4390877.000,4391201.000,4931345.000,7379056.000,7306987.000,7305135.000,6807390.000,7717743.000,7200706.000,5512154.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,,2695584.000,2698334.000,2710471.000,3036271.000,3344517.000,3309690.000,3285583.000,4407225.000,4477105.000,5073740.000,7515771.000,7526979.000,7426001.000,6944870.000,7951219.000,7425262.000,5754491.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,937251.000,690225.000,539608.000,538967.000,804421.000,2086238.000,3352315.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,956350.000,710707.000,557120.000,557821.000,828218.000,2148217.000,3477431.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,,,,,3734281.000,4203321.000,4199160.000,4482321.000,5363850.000,5350810.000,5337902.000,4829506.000,4816308.000,4263027.000,11237263.000,10967936.000,10942136.000,10915914.000,9711409.000,9259589.000,8934177.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,,,,,3861593.000,4419808.000,4410051.000,4621697.000,5254221.000,5151079.000,5158936.000,4761983.000,4851355.000,4322509.000,11308795.000,11224326.000,10982530.000,11042984.000,9957351.000,9545645.000,9344741.000
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,,,,,,,,,,,34553875.000,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,,,,,0.000,,,,0.000,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,,,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateAmortizedCost,,,,,,,,,,,,,,20464427.000,32239374.000,28843823.000,30933990.000,30996564.000,27532067.000,28979926.000,26519355.000
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,,,,,,,,,,,,,,20705946.000,32546916.000,29270080.000,31268554.000,31348802.000,27747699.000,29289754.000,26904144.000
AvailableForSaleSecuritiesDebtSecurities,,,,,,,,,,,34547080.000,,,,,,,,,,
AvailableForSaleSecuritiesFairValueDisclosure,,,,,33677698.000,30623176.000,28863603.000,31792643.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,130131.000,97665.000,112278.000,133241.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions,,,,,,,9.000,18.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesPledgedAsCollateral,,,,,,,,,,,,,,,0.000,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses2,,,,,9397.000,35956.000,26406.000,43690.000,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses2,,,,,130131.000,97665.000,112278.000,133241.000,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses2,,,,,120734.000,61709.000,85872.000,89551.000,,,,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,763427.000,927586.000,822209.000,728357.000,,,,,,,,,,,,,
AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions1,,,,,,,,,26.000,26.000,27.000,29.000,23.000,19.000,12.000,17.000,33.000,28.000,20.000,18.000,14.000
BankOwnedLifeInsurance,1540833.000,1549249.000,1557106.000,1564719.000,1572509.000,1580336.000,1587436.000,1594851.000,2099763.000,2097322.000,2096181.000,2110230.000,2122601.000,2135466.000,2148043.000,2160227.000,2172299.000,2183848.000,2195424.000,2207596.000,2220150.000
