,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,368.000,1774.000,
AdditionalPaidInCapitalCommonStock,8999.000,8999.000,8999.000
Assets,500.000,500.000,500.000
AssetsCurrent,500.000,500.000,500.000
CashAndCashEquivalentsAtCarryingValue,500.000,500.000,500.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,2109000.000,2109000.000,2109000.000
CommonStockSharesOutstanding,2109000.000,2109000.000,2109000.000
CommonStockValue,211.000,211.000,211.000
Liabilities,5868.000,21592.000,22992.000
LiabilitiesAndStockholdersEquity,500.000,500.000,500.000
LiabilitiesCurrent,368.000,1774.000,
LiabilitiesNoncurrent,5500.000,19818.000,22992.000
LongTermNotesPayable,5500.000,19818.000,22992.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000
PreferredStockSharesAuthorized,20000000.000,20000000.000,20000000.000
RetainedEarningsAccumulatedDeficit,-14578.000,-30302.000,-31702.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-5368.000,-21092.000,-22492.000
