,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AllocatedShareBasedCompensationExpense,,,,,,,,,,3200000.000,400000.000,,400000.000,300000.000
AllowanceForDoubtfulAccountsReceivableChargeOffs,,,,,19300000.000,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,,,,,,,26200000.000,,,,8900000.000,
AmortizationOfFinancingCostsAndDiscounts,,,,,1000000.000,,,,1000000.000,,,,1000000.000,
AssetImpairmentCharges,,,,,,,,,,,,,,10900000.000
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,,,207000000.000,208600000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,1700000.000,600000.000,,200000.000,,,,400000.000,
CapitalLeaseObligationsIncurred,,,,,1200000.000,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-16000000.000,,,,-23300000.000,,,,-15000000.000,,,,-14100000.000,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,,,,,5700000.000,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,-2100000.000,,,,-500000.000,,,,-2400000.000,,,,-2500000.000,
CostsAndExpenses,187800000.000,182300000.000,187300000.000,184400000.000,191300000.000,190800000.000,184100000.000,172000000.000,,,,,,
DeferredIncomeTaxExpenseBenefit,600000.000,,,,800000.000,,,,,,,,,
DeferredIncomeTaxesAndTaxCredits,,,,,,,,,-300000.000,,,,800000.000,
DepreciationAndAmortization,8800000.000,8800000.000,10000000.000,12000000.000,10600000.000,11500000.000,11900000.000,10200000.000,11200000.000,11300000.000,10700000.000,8300000.000,11000000.000,11400000.000
DepreciationDepletionAndAmortization,8800000.000,,,,10600000.000,,,,,,,,,
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationNetOfTax,,,,,,,-900000.000,,-800000.000,-300000.000,-400000.000,-1600000.000,-2200000.000,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,-2300000.000,,-1600000.000,,,,,-500000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,,,,,,,,,-1100000.000
EffectiveIncomeTaxRateContinuingOperations,,,,,0.268,0.245,1.000,-1.766,0.150,,,,4.390,
EffectiveIncomeTaxRateReconciliationTaxSettlements,,0.450,0.231,,,,,,,,,,,
GoodwillImpairmentLoss,,,,,,,1800000.000,,,,,,,
HealthCareOrganizationAllowanceForDoubtfulAccountsPercentageOfAccountsReceivable,,,,,,,,,0.447,,,,0.421,
