,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AmortizationOfAboveAndBelowMarketLeases,,,,,,,,,-598000.000,,,,-599000.000,,,,-593000.000,,,,-116000.000,,,,-271000.000,
AmortizationOfDeferredLeasingFees,,1100000.000,1100000.000,,1200000.000,1100000.000,1100000.000,900000.000,900000.000,900000.000,1200000.000,1100000.000,1000000.000,1000000.000,1000000.000,1100000.000,1100000.000,1800000.000,1000000.000,1000000.000,1000000.000,1100000.000,1000000.000,1100000.000,1100000.000,1000000.000
AmortizationOfFinancingCosts,,522000.000,490000.000,,887000.000,916000.000,874000.000,819000.000,918000.000,,849000.000,,743000.000,723000.000,805000.000,709000.000,642000.000,694000.000,904000.000,911000.000,845000.000,919000.000,1016000.000,932000.000,825000.000,794000.000
AssetImpairmentCharges,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,0.000,0.000,0.000,122500000.000,0.000,0.000,0.000,0.000,0.000,0.000
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,,,,,,,,,,,,,,7128000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,40796000.000,,,,-5908000.000,,,,33053000.000,,,,-2539000.000,,,,211303000.000,,,,6356000.000,
CommonStockDividendsPerShareDeclared,,0.120,0.120,,0.120,0.150,0.150,0.200,0.200,0.250,0.250,,0.350,0.350,0.350,,0.420,0.420,0.420,,0.470,0.470,0.470,,0.500,0.500
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,,,,,,,,,,,,35621000.000,,38579000.000,33547000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,,,,,,40725000.000,,44293000.000,38068000.000
Depreciation,,17000000.000,17300000.000,,20700000.000,21300000.000,21300000.000,21300000.000,22000000.000,22200000.000,22200000.000,22200000.000,22200000.000,22500000.000,23700000.000,23900000.000,23900000.000,24200000.000,25300000.000,25400000.000,24700000.000,25300000.000,26400000.000,27100000.000,27100000.000,27900000.000
DepreciationAndAmortization,,18113000.000,18396000.000,,21870000.000,22484000.000,22531000.000,22356000.000,23039000.000,23196000.000,23538000.000,23285000.000,23269000.000,23603000.000,24799000.000,25109000.000,25027000.000,26185000.000,26433000.000,26399000.000,25843000.000,26323000.000,27493000.000,28122000.000,28207000.000,28948000.000
DepreciationDepletionAndAmortization,,,,,,,,,,,,,,,,,25027000.000,,,,25843000.000,,,,28207000.000,
DividendsCommonStock,7312000.000,,,,7571000.000,,,,12929000.000,,,,23032000.000,,,,27457000.000,,,,34978000.000,,,,38918000.000,
DividendsPreferredStock,4157000.000,5572000.000,5572000.000,5573000.000,6619000.000,6811000.000,6811000.000,6812000.000,6811000.000,6811000.000,6811000.000,6812000.000,6811000.000,6811000.000,6811000.000,6812000.000,6811000.000,6811000.000,6811000.000,6812000.000,6811000.000,6964000.000,3630000.000,3334000.000,3333000.000,3333000.000
EarningsPerShareBasic,,0.200,0.220,,0.080,0.110,0.110,0.110,0.120,0.190,-0.160,0.170,0.300,0.320,0.290,0.280,0.240,0.300,0.290,-1.230,0.360,0.500,0.380,0.450,0.460,0.390
EarningsPerShareDiluted,,0.200,0.220,,0.080,0.110,0.110,0.110,0.120,0.180,-0.160,0.180,0.300,0.320,0.290,0.270,0.240,0.300,0.290,-1.230,0.360,0.490,0.370,0.450,0.450,0.380
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,,,,,,,,,,,,100000.000,,0.000,0.000
