,2012-10-31,2013-01-31,2013-04-30,2013-07-31
AdjustmentForAmortization,0.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,2976.000,,,
CostOfRevenue,0.000,0.000,,
DebtInstrumentDecreaseForgiveness,0.000,0.000,0.000,0.000
EarningsPerShareBasic,-0.010,0.000,,
EarningsPerShareBasicAndDiluted,,,-0.070,
ExplorationExpenseMining,0.000,0.000,0.000,0.000
GainsLossesOnExtinguishmentOfDebt,0.000,,,
GeneralAndAdministrativeExpense,,,792000.000,
GeneralInsuranceExpense,0.000,0.000,,
GrossProfit,0.000,0.000,,
ImpairmentOfIntangibleAssetsExcludingGoodwill,0.000,0.000,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-38665.000,-55545.000,-800000.000,-75955.000
IncomeLossFromEquityMethodInvestments,0.000,,,
IncomeTaxExpenseBenefit,0.000,0.000,0.000,0.000
IncomeTaxesPaid,0.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,891.000,,,
IncreaseDecreaseInDeposits,0.000,,,
IncreaseDecreaseInPrepaidExpense,0.000,,,
InterestExpense,0.000,180.000,8000.000,-6770.000
InterestPaid,0.000,,,
InvestmentIncomeInterest,0.000,0.000,,
LegalFees,20941.000,39145.000,,
LossOnSaleOfInvestments,0.000,0.000,,
NetCashProvidedByUsedInFinancingActivities,40750.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,40750.000,,,
NetCashProvidedByUsedInInvestingActivities,0.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,,
NetCashProvidedByUsedInOperatingActivities,-37774.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-37774.000,,,
NetIncomeLoss,-38665.000,-55545.000,-800000.000,-75955.000
NoninterestExpenseTransferAgentAndCustodianFees,7626.000,5981.000,,
OperatingExpenses,38665.000,55365.000,792000.000,82725.000
OperatingIncomeLoss,-38665.000,-55365.000,-792000.000,-82725.000
OtherGeneralAndAdministrativeExpense,1296.000,1074.000,,
OtherSellingGeneralAndAdministrativeExpense,182.000,0.000,,
PaymentsToAcquireIntangibleAssets,0.000,,,
PaymentsToAcquireMineralRights,0.000,,,
ProceedsFromConvertibleDebt,-9250.000,,,
ProceedsFromIssuanceOrSaleOfEquity,0.000,,,
ProceedsFromOtherEquity,0.000,,,
ProceedsFromRepaymentsOfNotesPayable,50000.000,,,
ProfessionalAndContractServicesExpense,5245.000,665.000,,
ProfessionalFees,3375.000,8500.000,,
RepaymentsOfRelatedPartyDebt,0.000,,,
Revenues,0.000,0.000,0.000,0.000
SalesRevenueNet,0.000,0.000,0.000,0.000
WeightedAverageNumberOfSharesOutstandingBasic,6391730.000,68201843.000,11216731.000,-71656073.000
