,2011-09-30
ComprehensiveIncomeNetOfTax,3384104.000
CostOfGoodsSold,59427311.000
EarningsPerShareBasic,0.130
EarningsPerShareDiluted,0.120
GeneralAndAdministrativeExpense,2370710.000
GrossProfit,9571782.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,5322457.000
IncomeTaxExpenseBenefit,1589240.000
InterestIncomeExpenseNet,-99087.000
NetIncomeLoss,3735881.000
NetIncomeLossAttributableToNoncontrollingInterest,-2664.000
OperatingCostsAndExpenses,1100309.000
OperatingIncomeLoss,6100763.000
OtherComprehensiveIncomeForeignCurrencyTranslationAdjustmentTax,-351777.000
OtherNonoperatingIncomeExpense,-13511.000
ProfitLoss,3733217.000
SalesRevenueGoodsNet,68999093.000
WeightedAverageNumberOfDilutedSharesOutstanding,28947583.000
WeightedAverageNumberOfSharesOutstandingBasic,28727803.000
