,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccountsAndNotesReceivableNet,,,,,,,,,,-605000.000,-605000.000
AccountsPayableCurrent,233956.000,53155.000,15790.000,2557.000,20609.000,21789.000,17139.000,672.000,39003.000,70703.000,83157.000
AccountsReceivableNet,,,,,,,,,,1802524.000,1824687.000
AccruedLiabilitiesCurrent,,,,,,,,,340284.000,620284.000,650284.000
AccruedLiabilitiesFairValueDisclosure,,5420.000,8250.000,5475.000,65753.000,102952.000,4874.000,1846.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,-1670544.000,-1675106.000,1717554.000,1759952.000,1802351.000,1844749.000,821255.000,839392.000,166282.000,176851.000,187365.000
AccumulatedOtherComprehensiveIncomeLossBeforeTax,-10428.000,3019.000,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,9209.000,2920.000,12502.000,7792.000,-280409.000,-728302.000,-140955.000,-264091.000,-313059.000
AdditionalPaidInCapital,,,,,4625738.000,4625738.000,4625738.000,4625738.000,4625738.000,4625738.000,4625738.000
AdditionalPaidInCapitalCommonStock,4176444.000,4554963.000,4619013.000,4625738.000,,36225.000,,,62000.000,,
Assets,5731052.000,6413316.000,5806033.000,5650785.000,5594773.000,5139459.000,5677186.000,5048780.000,3016127.000,2903930.000,5266738.000
AssetsCurrent,36631.000,992985.000,279951.000,53289.000,12537.000,317564.000,226398.000,43920.000,415411.000,419900.000,425168.000
AvailableForSaleSecurities,,,,,,,,,,151821.000,102854.000
AvailableForSaleSecuritiesCurrent,,,,,,,1341859.000,893966.000,274958.000,151821.000,102854.000
BuildingsAndImprovementsGross,,,,,56255.000,56255.000,,,,,
BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,,,,,,558000.000,,,,,
CashAndCashEquivalentsAtCarryingValue,9791.000,942428.000,248939.000,35547.000,6766.000,271564.000,225798.000,43320.000,2346.000,1693.000,1819.000
CommonStockDiscountOnShares,,,,,,,62000.000,62000.000,62000.000,62000.000,662000.000
CommonStockIncludingAdditionalPaidInCapital,,,,,,122700.000,,,,,
CommonStockParOrStatedValuePerShare,,,,,0.100,0.100,0.100,0.100,0.100,0.100,0.100
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,43531037.000,51087704.000,52926704.000,53221704.000,53221704.000,53221704.000,60088371.000,60088371.000,60088371.000,60088371.000,90088371.000
