,2013-02-28,2013-05-31,2013-08-31,2013-11-30
AccountsPayable,1133.000,,,
AccountsPayableCurrentAndNoncurrent,,,400.000,0.000
AdditionalPaidInCapital,23850.000,23850.000,-90250.000,-90250.000
Assets,10988.000,6106.000,2345.000,236.000
AssetsCurrent,10988.000,,,
Cash,5488.000,2106.000,345.000,236.000
CashEquivalentsAtCarryingValue,5488.000,2106.000,345.000,236.000
CommonStockValue,8150.000,8150.000,122250.000,122250.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-22362.000,,,
DueToRelatedParties,217.000,,,
DueToRelatedPartiesCurrent,,217.000,217.000,3867.000
Liabilities,1350.000,217.000,617.000,3867.000
LiabilitiesAndStockholdersEquity,10988.000,6106.000,2345.000,236.000
LiabilitiesCurrent,1350.000,,,
PrepaidExpense,5500.000,,,
PrepaidExpenseCurrentAndNoncurrent,,4000.000,2000.000,0.000
RetainedEarningsAccumulatedDeficit,,-26111.000,-30272.000,-35631.000
SharesIssued,,,122250000.000,
StockholdersEquity,9638.000,5889.000,1728.000,-3631.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,9638.000,5889.000,1728.000,-3631.000
