,2014-04-30,2014-10-31,2015-01-31,2015-04-30,2015-07-31
AccountsPayableAndAccruedLiabilitiesCurrent,2994.000,,,,200.000
AccruedLiabilitiesCurrent,550.000,1000.000,3500.000,3510.000,6500.000
AdditionalPaidInCapital,,5544.000,8306.000,12096.000,-12096.000
Assets,0.000,,,,1109.000
AssetsCurrent,,,,,1109.000
Cash,,,,,1109.000
CashAndCashEquivalentsAtCarryingValue,,,,,1470.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000
CommonStockSharesOutstanding,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000
CommonStockValue,2000.000,2000.000,2000.000,2000.000,2000.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,,,-24388.000
Liabilities,3554.000,1000.000,3500.000,3510.000,6700.000
LiabilitiesAndStockholdersEquity,0.000,,,,1109.000
LiabilitiesCurrent,3544.000,1000.000,3500.000,3510.000,6700.000
NotesPayableCurrent,,,,,4701.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,0.000,,,,
RetainedEarningsAccumulatedDeficit,-5544.000,-8544.000,-13806.000,-17606.000,
StockholdersEquity,-3544.000,-1000.000,-3500.000,-3510.000,-5591.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-3554.000,,,,-5591.000
